"","auth","piece","line"
"0","mori","tsujibasha.txt","辻馬車"
"1","mori","tsujibasha.txt","モルナール・フェレンツMolnar Ferenc"
"2","mori","tsujibasha.txt","森鴎外訳"
"3","mori","tsujibasha.txt",""
"4","mori","tsujibasha.txt","-------------------------------------------------------"
"5","mori","tsujibasha.txt","【テキスト中に現れる記号について】"
"6","mori","tsujibasha.txt",""
"7","mori","tsujibasha.txt","《》：ルビ"
"8","mori","tsujibasha.txt","（例）齢"
"9","mori","tsujibasha.txt",""
"10","mori","tsujibasha.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","mori","tsujibasha.txt","（例）窓｜硝子"
"12","mori","tsujibasha.txt",""
"13","mori","tsujibasha.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","mori","tsujibasha.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"15","mori","tsujibasha.txt","（例）※く"
"16","mori","tsujibasha.txt","-------------------------------------------------------"
"17","mori","tsujibasha.txt",""
"18","mori","tsujibasha.txt","この対話に出づる人物は"
"19","mori","tsujibasha.txt","貴夫人"
"20","mori","tsujibasha.txt","男"
"21","mori","tsujibasha.txt","の二人なり。"
"22","mori","tsujibasha.txt","作者が女とも女子とも云わずして、貴夫人と云うは、その人の性を指すと同時に、齢をも指せるなり。"
"23","mori","tsujibasha.txt","この貴夫人と云う詞は、女の生涯のうちある五年間を指すに定れり。"
"24","mori","tsujibasha.txt","男をば単に男と記す。"
"25","mori","tsujibasha.txt","その人いわゆる男盛りと云う年になりたれば。"
"26","mori","tsujibasha.txt",""
"27","mori","tsujibasha.txt",""
"28","mori","tsujibasha.txt","貴夫人。"
"29","mori","tsujibasha.txt","なんだかもう百年くらいお目に懸からないようでございますね。"
"30","mori","tsujibasha.txt",""
"31","mori","tsujibasha.txt","男。"
"32","mori","tsujibasha.txt","ええ。"
"33","mori","tsujibasha.txt","そんなに御疎遠になったのを残念に思うことは、わたくしの方が一番ひどいのです。"
"34","mori","tsujibasha.txt",""
"35","mori","tsujibasha.txt","貴夫人。"
"36","mori","tsujibasha.txt","でも只今お目に懸かることの出来ましたのは嬉しゅうございますわ。"
"37","mori","tsujibasha.txt","過ぎ去った昔のお話が出来ますからね。"
"38","mori","tsujibasha.txt","まあ、事によるとあなたの方では、もうすっかり忘れてしまっていらっしゃるような昔のお話でございますの。"
"39","mori","tsujibasha.txt",""
"40","mori","tsujibasha.txt","男。"
"41","mori","tsujibasha.txt","妙ですね。"
"42","mori","tsujibasha.txt","あなたがそんな風な事をわたくしにおっしゃるのが、もうこれで二度目ですぜ。"
"43","mori","tsujibasha.txt","なんだか六十ぐらいになった爺いさん婆あさんのようじゃありませんか。"
"44","mori","tsujibasha.txt","一体百年も逢わないようだと初めに云っておいて、また古い話をするなんとおっしゃるのが妙ですね。"
"45","mori","tsujibasha.txt",""
"46","mori","tsujibasha.txt","貴夫人。"
"47","mori","tsujibasha.txt","なぜ。"
"48","mori","tsujibasha.txt",""
"49","mori","tsujibasha.txt","男。"
"50","mori","tsujibasha.txt","なぜって妙ですよ。"
"51","mori","tsujibasha.txt","女の方が何かをひどく古い事のように言うのは、それを悪い事だったと思って後悔した時に限るようですからね。"
"52","mori","tsujibasha.txt","つまり別に分疏がなくって、「時間」に罪を背負わせるのですね。"
"53","mori","tsujibasha.txt",""
"54","mori","tsujibasha.txt","貴夫人。"
"55","mori","tsujibasha.txt","まあ、感心。"
"56","mori","tsujibasha.txt",""
"57","mori","tsujibasha.txt","男。"
"58","mori","tsujibasha.txt","何が感心です。"
