"","auth","piece","line"
"0","mori","vater_sergius.txt","パアテル・セルギウス"
"1","mori","vater_sergius.txt","VATER SERGIUS"
"2","mori","vater_sergius.txt","レオ・トルストイLev Nikolaevich Tolstoi"
"3","mori","vater_sergius.txt","森林太郎訳"
"4","mori","vater_sergius.txt",""
"5","mori","vater_sergius.txt","-------------------------------------------------------"
"6","mori","vater_sergius.txt","【テキスト中に現れる記号について】"
"7","mori","vater_sergius.txt",""
"8","mori","vater_sergius.txt","《》：ルビ"
"9","mori","vater_sergius.txt","（例）お上"
"10","mori","vater_sergius.txt",""
"11","mori","vater_sergius.txt","｜：ルビの付く文字列の始まりを特定する記号"
"12","mori","vater_sergius.txt","（例）只｜空"
"13","mori","vater_sergius.txt",""
"14","mori","vater_sergius.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"15","mori","vater_sergius.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"16","mori","vater_sergius.txt","（例）※"
"17","mori","vater_sergius.txt",""
"18","mori","vater_sergius.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"19","mori","vater_sergius.txt","（例）とう／＼"
"20","mori","vater_sergius.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"21","mori","vater_sergius.txt",""
"22","mori","vater_sergius.txt","〔〕：アクセント分解された欧文をかこむ"
"23","mori","vater_sergius.txt","（例）〔a`〕"
"24","mori","vater_sergius.txt","アクセント分解についての詳細は下記URLを参照してください"
"25","mori","vater_sergius.txt","http://www.aozora.gr.jp/accent_separation.html"
"26","mori","vater_sergius.txt","-------------------------------------------------------"
"27","mori","vater_sergius.txt",""
"28","mori","vater_sergius.txt","一"
"29","mori","vater_sergius.txt",""
"30","mori","vater_sergius.txt","千八百四十何年と云ふ頃であつた。"
"31","mori","vater_sergius.txt","ペエテルブルクに世間の人を皆びつくりさせるやうな出来事があつた。"
"32","mori","vater_sergius.txt","美男子の侯爵で、甲騎兵聯隊からお上の護衛に出てゐる大隊の隊長である。"
"33","mori","vater_sergius.txt","この士官は今に侍従武官に任命せられるだらうと皆が評判してゐたのである。"
"34","mori","vater_sergius.txt","侍従武官にすると云ふ事はニコラウス第一世の時代には陸軍の将校として最も名誉ある抜擢であつた。"
"35","mori","vater_sergius.txt","この士官は美貌の女官と結婚する事になつてゐた。"
"36","mori","vater_sergius.txt","女官は皇后陛下に特別に愛せられてゐる女であつた。"
"37","mori","vater_sergius.txt","然るに此士官が予定してあつた結婚の日取の一箇月前に突然辞職した。"
"38","mori","vater_sergius.txt","そして約束した貴婦人との一切の関係を断つて、少しばかりの所領の地面を女きやうだいの手に委ねて置いて、自分はペエテルブルクを去つて出家しにある僧院へ這入つたのである。"
"39","mori","vater_sergius.txt",""
"40","mori","vater_sergius.txt","此出来事はその内部の動機を知らぬ人の為めには、非常な、なんとも説明のしやうのない事件であつた。"
"41","mori","vater_sergius.txt","併し当人たる侯爵ステパン・カツサツキイが為めには是非さうしなくてはならぬ事柄で、どうもそれより外にはしやうがないやうに思はれたのである。"
"42","mori","vater_sergius.txt",""
"43","mori","vater_sergius.txt","ステパンの父は近衛の大佐まで勤めて引いたものであつた。"
"44","mori","vater_sergius.txt","それが亡くなつたのはステパンが十二歳の時である。"
"45","mori","vater_sergius.txt","父は遺言して、己の死んだ跡では、倅を屋敷で育てゝはならぬ。"
"46","mori","vater_sergius.txt","是非幼年学校に入れてくれと云つて置いた。"
"47","mori","vater_sergius.txt","そこでステパンの母は息子を屋敷から出すのを惜しくは思ひながら、夫の遺言を反古にすることが出来ぬので、已むことを得ず遺言通にした。"
"48","mori","vater_sergius.txt",""
"49","mori","vater_sergius.txt","さてステパンが幼年学校に這入ると同時に、未亡人は娘ワルワラを連れてペエテルブルクに引越して来た。"
"50","mori","vater_sergius.txt","それは息子のゐる学校の近所に住つてゐて、休日には息子に来て貰はうと思つたからである。"
"51","mori","vater_sergius.txt",""
"52","mori","vater_sergius.txt","ステパンは幼年学校時代に優等生であつた。"
"53","mori","vater_sergius.txt","それに非常な名誉心を持つてゐた。"
"54","mori","vater_sergius.txt","どの学科も善く出来たが、中にも数学は好きで上手であつた。"
"55","mori","vater_sergius.txt","又前線勤務や乗馬の点数も優等であつた。"
"56","mori","vater_sergius.txt","目立つ程背が高いのに、存外軽捷で、風采が好かつた。"
"57","mori","vater_sergius.txt","品行の上からも、模範的生徒にせられなくてはならぬものであつた。"
"58","mori","vater_sergius.txt","然るに一つの欠点がある。"
"59","mori","vater_sergius.txt","それは激怒を発する癖のある事である。"
"60","mori","vater_sergius.txt","ステパンは酒を飲まない。"
"61","mori","vater_sergius.txt","女に関係しない。"
"62","mori","vater_sergius.txt","それに※を衝くと云ふ事がない。"
"63","mori","vater_sergius.txt","只此青年の立派な性格に瑕を付けるのは例の激怒だけである。"
"64","mori","vater_sergius.txt","それが発した時は自分で抑制することがまるで出来なくなつて、猛獣のやうな振舞をする。"
"65","mori","vater_sergius.txt","或時かう云ふ事があつた。"
"66","mori","vater_sergius.txt","ステパンは鉱物の標本を集めて持つてゐた。"
"67","mori","vater_sergius.txt","それを一人の同窓生が見て揶揄つた。"
"68","mori","vater_sergius.txt","するとステパンが怒つて、今少しでその同窓生を窓から外へ投げ出す所であつた。"
"69","mori","vater_sergius.txt","又今一つかう云ふ事があつた。"
"70","mori","vater_sergius.txt","ステパンの言つた事を、或る士官がに※だと云つて、平気でしらを切つた事がある。"
"71","mori","vater_sergius.txt","その時ステパンはその士官に飛び付いて乱暴をした。"
"72","mori","vater_sergius.txt","人の噂では士官の面部を打擲したと云ふことである。"
"73","mori","vater_sergius.txt","兎に角普通なら、この時ステパンは貶黜せられて兵卒になる所であつた。"
"74","mori","vater_sergius.txt","それを校長が尽力して公にしないで、却てその士官を学校から出してしまつた。"
"75","mori","vater_sergius.txt",""
"76","mori","vater_sergius.txt","ステパンは十八歳で士官になつた。"
"77","mori","vater_sergius.txt","そして貴族ばかりから成り立つてゐる近衛聯隊の隊附にせられた。"
"78","mori","vater_sergius.txt","ニコラウス帝はステパンが幼年学校にゐた時から知つてゐて、聯隊に這入つてからも特別に目を掛けて使つてゐた。"
"79","mori","vater_sergius.txt","それで世間ではいづれ侍従武官にせられるものだと予想してゐたのである。"
"80","mori","vater_sergius.txt",""
"81","mori","vater_sergius.txt","ステパンも侍従武官になることを熱心に希望してゐた。"
"82","mori","vater_sergius.txt","それは一身の名誉を謀るばかりではない。"
"83","mori","vater_sergius.txt","幼年学校時代からニコラウス帝を尊信してゐたからである。"
"84","mori","vater_sergius.txt","帝は度々幼年学校へ行幸せられた。"
"85","mori","vater_sergius.txt","背の高い胸の広い体格で、八字髯と、短く苅込んだ頬髯との上に鷲の嘴のやうに曲つた隆い鼻のある帝は、さう云ふ時巌丈な歩き付きをして臨場して、遠くまで響く声で生徒等に挨拶せられた。"
"86","mori","vater_sergius.txt","さう云ふ事のある度に、ステパンはなんとも云へぬ感奮の情を発した。"
"87","mori","vater_sergius.txt","後に人と成つてから、自分の愛する女を見て発する情と同じやうな感奮であつた。"
"88","mori","vater_sergius.txt","否、ステパンが帝に対して懐いてゐた熱情は、後に女に対して感じた情よりは遙に強かつた。"
"89","mori","vater_sergius.txt","どうにかして際限もない尊信の思想が帝に見せて上げたい。"
"90","mori","vater_sergius.txt","何か機会があつたら、帝の為めに何物をでも犠牲にしたい、一命をも捧げたいと思つてゐたのである。"
