"","auth","piece","line"
"0","mori","warai.txt","笑"
"1","mori","warai.txt","アルチバシェッフ・ミハイル・ペトローヴィチArtsybashev Mikhail Petrovich"
"2","mori","warai.txt","森林太郎訳"
"3","mori","warai.txt",""
"4","mori","warai.txt","-------------------------------------------------------"
"5","mori","warai.txt","【テキスト中に現れる記号について】"
"6","mori","warai.txt",""
"7","mori","warai.txt","《》：ルビ"
"8","mori","warai.txt","（例）畑"
"9","mori","warai.txt",""
"10","mori","warai.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","mori","warai.txt","（例）十四日｜前"
"12","mori","warai.txt",""
"13","mori","warai.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","mori","warai.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"15","mori","warai.txt","（例）※"
"16","mori","warai.txt",""
"17","mori","warai.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"18","mori","warai.txt","（例）くしや／＼"
"19","mori","warai.txt","-------------------------------------------------------"
"20","mori","warai.txt",""
"21","mori","warai.txt","窓の前には広い畑が見えてゐる。"
"22","mori","warai.txt","赤み掛かつた褐色と、緑と、黒との筋が並んで走つてゐて、ずつと遠い所になると、それが入り乱れて、しほらしい、にほやかな摸様のやうになつてゐる。"
"23","mori","warai.txt","この景色には多くの光と、空気と、際限のない遠さとがある。"
"24","mori","warai.txt","それでこれを見てゐると誰でも自分の狭い、小さい、重くろしい体が窮屈に思はれて来るのである。"
"25","mori","warai.txt",""
"26","mori","warai.txt","医学士は窓に立つて、畑を眺めてゐて、「あれを見るが好い」と思つた。"
"27","mori","warai.txt","早く、軽く、あちらへ飛んで行く鳥を見たのである。"
"28","mori","warai.txt","そして「飛んで行くな」と思つた。"
"29","mori","warai.txt","鳥を見る方が畑を見るより好きなのである。"
"30","mori","warai.txt","学士は青々とした遠い果で、鳥が段々小さくなつて消えてしまふのを、顔を蹙めて見てゐて、自ら慰めるやうに、かう思つた。"
"31","mori","warai.txt","「どうせ遁れつこはないよ。"
"32","mori","warai.txt","こゝで死なゝければ余所で死ぬるのだ。"
"33","mori","warai.txt","死なゝくてはならない。"
"34","mori","warai.txt","」"
"35","mori","warai.txt","心好げに緑いろに萌えてゐる畑を見れば、心持がとうとう飽くまで哀れになつて来る。"
"36","mori","warai.txt","「これはいつまでもこんなでゐるのだ。"
"37","mori","warai.txt","古い古い昔からの事だ。"
"38","mori","warai.txt","冢穴の入口でも、自然は永遠に美しく輝いてゐるといふ詞があつたつけ。"
"39","mori","warai.txt","平凡な話だ。"
"40","mori","warai.txt","馬鹿な。"
"41","mori","warai.txt","こつちとらはもうそんな事を言ふやうな、幼稚な人間ではない。"
"42","mori","warai.txt","そんな事はどうでも好い。"
"43","mori","warai.txt","己が物を考へても、考へなくても、どうでも好い」と考へて、学士は痙攣状に顔をくしや／＼させて、頭を右左にゆさぶつて、窓に顔を背けて、ぼんやりして部屋の白壁を見詰めてゐた。"
"44","mori","warai.txt",""
"45","mori","warai.txt","頭の中には、丁度濁水から泡が水面に浮き出て、はじけて、八方へ散らばつてしまふやうに、考へが出て来る。"
"46","mori","warai.txt","近頃になつてかういふことが度々ある。"
"47","mori","warai.txt","殊に「今日で己は六十五になる、もう死ぬるのに間もあるまい」と思つた、あの誕生日の頃から、こんなことのあるのが度々になつて来た。"
"48","mori","warai.txt","どうせいつかは死ぬる刹那が来るとは、昔から動悸をさせながら、思つてゐたのだが、十四日｜前に病気をしてから、かう思ふのが一層切になつた。"
"49","mori","warai.txt","「虚脱になる一刹那がきつと来る。"
"50","mori","warai.txt","その刹那から手前の方が生活だ。"
"51","mori","warai.txt","己が存在してゐる。"
"52","mori","warai.txt","それから向うが無だ。"
"53","mori","warai.txt","真に絶待的の無だらうか。"
"54","mori","warai.txt","そんな筈はない。"
"55","mori","warai.txt","そんな物は決してない。"
"56","mori","warai.txt","何か誤算がある。"
"57","mori","warai.txt","若し果して絶待的の無があるとすれば、実に恐るべき事だ。"
"58","mori","warai.txt","」かうは思ふものゝ、内心では決して誤算のない事を承知してゐる。"
"59","mori","warai.txt","例の恐るべき、魂の消えるやうな或る物が丁度今始まり掛かつてゐるのだといふことを承知してゐる。"
"60","mori","warai.txt","そして頭や、胸や、胃が痛んだり、手や足がいつもより力がなかつたりするたびに、学士は今死ぬるのだなと思ふことを禁じ得ない。"
"61","mori","warai.txt","死ぬるといふことは非常に簡単なことだ。"
"62","mori","warai.txt","疑ふ余地のないことだ。"
"63","mori","warai.txt","そしてそれゆゑに恐るべき事である。"
"64","mori","warai.txt",""
"65","mori","warai.txt","学士は平生書物を気を附けては読まない流儀なのに、或る時或る書物の中で、ふいとかういふ事を見出した。"
"66","mori","warai.txt","自然の事物は多様多趣ではあるが、早いか晩いか、一度はその事物と同一の Constellation が生じて来なくてはならない。"
"67","mori","warai.txt","そして同一の物体が現出しなくてはならない。"
"68","mori","warai.txt","それのみではない。"
"69","mori","warai.txt","その周囲の万般の状況も同一にならなくてはならないと云ふのである。"
"70","mori","warai.txt","それを読んで、一寸の間は気が楽になつたやうであつたが、間もなく恐ろしい苦痛を感じて来た。"
"71","mori","warai.txt","殆ど気も狂ふばかりであつた。"
"72","mori","warai.txt",""
"73","mori","warai.txt","「へん。"
"74","mori","warai.txt","湊合がなんだ。"
"75","mori","warai.txt","天が下に新しい事は決してない。"
"76","mori","warai.txt","ふん。"
"77","mori","warai.txt","己の前にあるやうな永遠が己の背後にもあるといふことは、己も慥かに知つてゐる。"
"78","mori","warai.txt","言つて見れば、己といふものは或る事物の、昔あつた湊合の繰り返しに過ぎない。"
"79","mori","warai.txt","その癖その昔の湊合は、己は知らない。"
"80","mori","warai.txt","言つて見れば己といふことはなんにもならない。"
"81","mori","warai.txt","只湊合の奈何にあるのだ。"
"82","mori","warai.txt","併しどうしてさうなるのだらう。"
"83","mori","warai.txt","己の性命がどれだけ重要であるか、どれだけせつないか、どれだけ美しいかといふことを、己は感じてゐるではないか。"
"84","mori","warai.txt","己が視たり、聴いたり、嗅いだりするものは、皆己が視るから、聴くから、嗅ぐから、己の為めに存在してゐるのである。"
"85","mori","warai.txt","己が目、耳、鼻を持つてゐるから、己の為めに存在してゐるのである。"
"86","mori","warai.txt","さうして見れば、己は無窮である。"
"87","mori","warai.txt","絶大である。"
"88","mori","warai.txt","己の自我の中には万物が位を占めてゐる。"
"89","mori","warai.txt","その上に己は苦をも受けてゐるのだ。"
"90","mori","warai.txt","そこでその湊合がなんだ。"
"91","mori","warai.txt","馬鹿な。"
"92","mori","warai.txt","湊合なんといふ奴が己になんになるものか。"
"93","mori","warai.txt","只昔あつた事物の繰り返しに過ぎないといふことは、考へて見ても溜まらないわけだ。"
"94","mori","warai.txt","」"
"95","mori","warai.txt","学士は未来世に出て来る筈の想像的人物、自分と全く同じである筈の想像的人物を思ひ浮べて見て、それをひどく憎んだ。"
"96","mori","warai.txt",""
"97","mori","warai.txt","「そいつはきつと出て来るに違ひない。"
"98","mori","warai.txt","人間の思想でさへ繰り返されるではないか。"
"99","mori","warai.txt","人間そのものも繰り返されるに違ひない。"
"100","mori","warai.txt","それに己の思想、己の苦痛はどうでも好いのだ。"
"101","mori","warai.txt","なぜといふに己以外の物体の幾百万かがそれを同じやうに考へたり、感じたりするからである。"
"102","mori","warai.txt","難有いしあはせだ。"
"103","mori","warai.txt","勝手にしやがれ。"
"104","mori","warai.txt","」"
"105","mori","warai.txt","学士の心理的状態は一日一日と悪くなつた。"
"106","mori","warai.txt","夜になると、それが幻視錯覚になつて、とうとうしまひには魘夢になつて身を苦しめる。"
"107","mori","warai.txt","死や、葬や、墓の下の夢ばかり見る。"
"108","mori","warai.txt","たまにはいつもと違つて、生きながら埋められた夢を見る。"
"109","mori","warai.txt","昼の間は只一つの写象に支配せられてゐる。"
"110","mori","warai.txt","それは「己は壊れる」といふ写象である。"
"111","mori","warai.txt","病院の梯子段を昇れば息が切れる。"
"112","mori","warai.txt","立ち上がつたり、しやがんだりする度に咳が出る。"
"113","mori","warai.txt","それを自分の壊れる兆だと思ふのである。"
"114","mori","warai.txt","そんなことをいつでも思つてゐるので、夜寐られなくなる。"
"115","mori","warai.txt","それを死の前兆だと思ふ。"
"116","mori","warai.txt",""
"117","mori","warai.txt","丁度昨晩も少しも寐られなかつた。"
"118","mori","warai.txt","そこで頭のなかは、重くろしい、煙のやうな、酒の酔のやうな状態になつてゐる。"
"119","mori","warai.txt","一晩寐られもしないのに、温い、ねばねばした床の中に横はつてゐて、近所の癲狂患者の泣いたり、笑つたりする声の聞えるのを聞いてゐるうちに、頭の中に浮んで来た考へは実に気味が悪かつた。"
"120","mori","warai.txt","そこであちこち寝返りをして、自分から自分を逃げ出させようとした。"
"121","mori","warai.txt","自分が壊れるのなんのといふことを、ちつとも知つてはゐないと思つて見ようとしたが、それが出来なかつた。"
"122","mori","warai.txt","彼の思想が消えれば、此思想が出て来る。"
"123","mori","warai.txt","それが寝室の白壁の上にはつきり見えて来る。"
"124","mori","warai.txt","しまひにはどうしても、丁度自分の忘れようと思ふことを考へなくてはならないやうになつて来る。"
"125","mori","warai.txt","殆ど上手のかく絵のやうに、空想の中に、分壊作用がはつきりと画かれる。"
"126","mori","warai.txt","体を腐らせて汁の出るやうにする作用が画かれる。"
"127","mori","warai.txt","自分の体の膿を吸つて太つた蛆の白いのがうようよ動いてゐるのが見える。"
"128","mori","warai.txt","学士は平生から爬ふ虫が嫌ひである。"
"129","mori","warai.txt","あの蛆が己の口に、目に、鼻に這ひ込むだらうと思つて見る。"
"130","mori","warai.txt","学士はこの時部屋ぢゆう響き渡るやうな声で、「えゝ、その時は己には感じはないのだ」と叫ぶ。"
"131","mori","warai.txt","学士は大きい声を持つてゐる。"
"132","mori","warai.txt",""
"133","mori","warai.txt","看病人が戸を開けて、覗いて見て、又戸を締めて行つた。"
"134","mori","warai.txt",""
"135","mori","warai.txt","「浮世はかうしたものだ。"
"136","mori","warai.txt","先生、いろんな患者をいぢくり廻したあげくに、御自分が参つてしまつたのだな」と、看病人は思つたが、さう思つて見ると、自分も心持が悪いので、わざとさも愉快気な顔をして、看病人長の所へ告口をしに出掛けるのである。"
"137","mori","warai.txt","「先生、御自分が参つてしまつたやうですよ」などと云ふ積りである。"
"138","mori","warai.txt",""
"139","mori","warai.txt","看病人の締めた戸がひどい音をさせた。"
"140","mori","warai.txt","学士は鼻目金越しに戸の方を見て、「なんだ、何事が出来たのだ」と、腹立たしげに問うた。"
"141","mori","warai.txt","戸は返事をしない。"
"142","mori","warai.txt","そこで頗る激した様子で、戸の所へ歩いて行つて、戸を開けて、廊下に出て、梯子を降りて、或る病室に這入つた。"
"143","mori","warai.txt","そこは昨晩新しく入院した患者のゐる所である。"
"144","mori","warai.txt","一体もつと早く見て遣らなくてはならないのだが、今まで打ち遣つて置いたのである。"
"145","mori","warai.txt","今行くのも義務心から行くのではない。"
"146","mori","warai.txt","自分の部屋に独りでゐるのがゐたたまらなくなつたからである。"
"147","mori","warai.txt",""
"148","mori","warai.txt","患者は黄いろい病衣に、同じ色の患者用の鳥打帽を被つて、床の上に寝てゐて、矢張当り前の人間のやうに鼻をかんでゐた。"
"149","mori","warai.txt","入院患者は自分の持つて来た衣類を着てゐても好いことになつてゐるが、この患者は患者用の物に着換へたのである。"
"150","mori","warai.txt","学士は不確な足附きで、そつと這入つた。"
"151","mori","warai.txt","患者はその顔を面白げに、愛嬌好く眺めて、「今日は、あなたが医長さんですね」と云つた。"
"152","mori","warai.txt",""
"153","mori","warai.txt","「今日は。"
"154","mori","warai.txt","己が医長だよ」と学士が云つた。"
"155","mori","warai.txt",""
"156","mori","warai.txt","「初めてお目に掛かります。"
"157","mori","warai.txt","さあ、どうぞお掛け下さいまし。"
"158","mori","warai.txt","」"
"159","mori","warai.txt","学士は椅子に腰を懸けて、何か考へる様子で、病室の飾りのない鼠壁を眺めて、それから患者の病衣を見て云つた。"
"160","mori","warai.txt","「好く寐られたかい。"
"161","mori","warai.txt","どうだね。"
"162","mori","warai.txt","」"
"163","mori","warai.txt","「寐られましたとも。"
"164","mori","warai.txt","寐られない筈がございません。"
"165","mori","warai.txt","人間といふ奴は寐なくてはならないのでせう。"
"166","mori","warai.txt","わたくしなんぞはいつでも好く寐ますよ。"
"167","mori","warai.txt","」"
"168","mori","warai.txt","学士は何か考へて見た。"
"169","mori","warai.txt","「ふん。"
"170","mori","warai.txt","でもゐどころが変ると寐られないこともある。"
"171","mori","warai.txt","それに昨晩は随分方々でどなつてゐたからな。"
"172","mori","warai.txt","」"
"173","mori","warai.txt","「さうでしたか。"
"174","mori","warai.txt","わたくしにはちつとも聞えませんでした。"
"175","mori","warai.txt","為合せに耳が遠いものですから。"
"176","mori","warai.txt","耳の遠いなんぞも時々は為合せになることもありますよ」と云つて、声高く笑つた。"
"177","mori","warai.txt",""
"178","mori","warai.txt","学士は機械的に答へた。"
"179","mori","warai.txt","「さうさ。"
"180","mori","warai.txt","時々はそんなこともあるだらう。"
"181","mori","warai.txt","」"
"182","mori","warai.txt","患者は右の手の甲で鼻柱をこすつた。"
"183","mori","warai.txt","そして問うた。"
"184","mori","warai.txt","「先生、煙草を上がりますか。"
"185","mori","warai.txt","」"
"186","mori","warai.txt","「飲まない。"
"187","mori","warai.txt","」"
"188","mori","warai.txt","「それでは致し方がございません。"
"189","mori","warai.txt","実は若し紙巻を持つて入らつしやるなら、一本頂戴しようと思つたのです。"
"190","mori","warai.txt","」"
"191","mori","warai.txt","「病室内では喫煙は禁じてあるのだ。"
"192","mori","warai.txt","言ひ聞かせてある筈だが。"
"193","mori","warai.txt","」"
"194","mori","warai.txt","「さうでしたか。"
"195","mori","warai.txt","どうも忘れてなりません。"
"196","mori","warai.txt","まだ病院に慣れないものですから」と、患者は再び笑つた。"
"197","mori","warai.txt",""
"198","mori","warai.txt","暫くは二人共黙つてゐた。"
"199","mori","warai.txt",""
"200","mori","warai.txt","窓は随分細かい格子にしてある。"
"201","mori","warai.txt","それでも部屋へは一ぱいに日が差し込んでゐるので、外の病室のやうに陰気ではなくて、晴々として、気持が好い。"
"202","mori","warai.txt",""
"203","mori","warai.txt","「この病室は好い病室だ」と、学士は親切げに云つた。"
"204","mori","warai.txt",""
"205","mori","warai.txt","「えゝ。"
"206","mori","warai.txt","好い部屋ですね。"
"207","mori","warai.txt","こんな所へ入れて貰はうとは思ひませんでしたよ。"
"208","mori","warai.txt","わたくしはこれまで癲狂院といふものへ這入つたことがないものですから、もつとひどい所だらうと思つてゐました。"
"209","mori","warai.txt","ひどいと云つては悪いかも知れません。"
"210","mori","warai.txt","兎に角丸で別な想像をしてゐたのですね。"
"211","mori","warai.txt","これなら愉快でさあ。"
"212","mori","warai.txt","どの位置かれるのだか知りませんが、ちよつとやそつとの間なら結構です。"
"213","mori","warai.txt","わたくしだつて長くゐたくはありませんからね。"
"214","mori","warai.txt","」かう云つて、患者は仰向いて、学士の目を覗くやうに見た。"
"215","mori","warai.txt","併し色の濃い青色の鼻目金を懸けてゐるので、目の表情が見えなかつた。"
"216","mori","warai.txt","患者は急いで言ひ足した。"
"217","mori","warai.txt",""
"218","mori","warai.txt","「こんなことをお尋ねするのは、先生方はお嫌ひでせう。"
"219","mori","warai.txt","先生、申したいことがありますが好いでせうか。"
"220","mori","warai.txt","」急に元気の出たやうな様子で問うたのである。"
"221","mori","warai.txt",""
"222","mori","warai.txt","「なんだい。"
"223","mori","warai.txt","面白いことなら聞かう」と、学士は機械的に云つた。"
"224","mori","warai.txt",""
"225","mori","warai.txt","「わたくしは退院させて貰つたら、わたくしを掴まへてこんな所へ入れた、御親切千万な友達を尋ねて行つて、片つ端から骨を打ち折つて遣らうと思ひますよ」と、患者は愉快げに、しかも怒を帯びて云つて、雀斑だらけの醜い顔を変に引き吊らせた。"
"226","mori","warai.txt",""
"227","mori","warai.txt","「なぜ」と学士は大儀さうに云つた。"
"228","mori","warai.txt",""
"229","mori","warai.txt","「馬鹿ものだからです。"
"230","mori","warai.txt","べらばうな。"
"231","mori","warai.txt","なんだつて余計な人の事に手を出しやあがるのでせう。"
"232","mori","warai.txt","どうせわたくしはどこにゐたつて平気なのですが、どつちかと云へば、やつぱり外にゐる方が好いのですよ。"
"233","mori","warai.txt","」"
"234","mori","warai.txt","「さう思ふかね」と学士は不精不精に云つた。"
"235","mori","warai.txt",""
"236","mori","warai.txt","「つまりわたくしは何も悪い事を致したのではありませんからね」と、患者は少し遠慮げに云つた。"
"237","mori","warai.txt",""
"238","mori","warai.txt","「さうかい」と学士は云つて、何か跡を言ひさうにした。"
"239","mori","warai.txt",""
"240","mori","warai.txt","「悪い事なんぞをする筈がないのですからね」と、患者は相手の詞を遮るやうに云ひ足した。"
"241","mori","warai.txt",""
"242","mori","warai.txt","「考へて御覧なさい。"
"243","mori","warai.txt","なぜわたくしが人に悪い事なんぞをしますでせう。"
"244","mori","warai.txt","手も当てる筈がないのです。"
"245","mori","warai.txt","食人人種ではあるまいし。"
"246","mori","warai.txt","ヨハン・レエマン先生ではあるまいし。"
"247","mori","warai.txt","当り前の人間でさあ。"
"248","mori","warai.txt","先生にだつて分かるでせう。"
"249","mori","warai.txt","わたくし位に教育を受けてゐると、殺人とか、盗賊とかいふやうなことは思つたばかりで胸が悪くなりまさあ。"
"250","mori","warai.txt","」"
"251","mori","warai.txt","「併しお前は病気だからな。"
"252","mori","warai.txt","」"
"253","mori","warai.txt","患者は体をあちこちもぢもぢさせて、劇しく首を掉つた。"
"254","mori","warai.txt","「やれやれ。"
"255","mori","warai.txt","わたくしが病気ですつて。"
"256","mori","warai.txt","わたくしはあなたに対して、わたくしが健康だといふことを証明しようとは致しますまい。"
"257","mori","warai.txt","なんと云つた所で、御信用はなさるまいから。"
"258","mori","warai.txt","併しどこが病気だと仰やるのです。"
"259","mori","warai.txt","いやはや。"
"260","mori","warai.txt","」"
"261","mori","warai.txt","「どうもお前は健康だとは云はれないて」と、学士は用心して、しかもきつぱりと云つた。"
"262","mori","warai.txt",""
"263","mori","warai.txt","「なぜ健康でないのです」と、患者は詞短かに云つた。"
"264","mori","warai.txt","「どこも痛くも苦しくもありませんし、気分は人並より好いのですし、殊にこの頃になつてからさうなのですからね。"
"265","mori","warai.txt","ははは。"
"266","mori","warai.txt","先生。"
"267","mori","warai.txt","丁度わたくしが一件を発明すると、みんなでわたくしを掴まへて病院に押し込んだのですよ。"
"268","mori","warai.txt","途方もない事でさあ。"
"269","mori","warai.txt","」"
"270","mori","warai.txt","「それは面白い」と、学士は云つて、眉を額の高い所へ吊るし上げた。"
"271","mori","warai.txt","その尖つた顔がどこやら注意して何事をか知らうとしてゐる犬の顔のやうであつた。"
"272","mori","warai.txt",""
"273","mori","warai.txt","「可笑しいぢやありませんか。"
"274","mori","warai.txt","」患者は忽然笑つて、立ち上がつて、窓の所へ行つて、暫くの間日の照つてゐる外を見てゐた。"
"275","mori","warai.txt","学士はその背中を眺めてゐた。"
"276","mori","warai.txt","きたない黄いろをしてゐる病衣が日に照らされて、黄金色の縁を取つたやうに見えた。"
"277","mori","warai.txt",""
"278","mori","warai.txt","「今すぐにお話し申しますよ」と患者は云つて、踵を旋らして、室内をあちこち歩き出した。"
"279","mori","warai.txt","顔は極真面目で、殆ど悲しげである。"
"280","mori","warai.txt","さうなつたので顔の様子が余程見好くなつた。"
"281","mori","warai.txt",""
"282","mori","warai.txt","「お前の顔には笑ふのは似合はないな」と、学士はなぜだか云つた。"
"283","mori","warai.txt",""
"284","mori","warai.txt","「えゝえゝ」と、元気好く患者は云つた。"
"285","mori","warai.txt","「それはわたくしも承知してゐますよ。"
"286","mori","warai.txt","これまでにもわたくしにさう云つて注意してくれた人がございました。"
"287","mori","warai.txt","わたくしだつて笑つてゐたくはないのです。"
