"","auth","piece","line"
"0","mori","xanthis.txt","クサンチス"
"1","mori","xanthis.txt","XANTHIS"
"2","mori","xanthis.txt","アルベエル・サマンAlbert Samain"
"3","mori","xanthis.txt","森林太郎訳"
"4","mori","xanthis.txt",""
"5","mori","xanthis.txt","-------------------------------------------------------"
"6","mori","xanthis.txt","【テキスト中に現れる記号について】"
"7","mori","xanthis.txt",""
"8","mori","xanthis.txt","《》：ルビ"
"9","mori","xanthis.txt","（例）硝子"
"10","mori","xanthis.txt",""
"11","mori","xanthis.txt","｜：ルビの付く文字列の始まりを特定する記号"
"12","mori","xanthis.txt","（例）一｜言"
"13","mori","xanthis.txt",""
"14","mori","xanthis.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"15","mori","xanthis.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"16","mori","xanthis.txt","（例）※"
"17","mori","xanthis.txt",""
"18","mori","xanthis.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"19","mori","xanthis.txt","（例）しよ／＼"
"20","mori","xanthis.txt","-------------------------------------------------------"
"21","mori","xanthis.txt",""
"22","mori","xanthis.txt","飾棚だの飾箱だのといふものがある。"
"23","mori","xanthis.txt","貴重な材木や硝子を使つて細工がしてある。"
"24","mori","xanthis.txt","その小さい中へ色々な物が逃げ込んで、そこを隠れ家にしてゐる。"
"25","mori","xanthis.txt","その中から枯れ萎びた物の香が立ち昇る。"
"26","mori","xanthis.txt","過ぎ去つた時代の、人を動かす埃がその上に浮かんでゐる。"
"27","mori","xanthis.txt","昔の人のした奢侈の、上品な、うら哀しい心がそこから啓示せられるのである。"
"28","mori","xanthis.txt",""
"29","mori","xanthis.txt","己はさういふ棚や箱を見る度に、こんな事を思ふ。"
"30","mori","xanthis.txt","なんでも幅広な、奥深い帷に囲まれて、平凡な実世界の接触を免かれて、さういふところでは一種特別な生活が行はれてゐるのではあるまいかと思ふ。"
"31","mori","xanthis.txt","真成なる有といふものがあるとすれば、それに必要な条件が、かういふところで、現実的に、完全に備はつてゐるのではあるまいか。"
