"","auth","piece","line"
"0","natsume","carlyle_hakubutsukan.txt","カーライル博物館"
"1","natsume","carlyle_hakubutsukan.txt","夏目漱石"
"2","natsume","carlyle_hakubutsukan.txt",""
"3","natsume","carlyle_hakubutsukan.txt","-------------------------------------------------------"
"4","natsume","carlyle_hakubutsukan.txt","【テキスト中に現れる記号について】"
"5","natsume","carlyle_hakubutsukan.txt",""
"6","natsume","carlyle_hakubutsukan.txt","《》：ルビ"
"7","natsume","carlyle_hakubutsukan.txt","（例）釜形"
"8","natsume","carlyle_hakubutsukan.txt",""
"9","natsume","carlyle_hakubutsukan.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","carlyle_hakubutsukan.txt","（例）五階｜立"
"11","natsume","carlyle_hakubutsukan.txt",""
"12","natsume","carlyle_hakubutsukan.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","natsume","carlyle_hakubutsukan.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","natsume","carlyle_hakubutsukan.txt","（例）※"
"15","natsume","carlyle_hakubutsukan.txt","-------------------------------------------------------"
"16","natsume","carlyle_hakubutsukan.txt",""
"17","natsume","carlyle_hakubutsukan.txt","公園の片隅に通りがかりの人を相手に演説をしている者がある。"
"18","natsume","carlyle_hakubutsukan.txt","向うから来た釜形の尖った帽子を被ずいて古ぼけた外套を猫背に着た爺さんがそこへ歩みを佇めて演説者を見る。"
"19","natsume","carlyle_hakubutsukan.txt","演説者はぴたりと演説をやめてつかつかとこの村夫子のたたずめる前に出て来る。"
"20","natsume","carlyle_hakubutsukan.txt","二人の視線がひたと行き当る。"
"21","natsume","carlyle_hakubutsukan.txt","演説者は濁りたる田舎調子にて御前はカーライルじゃないかと問う。"
"22","natsume","carlyle_hakubutsukan.txt","いかにもわしはカーライルじゃと村夫子が答える。"
"23","natsume","carlyle_hakubutsukan.txt","チェルシーの哲人と人が言囃すのは御前の事かと問う。"
"24","natsume","carlyle_hakubutsukan.txt","なるほど世間ではわしの事をチェルシーの哲人と云うようじゃ。"
"25","natsume","carlyle_hakubutsukan.txt","セージと云うは鳥の名だに、人間のセージとは珍らしいなと演説者はからからと笑う。"
"26","natsume","carlyle_hakubutsukan.txt","村夫子はなるほど猫も杓子も同じ人間じゃのにことさらに哲人などと異名をつけるのは、あれは鳥じゃと渾名すると同じようなものだのう。"
"27","natsume","carlyle_hakubutsukan.txt","人間はやはり当り前の人間で善かりそうなものだのに。"
"28","natsume","carlyle_hakubutsukan.txt","と答えてこれもからからと笑う。"
"29","natsume","carlyle_hakubutsukan.txt",""
"30","natsume","carlyle_hakubutsukan.txt","余は晩餐前に公園を散歩するたびに川縁の椅子に腰を卸して向側を眺める。"
"31","natsume","carlyle_hakubutsukan.txt","倫敦に固有なる濃霧はことに岸辺に多い。"
"32","natsume","carlyle_hakubutsukan.txt","余が桜の杖に頤を支えて真正面を見ていると、遥かに対岸の往来を這い廻る霧の影は次第に濃くなって五階｜立の町続きの下からぜんぜんこの揺曳くものの裏に薄れ去って来る。"
"33","natsume","carlyle_hakubutsukan.txt","しまいには遠き未来の世を眼前に引き出したるように窈然たる空の中にとりとめのつかぬ鳶色の影が残る。"
"34","natsume","carlyle_hakubutsukan.txt","その時この鳶色の奥にぽたりぽたりと鈍き光りが滴るように見え初める。"
"35","natsume","carlyle_hakubutsukan.txt","三層四層五層｜共に瓦斯を点じたのである。"
"36","natsume","carlyle_hakubutsukan.txt","余は桜の杖をついて下宿の方へ帰る。"
"37","natsume","carlyle_hakubutsukan.txt","帰る時必ずカーライルと演説使いの話しを思いだす。"
"38","natsume","carlyle_hakubutsukan.txt","かの溟濛たる瓦斯の霧に混ずる所が往時この村夫子の住んでおったチェルシーなのである。"
"39","natsume","carlyle_hakubutsukan.txt",""
"40","natsume","carlyle_hakubutsukan.txt","カーライルはおらぬ。"
"41","natsume","carlyle_hakubutsukan.txt","演説者も死んだであろう。"
"42","natsume","carlyle_hakubutsukan.txt","しかしチェルシーは以前のごとく存在している。"
"43","natsume","carlyle_hakubutsukan.txt","否彼の多年住み古した家屋敷さえ今なお儼然と保存せられてある。"
"44","natsume","carlyle_hakubutsukan.txt","千七百八年チェイン・ロウが出来てより以来幾多の主人を迎え幾多の主人を送ったかは知らぬがとにかく今日まで昔のままで残っている。"
"45","natsume","carlyle_hakubutsukan.txt","カーライルの歿後は有志家の発起で彼の生前使用したる器物調度図書典籍を蒐めてこれを各室に按排し好事のものにはいつでも縦覧せしむる便宜さえ謀られた。"
"46","natsume","carlyle_hakubutsukan.txt",""
"47","natsume","carlyle_hakubutsukan.txt","文学者でチェルシーに縁故のあるものを挙げると昔しはトマス・モア、下ってスモレット、なお下ってカーライルと同時代にはリ・ハントなどがもっとも著名である。"
"48","natsume","carlyle_hakubutsukan.txt","ハントの家はカーライルの直近傍で、現にカーライルがこの家に引き移った晩尋ねて来たという事がカーライルの記録に書いてある。"
"49","natsume","carlyle_hakubutsukan.txt","またハントがカーライルの細君にシェレーの塑像を贈ったという事も知れている。"
"50","natsume","carlyle_hakubutsukan.txt","このほかにエリオットのおった家とロセッチの住んだ邸がすぐ傍の川端に向いた通りにある。"
"51","natsume","carlyle_hakubutsukan.txt","しかしこれらは皆すでに代がかわって現に人が這入っているから見物は出来ぬ。"
"52","natsume","carlyle_hakubutsukan.txt","ただカーライルの旧廬のみは六ペンスを払えば何人でもまた何時でも随意に観覧が出来る。"
"53","natsume","carlyle_hakubutsukan.txt",""
"54","natsume","carlyle_hakubutsukan.txt","チェイン・ローは河岸端の往来を南に折れる小路でカーライルの家はその右側の中頃に在る。"
"55","natsume","carlyle_hakubutsukan.txt","番地は二十四番地だ。"
"56","natsume","carlyle_hakubutsukan.txt",""
"57","natsume","carlyle_hakubutsukan.txt","毎日のように川を隔てて霧の中にチェルシーを眺めた余はある朝ついに橋を渡ってその有名なる庵りを叩いた。"
"58","natsume","carlyle_hakubutsukan.txt",""
"59","natsume","carlyle_hakubutsukan.txt","庵りというと物寂びた感じがある。"
"60","natsume","carlyle_hakubutsukan.txt","少なくとも瀟洒とか風流とかいう念と伴う。"
"61","natsume","carlyle_hakubutsukan.txt","しかしカーライルの庵はそんな脂っこい華奢なものではない。"
"62","natsume","carlyle_hakubutsukan.txt","往来から直ちに戸が敲けるほどの道傍に建てられた四階｜造の真四角な家である。"
"63","natsume","carlyle_hakubutsukan.txt",""
"64","natsume","carlyle_hakubutsukan.txt","出張った所も引き込んだ所もないのべつに真直に立っている。"
"65","natsume","carlyle_hakubutsukan.txt","まるで大製造場の煙突の根本を切ってきてこれに天井を張って窓をつけたように見える。"
"66","natsume","carlyle_hakubutsukan.txt",""
"67","natsume","carlyle_hakubutsukan.txt","これが彼が北の田舎から始めて倫敦へ出て来て探しに探し抜いて漸々の事で探し宛てた家である。"
"68","natsume","carlyle_hakubutsukan.txt","彼は西を探し南を探しハンプステッドの北まで探してついに恰好の家を探し出す事が出来ず、最後にチェイン・ローへ来てこの家を見てもまだすぐに取きめるほどの勇気はなかったのである。"
"69","natsume","carlyle_hakubutsukan.txt","四千万の愚物と天下を罵った彼も住家には閉口したと見えて、その愚物の中に当然勘定せらるべき妻君へ向けて委細を報知してその意向を確めた。"
"70","natsume","carlyle_hakubutsukan.txt","細君の答に「御申越の借家は二軒共不都合もなき様｜被存候えば私倫敦へ上り候迄双方共御明け置願度若し又それ迄に取極め候必要相生じ候節は御一存にて如何とも御取計らい被下度候とあった。"
"71","natsume","carlyle_hakubutsukan.txt","カーライルは書物の上でこそ自分｜独りわかったような事をいうが、家をきめるには細君の助けに依らなくては駄目と覚悟をしたものと見えて、夫人の上京するまで手を束ねて待っていた。"
"72","natsume","carlyle_hakubutsukan.txt","四五日すると夫人が来る。"
"73","natsume","carlyle_hakubutsukan.txt","そこで今度は二人してまた東西南北を馳け廻った揚句の果やはりチェイン・ローが善いという事になった。"
