"","auth","piece","line"
"0","natsume","conrad.txt","コンラッドの描きたる自然について"
"1","natsume","conrad.txt","夏目漱石"
"2","natsume","conrad.txt",""
"3","natsume","conrad.txt","-------------------------------------------------------"
"4","natsume","conrad.txt","【テキスト中に現れる記号について】"
"5","natsume","conrad.txt",""
"6","natsume","conrad.txt","《》：ルビ"
"7","natsume","conrad.txt","（例）傾が"
"8","natsume","conrad.txt",""
"9","natsume","conrad.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","conrad.txt","（例）主客｜顛倒の"
"11","natsume","conrad.txt","-------------------------------------------------------"
"12","natsume","conrad.txt",""
"13","natsume","conrad.txt","一月二十七日の読売新聞で日高未徹君は、余の国民記者に話した、コンラッドの小説は自然に重きをおき過ぎるの結果主客｜顛倒の傾があると云う所見を非難せられた。"
"14","natsume","conrad.txt",""
"15","natsume","conrad.txt","日高君の説によると、コンラッドは背景として自然を用いたのではない、自然を人間と対等に取扱ったのである、自然の活動が人間の活動と相交渉し、相対立する場合を写した作物である。"
"16","natsume","conrad.txt","これを主客顛倒と見るのは始めから自然は客であるべきはずとの僻目から起るのである。"
"17","natsume","conrad.txt","――まあこういうのが非難の要点である。"
"18","natsume","conrad.txt",""
"19","natsume","conrad.txt","いかにもごもっともな御説で、余はこれに反対すると云わんよりは、むしろ大賛成を表したいくらいである。"
"20","natsume","conrad.txt","せんだってもある人がコンラッドのようなものを描いてどこが面白いかと聞いたから、余は、自然の経過は人情の経過と同じような興味をもって読む事のできるものだ、普通のが人情小説なら、コンラッドのは自然情小説だと答えたくらいだから、余は日高君よりは一歩極端に走って、自然と人間を対等に取扱う境を通り越して、自然を主、人間を客と見た面白味をさえ解しているつもりである。"
"21","natsume","conrad.txt",""
"22","natsume","conrad.txt","現にタイフーンのごときまた、舟火事（名前を忘れたり）のごときは単にタイフーンを写し、単に舟火事を写したものとして立派な雄篇である。"
"23","natsume","conrad.txt","首尾一貫前後相待って渾然と出来上がっている。"
"24","natsume","conrad.txt","なぜかと云うと、篇中に出て来る人間の心状、及び動作がことごとくタイフーンと舟火事なる自然力を離れずに、どこまでも密接な関係をもって展化進行するから、自然と人間が打って一丸となされて、偉大なる自然力の裏に副え物として人間が調子よく活動するからである。"
"25","natsume","conrad.txt",""
"26","natsume","conrad.txt","ところが同じ船と海の事を書たものでも、船長が眼病で、船の操縦ができないのを、眼の見えるふりでどこまでも押し通す様子などになると、筋は海を離れて、船長自身の個人の身の上話しに移ってしまう。"
"27","natsume","conrad.txt","だからこういう場合にいくら海が活動してもそれほど役に立たない。"
"28","natsume","conrad.txt","それよりか船長の一身上の生活の行路の方が気にかかる、その方を旨く取り扱ってくれる方が極力海を描出するよりも大切であり、かつ読者にありがたいのである。"
"29","natsume","conrad.txt","余の見るところではコンラッドはその調子を取らない。"
"30","natsume","conrad.txt",""
"31","natsume","conrad.txt","これではまだ日高君は首肯されないかも知れないからもっとも著しい例を挙げると、ゼ・ニガー・オブ・ゼ・ナーシッサスのようなものである。"
"32","natsume","conrad.txt","これは一人の黒奴が、ナーシッサスと云う船に乗り込んで航海の途中に病死する物語であるが、黒奴の船中生活を叙したものとしては、いかにも幼稚で、できが悪い。"
"33","natsume","conrad.txt","しかし航海の描写としては例の通り雄健蒼勁の極を尽したものである。"
"34","natsume","conrad.txt","だから、余の希望から云うと、なまじいに普通の小説じみた黒奴という主人公の経歴はやめて、全くの航海描写としたらば好かろうと思うのである。"
"35","natsume","conrad.txt","しからざればいらざる風濤の描写を割いて、主人公の身辺に起る波瀾成行をもう少し上手に手際よく叙したらば好かろうと思う。"
"36","natsume","conrad.txt",""
"37","natsume","conrad.txt","普通の小説のような脚色がありながら、その方の筋はいっこうできていないで、かえって自然力の活動ばかり目醒しいので、余はこれを主客｜顛倒と評したのである。"
"38","natsume","conrad.txt","ところが短かい談話で、国民文学記者にコンラッドだけを詳しく話す余地がなかったので、ついと日高君の誤解を招くに至ったのは残念である。"
"39","natsume","conrad.txt",""
"40","natsume","conrad.txt","要するに日高君の御説ははなはだごもっともなのである。"
"41","natsume","conrad.txt","けれども余のコンラッドを非難した意味、及びこの意味において非難すべき作物をコンラッドが書いたと云う事も、日高君が承認されん事を希望する。"
"42","natsume","conrad.txt",""
"43","natsume","conrad.txt","この答弁は日高君に対してのみならず、世間の読者のうちで、まだコンラッドを知らずして、余の説と日高君の説の矛盾だけを見てその調和に苦しむ人のために草したのである。"
"44","natsume","conrad.txt",""
"45","natsume","conrad.txt",""
"46","natsume","conrad.txt",""
"47","natsume","conrad.txt",""
"48","natsume","conrad.txt","底本：「夏目漱石全集10」ちくま文庫、筑摩書房"
"49","natsume","conrad.txt","1988（昭和63）年7月26日第1刷発行"
"50","natsume","conrad.txt","底本の親本：「筑摩全集類聚版夏目漱石全集」筑摩書房"
"51","natsume","conrad.txt","1971（昭和46）年4月〜1972（昭和47）年1月にかけて刊行"
"52","natsume","conrad.txt","入力：柴田卓治"
"53","natsume","conrad.txt","校正：大野晋"
"54","natsume","conrad.txt","1999年6月14日公開"
"55","natsume","conrad.txt","2003年11月28日修正"
"56","natsume","conrad.txt","青空文庫作成ファイル："
"57","natsume","conrad.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"58","natsume","conrad.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"59","natsume","conrad.txt",""
