"","auth","piece","line"
"0","natsume","ichiya.txt","一夜"
"1","natsume","ichiya.txt","夏目漱石"
"2","natsume","ichiya.txt",""
"3","natsume","ichiya.txt","-------------------------------------------------------"
"4","natsume","ichiya.txt","【テキスト中に現れる記号について】"
"5","natsume","ichiya.txt",""
"6","natsume","ichiya.txt","《》：ルビ"
"7","natsume","ichiya.txt","（例）髯"
"8","natsume","ichiya.txt",""
"9","natsume","ichiya.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","ichiya.txt","（例）五｜分"
"11","natsume","ichiya.txt",""
"12","natsume","ichiya.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","natsume","ichiya.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","natsume","ichiya.txt","（例）※"
"15","natsume","ichiya.txt","-------------------------------------------------------"
"16","natsume","ichiya.txt",""
"17","natsume","ichiya.txt","「美くしき多くの人の、美くしき多くの夢を……」と髯ある人が二たび三たび微吟して、あとは思案の体である。"
"18","natsume","ichiya.txt","灯に写る床柱にもたれたる直き背の、この時少しく前にかがんで、両手に抱く膝頭に険しき山が出来る。"
"19","natsume","ichiya.txt","佳句を得て佳句を続ぎ能わざるを恨みてか、黒くゆるやかに引ける眉の下より安からぬ眼の色が光る。"
"20","natsume","ichiya.txt",""
"21","natsume","ichiya.txt","「描けども成らず、描けども成らず」と椽に端居して天下晴れて胡坐かけるが繰り返す。"
"22","natsume","ichiya.txt","兼ねて覚えたる禅語にて即興なれば間に合わすつもりか。"
"23","natsume","ichiya.txt","剛き髪を五｜分に刈りて髯｜貯えぬ丸顔を傾けて「描けども、描けども、夢なれば、描けども、成りがたし」と高らかに誦し了って、からからと笑いながら、室の中なる女を顧みる。"
"24","natsume","ichiya.txt",""
"25","natsume","ichiya.txt","竹籠に熱き光りを避けて、微かにともすランプを隔てて、右手に違い棚、前は緑り深き庭に向えるが女である。"
"26","natsume","ichiya.txt",""
"27","natsume","ichiya.txt","「画家ならば絵にもしましょ。"
"28","natsume","ichiya.txt","女ならば絹を枠に張って、縫いにとりましょ」と云いながら、白地の浴衣に片足をそと崩せば、小豆皮の座布団を白き甲が滑り落ちて、なまめかしからぬほどは艶なる居ずまいとなる。"
"29","natsume","ichiya.txt",""
"30","natsume","ichiya.txt","「美しき多くの人の、美しき多くの夢を……」と膝抱く男が再び吟じ出すあとにつけて「縫いにやとらん。"
"31","natsume","ichiya.txt","縫いとらば誰に贈らん。"
"32","natsume","ichiya.txt","贈らん誰に」と女は態とらしからぬ様ながらちょと笑う。"
"33","natsume","ichiya.txt","やがて朱塗の団扇の柄にて、乱れかかる頬の黒髪をうるさしとばかり払えば、柄の先につけたる紫のふさが波を打って、緑り濃き香油の薫りの中に躍り入る。"
"34","natsume","ichiya.txt",""
"35","natsume","ichiya.txt","「我に贈れ」と髯なき人が、すぐ言い添えてまたからからと笑う。"
"36","natsume","ichiya.txt","女の頬には乳色の底から捕えがたき笑の渦が浮き上って、瞼にはさっと薄き紅を溶く。"
"37","natsume","ichiya.txt",""
"38","natsume","ichiya.txt","「縫えばどんな色で」と髯あるは真面目にきく。"
"39","natsume","ichiya.txt",""
"40","natsume","ichiya.txt","「絹買えば白き絹、糸買えば銀の糸、金の糸、消えなんとする虹の糸、夜と昼との界なる夕暮の糸、恋の色、恨みの色は無論ありましょ」と女は眼をあげて床柱の方を見る。"
"41","natsume","ichiya.txt","愁を溶いて錬り上げし珠の、烈しき火には堪えぬほどに涼しい。"
"42","natsume","ichiya.txt","愁の色は昔しから黒である。"
"43","natsume","ichiya.txt",""
"44","natsume","ichiya.txt","隣へ通う路次を境に植え付けたる四五本の檜に雲を呼んで、今やんだ五月雨がまたふり出す。"
"45","natsume","ichiya.txt","丸顔の人はいつか布団を捨てて椽より両足をぶら下げている。"
"46","natsume","ichiya.txt","「あの木立は枝を卸した事がないと見える。"
"47","natsume","ichiya.txt","梅雨もだいぶ続いた。"
"48","natsume","ichiya.txt","よう飽きもせずに降るの」と独り言のように言いながら、ふと思い出した体にて、吾が膝頭を丁々と平手をたてに切って敲く。"
"49","natsume","ichiya.txt","「脚気かな、脚気かな」"
"50","natsume","ichiya.txt","残る二人は夢の詩か、詩の夢か、ちょと解しがたき話しの緒をたぐる。"
"51","natsume","ichiya.txt",""
"52","natsume","ichiya.txt","「女の夢は男の夢よりも美くしかろ」と男が云えば「せめて夢にでも美くしき国へ行かねば」とこの世は汚れたりと云える顔つきである。"
"53","natsume","ichiya.txt","「世の中が古くなって、よごれたか」と聞けば「よごれました」と※扇に軽く玉肌を吹く。"
"54","natsume","ichiya.txt","「古き壺には古き酒があるはず、味いたまえ」と男も鵞鳥の翼を畳んで紫檀の柄をつけたる羽団扇で膝のあたりを払う。"
"55","natsume","ichiya.txt","「古き世に酔えるものなら嬉しかろ」と女はどこまでもすねた体である。"
"56","natsume","ichiya.txt",""
"57","natsume","ichiya.txt","この時「脚気かな、脚気かな」としきりにわが足を玩べる人、急に膝頭をうつ手を挙げて、叱と二人を制する。"
"58","natsume","ichiya.txt","三人の声が一度に途切れる間をククーと鋭どき鳥が、檜の上枝を掠めて裏の禅寺の方へ抜ける。"
"59","natsume","ichiya.txt","ククー。"
"60","natsume","ichiya.txt",""
"61","natsume","ichiya.txt","「あの声がほととぎすか」と羽団扇を棄ててこれも椽側へ這い出す。"
"62","natsume","ichiya.txt","見上げる軒端を斜めに黒い雨が顔にあたる。"
"63","natsume","ichiya.txt","脚気を気にする男は、指を立てて坤の方をさして「あちらだ」と云う。"
"64","natsume","ichiya.txt","鉄牛寺の本堂の上あたりでククー、ククー。"
"65","natsume","ichiya.txt",""
"66","natsume","ichiya.txt","「一声でほととぎすだと覚る。"
"67","natsume","ichiya.txt","二声で好い声だと思うた」と再び床柱に倚りながら嬉しそうに云う。"
"68","natsume","ichiya.txt","この髯男は杜鵑を生れて初めて聞いたと見える。"
"69","natsume","ichiya.txt","「ひと目見てすぐ惚れるのも、そんな事でしょか」と女が問をかける。"
"70","natsume","ichiya.txt","別に恥ずかしと云う気色も見えぬ。"
"71","natsume","ichiya.txt","五分刈は向き直って「あの声は胸がすくよだが、惚れたら胸は痞えるだろ。"
"72","natsume","ichiya.txt","惚れぬ事。"
"73","natsume","ichiya.txt","惚れぬ事……。"
"74","natsume","ichiya.txt","どうも脚気らしい」と拇指で向脛へ力穴をあけて見る。"
"75","natsume","ichiya.txt","「九仞の上に一簣を加える。"
"76","natsume","ichiya.txt","加えぬと足らぬ、加えると危うい。"
"77","natsume","ichiya.txt","思う人には逢わぬがましだろ」と羽団扇がまた動く。"
