"","auth","piece","line"
"0","natsume","kikokujino_ichiya.txt","鬼哭寺の一夜"
"1","natsume","kikokujino_ichiya.txt","夏目漱石"
"2","natsume","kikokujino_ichiya.txt",""
"3","natsume","kikokujino_ichiya.txt","-------------------------------------------------------"
"4","natsume","kikokujino_ichiya.txt","【テキスト中に現れる記号について】"
"5","natsume","kikokujino_ichiya.txt",""
"6","natsume","kikokujino_ichiya.txt","《》：ルビ"
"7","natsume","kikokujino_ichiya.txt","（例）銀"
"8","natsume","kikokujino_ichiya.txt",""
"9","natsume","kikokujino_ichiya.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","kikokujino_ichiya.txt","（例）露｜乾て"
"11","natsume","kikokujino_ichiya.txt",""
"12","natsume","kikokujino_ichiya.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","natsume","kikokujino_ichiya.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","natsume","kikokujino_ichiya.txt","（例）※"
"15","natsume","kikokujino_ichiya.txt","-------------------------------------------------------"
"16","natsume","kikokujino_ichiya.txt",""
"17","natsume","kikokujino_ichiya.txt",""
"18","natsume","kikokujino_ichiya.txt","百里に迷ふ旅心、"
"19","natsume","kikokujino_ichiya.txt","古りし伽藍に夜を明かす。"
"20","natsume","kikokujino_ichiya.txt",""
"21","natsume","kikokujino_ichiya.txt","甍漏る音の雨さびて"
"22","natsume","kikokujino_ichiya.txt","憂きわれのみに世死したり。"
"23","natsume","kikokujino_ichiya.txt",""
"24","natsume","kikokujino_ichiya.txt","風なく搖らぐ法幢の、"
"25","natsume","kikokujino_ichiya.txt","暗き方へと靡くとき、"
"26","natsume","kikokujino_ichiya.txt","佛も寒く御座すらん。"
"27","natsume","kikokujino_ichiya.txt",""
"28","natsume","kikokujino_ichiya.txt","黄金と光る※蛛の眼の、"
"29","natsume","kikokujino_ichiya.txt","闇を縫ふべき計、"
"30","natsume","kikokujino_ichiya.txt","銀糸に引く見れば"
"31","natsume","kikokujino_ichiya.txt","冥府の色より物凄し。"
"32","natsume","kikokujino_ichiya.txt",""
"33","natsume","kikokujino_ichiya.txt",""
"34","natsume","kikokujino_ichiya.txt","折しもあれや枕邊に、"
"35","natsume","kikokujino_ichiya.txt","物の寄り來る氣合して、"
"36","natsume","kikokujino_ichiya.txt","圓かならざる夢冴えつ、"
"37","natsume","kikokujino_ichiya.txt","夜半の燈に鬼氣青し、"
"38","natsume","kikokujino_ichiya.txt","吾を呼ぶなる心地して、"
"39","natsume","kikokujino_ichiya.txt","石を抱くと思ふ間に、"
"40","natsume","kikokujino_ichiya.txt","佛眼颯と血走れり。"
"41","natsume","kikokujino_ichiya.txt",""
"42","natsume","kikokujino_ichiya.txt","立つは女か有耶無耶の"
"43","natsume","kikokujino_ichiya.txt","白きを透かす輕羅に"
"44","natsume","kikokujino_ichiya.txt","空しく眉の緑りなる"
"45","natsume","kikokujino_ichiya.txt","佛と見しは女にて、"
"46","natsume","kikokujino_ichiya.txt","女と見しは物の化か"
"47","natsume","kikokujino_ichiya.txt","細き咽喉に呪ひけん"
"48","natsume","kikokujino_ichiya.txt","世を隔てたる聲立てゝ"
"49","natsume","kikokujino_ichiya.txt","われに語るは歌か詩か"
"50","natsume","kikokujino_ichiya.txt",""
"51","natsume","kikokujino_ichiya.txt","『昔し思へば珠となる"
"52","natsume","kikokujino_ichiya.txt","睫の露に君の影"
"53","natsume","kikokujino_ichiya.txt","寫ると見れば碎けたり"
"54","natsume","kikokujino_ichiya.txt","人つれなくて月を戀ひ"
"55","natsume","kikokujino_ichiya.txt","月かなしくて吾願"
"56","natsume","kikokujino_ichiya.txt","果敢なくなりぬ二十年"
"57","natsume","kikokujino_ichiya.txt","ある夜私かに念ずれば"
"58","natsume","kikokujino_ichiya.txt","天に迷へる星落ちて"
"59","natsume","kikokujino_ichiya.txt","闇をつらぬく光り疾く"
"60","natsume","kikokujino_ichiya.txt","古井の底に響あり"
"61","natsume","kikokujino_ichiya.txt","陽炎燃ゆる黒髮の"
"62","natsume","kikokujino_ichiya.txt","長き亂れの化しもせば"
"63","natsume","kikokujino_ichiya.txt","土に蘭麝の香もあらん"
"64","natsume","kikokujino_ichiya.txt","露｜乾て菫枯れしより"
"65","natsume","kikokujino_ichiya.txt","愛、紫に溶けがたく"
"66","natsume","kikokujino_ichiya.txt","恨、碧りと凝るを見よ"
"67","natsume","kikokujino_ichiya.txt","未了の縁に纏はれば"
"68","natsume","kikokujino_ichiya.txt","生死に渡る誓だに"
"69","natsume","kikokujino_ichiya.txt","塚も動けと泣くを聽け』"
"70","natsume","kikokujino_ichiya.txt","…………………"
"71","natsume","kikokujino_ichiya.txt","塚も動けと泣く聲に"
"72","natsume","kikokujino_ichiya.txt","塚も動きて秋の風"
"73","natsume","kikokujino_ichiya.txt","夜すがら吹いて曉の"
"74","natsume","kikokujino_ichiya.txt","茫々として明にけり"
"75","natsume","kikokujino_ichiya.txt","宵見し夢の迹見れば"
"76","natsume","kikokujino_ichiya.txt","草茫々と明にけり"
"77","natsume","kikokujino_ichiya.txt",""
"78","natsume","kikokujino_ichiya.txt","――明治三十七年頃――"
"79","natsume","kikokujino_ichiya.txt",""
"80","natsume","kikokujino_ichiya.txt",""
"81","natsume","kikokujino_ichiya.txt",""
"82","natsume","kikokujino_ichiya.txt","底本：「漱石全集第十二卷初期の文章及詩歌俳句」岩波書店"
"83","natsume","kikokujino_ichiya.txt","1967（昭和42）年3月30日発行"
"84","natsume","kikokujino_ichiya.txt","※底本巻末の編者による注解は省略しました。"
"85","natsume","kikokujino_ichiya.txt",""
"86","natsume","kikokujino_ichiya.txt","入力：フクポー"
"87","natsume","kikokujino_ichiya.txt","校正：きゅうり"
"88","natsume","kikokujino_ichiya.txt","2017年11月24日作成"
"89","natsume","kikokujino_ichiya.txt","青空文庫作成ファイル："
"90","natsume","kikokujino_ichiya.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"91","natsume","kikokujino_ichiya.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"92","natsume","kikokujino_ichiya.txt",""
