"","auth","piece","line"
"0","natsume","koeber_rsensei.txt","ケーベル先生"
"1","natsume","koeber_rsensei.txt","夏目漱石"
"2","natsume","koeber_rsensei.txt",""
"3","natsume","koeber_rsensei.txt","-------------------------------------------------------"
"4","natsume","koeber_rsensei.txt","【テキスト中に現れる記号について】"
"5","natsume","koeber_rsensei.txt",""
"6","natsume","koeber_rsensei.txt","《》：ルビ"
"7","natsume","koeber_rsensei.txt","（例）藍色"
"8","natsume","koeber_rsensei.txt",""
"9","natsume","koeber_rsensei.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","koeber_rsensei.txt","（例）珈琲が一番｜旨い"
"11","natsume","koeber_rsensei.txt","-------------------------------------------------------"
"12","natsume","koeber_rsensei.txt",""
"13","natsume","koeber_rsensei.txt","木の葉の間から高い窓が見えて、その窓の隅からケーベル先生の頭が見えた。"
"14","natsume","koeber_rsensei.txt","傍から濃い藍色の煙が立った。"
"15","natsume","koeber_rsensei.txt","先生は煙草を呑んでいるなと余は安倍君に云った。"
"16","natsume","koeber_rsensei.txt",""
"17","natsume","koeber_rsensei.txt","この前ここを通ったのはいつだか忘れてしまったが、今日見るとわずかの間にもうだいぶ様子が違っている。"
"18","natsume","koeber_rsensei.txt","甲武線の崖上は角並新らしい立派な家に建て易えられていずれも現代的日本の産み出した富の威力と切り放す事のできない門構ばかりである。"
"19","natsume","koeber_rsensei.txt","その中に先生の住居だけが過去の記念のごとくたった一軒古ぼけたなりで残っている。"
"20","natsume","koeber_rsensei.txt","先生はこの燻ぶり返った家の書斎に這入ったなり滅多に外へ出た事がない。"
"21","natsume","koeber_rsensei.txt","その書斎はとりもなおさず先生の頭が見えた木の葉の間の高い所であった。"
"22","natsume","koeber_rsensei.txt",""
"23","natsume","koeber_rsensei.txt","余と安倍君とは先生に導びかれて、敷物も何も足に触れない素裸のままの高い階子段を薄暗がりにがたがた云わせながら上って、階上の右手にある書斎に入った。"
"24","natsume","koeber_rsensei.txt","そうして先生の今まで腰をおろして窓から頭だけを出していた一番光に近い椅子に余は坐った。"
"25","natsume","koeber_rsensei.txt","そこで外面から射す夕暮に近い明りを受けて始めて先生の顔を熟視した。"
"26","natsume","koeber_rsensei.txt","先生の顔は昔とさまで違っていなかった。"
"27","natsume","koeber_rsensei.txt","先生は自分で六十三だと云われた。"
"28","natsume","koeber_rsensei.txt","余が先生の美学の講義を聴きに出たのは、余が大学院に這入った年で、たしか先生が日本へ来て始めての講義だと思っているが、先生はその時からすでにこう云う顔であった。"
"29","natsume","koeber_rsensei.txt","先生に日本へ来てもう二十年になりますかと聞いたら、そうはならない、たしか十八年目だと答えられた。"
"30","natsume","koeber_rsensei.txt","先生の髪も髯も英語で云うとオーバーンとか形容すべき、ごく薄い麻のような色をしている上に、普通の西洋人の通り非常に細くって柔かいから、少しの白髪が生えてもまるで目立たないのだろう。"
"31","natsume","koeber_rsensei.txt","それにしても血色が元の通りである。"
"32","natsume","koeber_rsensei.txt","十八年を日本で住み古した人とは思えない。"
"33","natsume","koeber_rsensei.txt",""
"34","natsume","koeber_rsensei.txt","先生の容貌が永久にみずみずしているように見えるのに引き易えて、先生の書斎は耄け切った色で包まれていた。"
"35","natsume","koeber_rsensei.txt","洋書というものは唐本や和書よりも装飾的な背皮に学問と芸術の派出やかさを偲ばせるのが常であるのに、この部屋は余の眼を射る何物をも蔵していなかった。"
"36","natsume","koeber_rsensei.txt","ただ大きな机があった。"
"37","natsume","koeber_rsensei.txt","色の褪めた椅子が四脚あった。"
"38","natsume","koeber_rsensei.txt","マッチと埃及煙草と灰皿があった。"
"39","natsume","koeber_rsensei.txt","余は埃及煙草を吹かしながら先生と話をした。"
