"","auth","piece","line"
"0","natsume","koeber_sensei.txt","ケーベル先生の告別"
"1","natsume","koeber_sensei.txt","夏目漱石"
"2","natsume","koeber_sensei.txt",""
"3","natsume","koeber_sensei.txt","-------------------------------------------------------"
"4","natsume","koeber_sensei.txt","【テキスト中に現れる記号について】"
"5","natsume","koeber_sensei.txt",""
"6","natsume","koeber_sensei.txt","《》：ルビ"
"7","natsume","koeber_sensei.txt","（例）今日"
"8","natsume","koeber_sensei.txt",""
"9","natsume","koeber_sensei.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","koeber_sensei.txt","（例）汽船は半分｜荷物船だから"
"11","natsume","koeber_sensei.txt","-------------------------------------------------------"
"12","natsume","koeber_sensei.txt",""
"13","natsume","koeber_sensei.txt","ケーベル先生は今日（八月十二日）日本を去るはずになっている。"
"14","natsume","koeber_sensei.txt","しかし先生はもう二、三日まえから東京にはいないだろう。"
"15","natsume","koeber_sensei.txt","先生は虚儀虚礼をきらう念の強い人である。"
"16","natsume","koeber_sensei.txt","二十年前大学の招聘に応じてドイツを立つ時にも、先生の気性を知っている友人は一人も停車場へ送りに来なかったという話である。"
"17","natsume","koeber_sensei.txt","先生は影のごとく静かに日本へ来て、また影のごとくこっそり日本を去る気らしい。"
"18","natsume","koeber_sensei.txt",""
"19","natsume","koeber_sensei.txt","静かな先生は東京で三度居を移した。"
"20","natsume","koeber_sensei.txt","先生の知っている所はおそらくこの三軒の家と、そこから学校へ通う道路くらいなものだろう。"
"21","natsume","koeber_sensei.txt","かつて先生に散歩をするかと聞いたら、先生は散歩をするところがないから、しないと答えた。"
"22","natsume","koeber_sensei.txt","先生の意見によると、町は散歩すべきものでないのである。"
"23","natsume","koeber_sensei.txt",""
"24","natsume","koeber_sensei.txt","こういう先生が日本という国についてなにも知ろうはずがない。"
"25","natsume","koeber_sensei.txt","また知ろうとする好奇心をもっている道理もない。"
"26","natsume","koeber_sensei.txt","私が早稲田にいると言ってさえ、先生には早稲田の方角がわからないくらいである。"
"27","natsume","koeber_sensei.txt","深田君に大隈伯のうちへ呼ばれた昔を注意されても、先生はすでに忘れている。"
"28","natsume","koeber_sensei.txt","先生には大隈伯の名さえはじめてであったかもしれない。"
"29","natsume","koeber_sensei.txt",""
"30","natsume","koeber_sensei.txt","私が先月十五日の夜晩餐の招待を受けた時、先生に国へ帰っても朋友がありますかと尋ねたら、先生は南極と北極とは別だが、ほかのところならどこへ行っても朋友はいると答えた。"
"31","natsume","koeber_sensei.txt","これはもとより冗談であるが、先生の頭の奥に、区々たる場所を超越した世界的の観念が潜んでいればこそ、こんな挨拶もできるのだろう。"
"32","natsume","koeber_sensei.txt","またこんな挨拶ができればこそ、たいした興味もない日本に二十年もながくいて、不平らしい顔を見せる必要もなかったのだろう。"
"33","natsume","koeber_sensei.txt",""
"34","natsume","koeber_sensei.txt","場所ばかりではない、時間のうえでも先生の態度はまったく普通の人と違っている。"
"35","natsume","koeber_sensei.txt","郵船会社の汽船は半分｜荷物船だから船足がおそいのに、なぜそれをえらんだのかと私が聞いたら、先生はいくら長く海の中に浮いていても苦にはならない、それよりも日本からベルリンまで十五日で行けるとか十四日で着けるとかいって、旅行が一日でも早くできるのを、非常の便利らしく考えている人の心持ちがわからないと言った。"
"36","natsume","koeber_sensei.txt",""
"37","natsume","koeber_sensei.txt","先生の金銭上の考えも、まったく西洋人とは思われないくらい無頓着である。"
"38","natsume","koeber_sensei.txt","先生の宅に厄介になっていたものなどは、ずいぶん経済の点にかけて、普通の家には見るべからざる自由を与えられているらしく思われた。"
"39","natsume","koeber_sensei.txt","このまえ会った時、ある蓄財家の話が出たら、いったいあんなに金をためてどうするりょうけんだろうと言って苦笑していた。"
