"","auth","piece","line"
"0","natsume","kokoro_jijo.txt","『心』自序"
"1","natsume","kokoro_jijo.txt","夏目漱石"
"2","natsume","kokoro_jijo.txt",""
"3","natsume","kokoro_jijo.txt","-------------------------------------------------------"
"4","natsume","kokoro_jijo.txt","【テキスト中に現れる記号について】"
"5","natsume","kokoro_jijo.txt",""
"6","natsume","kokoro_jijo.txt","：底本の編集部による、現代仮名遣いのルビ"
"7","natsume","kokoro_jijo.txt","（例）差支"
"8","natsume","kokoro_jijo.txt",""
"9","natsume","kokoro_jijo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","kokoro_jijo.txt","（例）一遍｜丈を"
"11","natsume","kokoro_jijo.txt",""
"12","natsume","kokoro_jijo.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","natsume","kokoro_jijo.txt","（例）とう／＼"
"14","natsume","kokoro_jijo.txt","-------------------------------------------------------"
"15","natsume","kokoro_jijo.txt",""
"16","natsume","kokoro_jijo.txt","『心』は大正三年四月から八月にわたつて東京大阪両朝日へ同時に掲載された小説である。"
"17","natsume","kokoro_jijo.txt",""
"18","natsume","kokoro_jijo.txt","当時の予告には数種の短篇を合してそれに『心』といふ標題を冠らせる積だと読者に断わつたのであるが、其短篇の第一に当る『先生の遺書』を書き込んで行くうちに、予想通り早く片が付かない事を発見したので、とう／＼その一篇｜丈を単行本に纏めて公けにする方針に模様がへをした。"
"19","natsume","kokoro_jijo.txt",""
"20","natsume","kokoro_jijo.txt","然し此『先生の遺書』も自から独立したやうな又関係の深いやうな三個の姉妹篇から組み立てられてゐる以上、私はそれを『先生と私』、『両親と私』、『先生と遺書』とに区別して、全体に『心』といふ見出しを付けても差支ないやうに思つたので、題は元の儘にして置いた。"
"21","natsume","kokoro_jijo.txt","たゞ中味を上中下に仕切つた丈が、新聞に出た時との相違である。"
"22","natsume","kokoro_jijo.txt",""
"23","natsume","kokoro_jijo.txt","装幀の事は今迄専門家にばかり依頼してゐたのだが、今度はふとした動機から自分で遣つて見る気になつて、箱、表紙、見返し、扉及び奥附の模様及び題字、朱印、検印ともに、悉く自分で考案して自分で描いた。"
"24","natsume","kokoro_jijo.txt",""
"25","natsume","kokoro_jijo.txt","木版の刻は伊上凡骨氏を煩はした。"
"26","natsume","kokoro_jijo.txt","夫から校正には岩波茂雄君の手を借りた。"
"27","natsume","kokoro_jijo.txt","両君の好意を感謝する。"
"28","natsume","kokoro_jijo.txt",""
"29","natsume","kokoro_jijo.txt",""
"30","natsume","kokoro_jijo.txt","大正三年九月"
"31","natsume","kokoro_jijo.txt",""
"32","natsume","kokoro_jijo.txt",""
"33","natsume","kokoro_jijo.txt",""
"34","natsume","kokoro_jijo.txt",""
"35","natsume","kokoro_jijo.txt","底本：「漱石全集第十六巻」岩波書店"
"36","natsume","kokoro_jijo.txt","1995（平成7）年4月19日発行"
"37","natsume","kokoro_jijo.txt","底本の親本：「心」岩波書店"
"38","natsume","kokoro_jijo.txt","1914（大正3）年9月20日"
"39","natsume","kokoro_jijo.txt","※もとの表題は「序」。"
"40","natsume","kokoro_jijo.txt","作品の表題「『心』自序」は、底本編集部による。"
"41","natsume","kokoro_jijo.txt",""
"42","natsume","kokoro_jijo.txt","※ルビのうち亀甲かっこ〔〕付きのものは底本編集部によるもので、現代仮名遣いである。"
"43","natsume","kokoro_jijo.txt",""
"44","natsume","kokoro_jijo.txt","（例）差支"
"45","natsume","kokoro_jijo.txt","入力：砂場清隆"
"46","natsume","kokoro_jijo.txt","校正：小林繁雄"
"47","natsume","kokoro_jijo.txt","2003年3月31日作成"
"48","natsume","kokoro_jijo.txt","青空文庫作成ファイル："
"49","natsume","kokoro_jijo.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"50","natsume","kokoro_jijo.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"51","natsume","kokoro_jijo.txt",""
