"","auth","piece","line"
"0","natsume","kokoro_kokoku.txt","『心』広告文"
"1","natsume","kokoro_kokoku.txt","夏目漱石"
"2","natsume","kokoro_kokoku.txt",""
"3","natsume","kokoro_kokoku.txt","自己の心を捕へんと欲する人々に、人間の心を捕へ得たる此作物を奨む。"
"4","natsume","kokoro_kokoku.txt",""
"5","natsume","kokoro_kokoku.txt",""
"6","natsume","kokoro_kokoku.txt",""
"7","natsume","kokoro_kokoku.txt",""
"8","natsume","kokoro_kokoku.txt","底本：「漱石全集第十六巻」岩波書店"
"9","natsume","kokoro_kokoku.txt","1995（平成7）年4月19日発行"
"10","natsume","kokoro_kokoku.txt","底本の親本：「漱石全集第十一巻」岩波書店"
"11","natsume","kokoro_kokoku.txt","1966（昭和41）年10月"
"12","natsume","kokoro_kokoku.txt","初出：「時事新報」"
"13","natsume","kokoro_kokoku.txt","1914（大正3）年9月26日"
"14","natsume","kokoro_kokoku.txt","※初出として掲げたもの以外にも、各紙に掲載された。"
"15","natsume","kokoro_kokoku.txt",""
"16","natsume","kokoro_kokoku.txt","※作品の表題「『心』広告文」は、底本編集部による。"
"17","natsume","kokoro_kokoku.txt",""
"18","natsume","kokoro_kokoku.txt","入力：砂場清隆"
"19","natsume","kokoro_kokoku.txt","校正：小林繁雄"
"20","natsume","kokoro_kokoku.txt","2003年3月31日作成"
"21","natsume","kokoro_kokoku.txt","青空文庫作成ファイル："
"22","natsume","kokoro_kokoku.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"23","natsume","kokoro_kokoku.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"24","natsume","kokoro_kokoku.txt",""
