"","auth","piece","line"
"0","natsume","kokoro_yokoku.txt","『心』予告"
"1","natsume","kokoro_yokoku.txt","夏目漱石"
"2","natsume","kokoro_yokoku.txt",""
"3","natsume","kokoro_yokoku.txt","-------------------------------------------------------"
"4","natsume","kokoro_yokoku.txt","【テキスト中に現れる記号について】"
"5","natsume","kokoro_yokoku.txt",""
"6","natsume","kokoro_yokoku.txt","《》：ルビ"
"7","natsume","kokoro_yokoku.txt","（例）心"
"8","natsume","kokoro_yokoku.txt",""
"9","natsume","kokoro_yokoku.txt","：底本の編集部による、現代仮名遣いのルビ"
"10","natsume","kokoro_yokoku.txt","（例）行く積"
"11","natsume","kokoro_yokoku.txt","-------------------------------------------------------"
"12","natsume","kokoro_yokoku.txt",""
"13","natsume","kokoro_yokoku.txt","今度は短篇をいくつか書いて見たいと思ひます、その一つ一つには違つた名をつけて行く積ですが予告の必要上全体の題が御入用かとも存じます故それを「心」と致して置きます。"
"14","natsume","kokoro_yokoku.txt",""
"15","natsume","kokoro_yokoku.txt",""
"16","natsume","kokoro_yokoku.txt",""
"17","natsume","kokoro_yokoku.txt",""
"18","natsume","kokoro_yokoku.txt","底本：「漱石全集第十六巻」岩波書店"
"19","natsume","kokoro_yokoku.txt","1995（平成7）年4月19日発行"
"20","natsume","kokoro_yokoku.txt","初出：「東京朝日新聞」"
"21","natsume","kokoro_yokoku.txt","1914（大正3）年4月16日"
"22","natsume","kokoro_yokoku.txt","「大阪朝日新聞」"
"23","natsume","kokoro_yokoku.txt","1914（大正3）年4月17日"
"24","natsume","kokoro_yokoku.txt","※初出時には、「小説予告」「心」として発表された。"
"25","natsume","kokoro_yokoku.txt",""
"26","natsume","kokoro_yokoku.txt","※底本のテキストは、「東京朝日新聞社内、山本松之助宛書簡」1914（大正3）年3月30日付による。"
"27","natsume","kokoro_yokoku.txt",""
"28","natsume","kokoro_yokoku.txt","※作品の表題「『心』予告」は、底本編集部による。"
"29","natsume","kokoro_yokoku.txt",""
"30","natsume","kokoro_yokoku.txt","※ルビのうち亀甲かっこ〔〕付きのものは底本編集部によるもので、現代仮名遣いである。"
"31","natsume","kokoro_yokoku.txt",""
"32","natsume","kokoro_yokoku.txt","（例）積ですが"
"33","natsume","kokoro_yokoku.txt","※底本には次の記述がある。"
"34","natsume","kokoro_yokoku.txt","「「必要上」は、原稿では「必要用上」となっており、本全集本文のとおり訂正した（新聞も「必要上」）」"
"35","natsume","kokoro_yokoku.txt","入力：砂場清隆"
"36","natsume","kokoro_yokoku.txt","校正：小林繁雄"
"37","natsume","kokoro_yokoku.txt","2003年3月31日作成"
"38","natsume","kokoro_yokoku.txt","青空文庫作成ファイル："
"39","natsume","kokoro_yokoku.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"40","natsume","kokoro_yokoku.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"41","natsume","kokoro_yokoku.txt",""
