"","auth","piece","line"
"0","natsume","kyoshikun.txt","虚子君へ"
"1","natsume","kyoshikun.txt","夏目漱石"
"2","natsume","kyoshikun.txt",""
"3","natsume","kyoshikun.txt","-------------------------------------------------------"
"4","natsume","kyoshikun.txt","【テキスト中に現れる記号について】"
"5","natsume","kyoshikun.txt",""
"6","natsume","kyoshikun.txt","《》：ルビ"
"7","natsume","kyoshikun.txt","（例）生涯に"
"8","natsume","kyoshikun.txt",""
"9","natsume","kyoshikun.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","kyoshikun.txt","（例）この上｜相撲へ"
"11","natsume","kyoshikun.txt","-------------------------------------------------------"
"12","natsume","kyoshikun.txt",""
"13","natsume","kyoshikun.txt","昨日は失敬。"
"14","natsume","kyoshikun.txt","こう続けざまに芝居を見るのは私の生涯において未曾有の珍象ですが、私が、私に固有な因循極まる在来の軌道をぐれ出して、ちょっとでも陽気な御交際をするのは全くあなたのせいですよ。"
"15","natsume","kyoshikun.txt","それにも飽き足らず、この上｜相撲へ連れて行って、それから招魂社の能へ誘うと云うんだから、あなたは偉い。"
"16","natsume","kyoshikun.txt","実際善人か悪人か分らない。"
"17","natsume","kyoshikun.txt",""
"18","natsume","kyoshikun.txt","私は妙な性質で、寄席興行その他娯楽を目的とする場所へ行って坐っていると、その間に一種荒涼な感じが起るんです。"
"19","natsume","kyoshikun.txt","左右前後の綺羅が頭の中へ反映して、心理学にいわゆる反照聯想を起すためかとも思いますが、全くそうでもないらしいです。"
"20","natsume","kyoshikun.txt","あんな場所で周囲の人の顔や様子を見ていると、みんな浮いて見えます。"
"21","natsume","kyoshikun.txt","男でも女でもさも得意です。"
"22","natsume","kyoshikun.txt","その時ふとこの顔とこの様子から、自分の住む現在の社会が成立しているのだという考がどこからか出て来て急に不安になるのです。"
"23","natsume","kyoshikun.txt","そうして早々自分の穴へ帰りたくなるんです。"
"24","natsume","kyoshikun.txt",""
"25","natsume","kyoshikun.txt","そのときはまだ好いが、次にきっと自分も人から見れば、やっぱり浮いた顔をして、得意な調子をふりまわしているんだろうと気がつくのです。"
"26","natsume","kyoshikun.txt","そうするといかにも自分に対して面目なくなります。"
"27","natsume","kyoshikun.txt","その次には、自分の浮気や得意はこの場限りで、もう少しすると平生の我に帰るのだが、ほかの人のは、これが常態であって、家へ帰っても、職務に従事しても、あれでやっているんだと己惚れます。"
"28","natsume","kyoshikun.txt","すると自分はどうしてもここにいるべきではないとなる。"
"29","natsume","kyoshikun.txt","宅へ帰って、一二時間黙坐して見たいなんて気が起ります。"
"30","natsume","kyoshikun.txt",""
"31","natsume","kyoshikun.txt","そのくせ周囲の空気には名状すべからざる派出な刺激があって、一方からいうと前後を忘れ、自我を没して、この派出な刺激を痛切に味いたいのだから困ります。"
"32","natsume","kyoshikun.txt","その意味からいうと、美々しい女や華奢な男が、天地神明を忘れて、当面の春色に酔って、優越な都会人種をもって任ずる様や、あるいは天下をわがもの顔に得意にふるまうのが羨ましいのです。"
"33","natsume","kyoshikun.txt","そうかと云ってこの人造世界に向って猪進する勇気は無論ないです。"
"34","natsume","kyoshikun.txt","年来の生活状態からして、私は始終山の手の竹藪の中へ招かれている。"
"35","natsume","kyoshikun.txt","のみならず、この竹藪や書物のなかに、まるで趣の違った巣を食って生きて来たのです。"
"36","natsume","kyoshikun.txt","その方が私の性に合う。"
"37","natsume","kyoshikun.txt","それから直接に官能に訴える人巧的な刺激を除くと、この巣の方が遥かに意義があるように思われるんだから、四辺の空気に快よく耽溺する事ができないで迷っちまいます。"
"38","natsume","kyoshikun.txt","こんな中腰の態度で、芝居を見物する原因は複雑のようですが、その五割｜乃至七割は舞台で演ずる劇そのものに帰着するのかも知れません。"
"39","natsume","kyoshikun.txt","あの劇がね、私の巣の中の世界とはまるで別物で、しかもあまり上等でないからだろうと思うんです。"
"40","natsume","kyoshikun.txt","こう云うと、役者や見物を一概に罵倒するようでわるいから、ちょっと説明します。"
