"","auth","piece","line"
"0","natsume","maboroshino_tate.txt","幻影の盾"
"1","natsume","maboroshino_tate.txt","夏目漱石"
"2","natsume","maboroshino_tate.txt",""
"3","natsume","maboroshino_tate.txt","-------------------------------------------------------"
"4","natsume","maboroshino_tate.txt","【テキスト中に現れる記号について】"
"5","natsume","maboroshino_tate.txt",""
"6","natsume","maboroshino_tate.txt","《》：ルビ"
"7","natsume","maboroshino_tate.txt","（例）縹緲たる"
"8","natsume","maboroshino_tate.txt",""
"9","natsume","maboroshino_tate.txt","｜：ルビの付いていない漢字とルビの付く漢字の境の記号"
"10","natsume","maboroshino_tate.txt","（例）吾｜頚をも"
"11","natsume","maboroshino_tate.txt",""
"12","natsume","maboroshino_tate.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","natsume","maboroshino_tate.txt","（例）円卓の勇士を"
"14","natsume","maboroshino_tate.txt","-------------------------------------------------------"
"15","natsume","maboroshino_tate.txt",""
"16","natsume","maboroshino_tate.txt","一心不乱と云う事を、目に見えぬ怪力をかり、縹緲たる背景の前に写し出そうと考えて、この趣向を得た。"
"17","natsume","maboroshino_tate.txt","これを日本の物語に書き下さなかったのはこの趣向とわが国の風俗が調和すまいと思うたからである。"
"18","natsume","maboroshino_tate.txt","浅学にて古代騎士の状況に通ぜず、従って叙事妥当を欠き、描景真相を失する所が多かろう、読者の誨を待つ。"
"19","natsume","maboroshino_tate.txt",""
"20","natsume","maboroshino_tate.txt",""
"21","natsume","maboroshino_tate.txt","遠き世の物語である。"
"22","natsume","maboroshino_tate.txt","バロンと名乗るものの城を構え濠を環らして、人を屠り天に驕れる昔に帰れ。"
"23","natsume","maboroshino_tate.txt","今代の話しではない。"
"24","natsume","maboroshino_tate.txt",""
"25","natsume","maboroshino_tate.txt","何時の頃とも知らぬ。"
"26","natsume","maboroshino_tate.txt","只アーサー大王の御代とのみ言い伝えたる世に、ブレトンの一士人がブレトンの一女子に懸想した事がある。"
"27","natsume","maboroshino_tate.txt","その頃の恋はあだには出来ぬ。"
"28","natsume","maboroshino_tate.txt","思う人の唇に燃ゆる情けの息を吹く為には、吾肱をも折らねばならぬ、吾｜頚をも挫かねばならぬ、時としては吾血潮さえ容赦もなく流さねばならなかった。"
"29","natsume","maboroshino_tate.txt","懸想されたるブレトンの女は懸想せるブレトンの男に向って云う、君が恋、叶えんとならば、残りなく円卓の勇士を倒して、われを世に類いなき美しき女と名乗り給え、アーサーの養える名高き鷹を獲て吾｜許に送り届け給えと、男心得たりと腰に帯びたる長き剣に盟えば、天上天下に吾志を妨ぐるものなく、遂に仙姫の援を得て悉く女の言うところを果す。"
"30","natsume","maboroshino_tate.txt","鷹の足を纏える細き金の鎖の端に結びつけたる羊皮紙を読めば、三十一カ条の愛に関する法章であった。"
"31","natsume","maboroshino_tate.txt","所謂「愛の庁」の憲法とはこれである。"
"32","natsume","maboroshino_tate.txt","……盾の話しはこの憲法の盛に行われた時代に起った事と思え。"
"33","natsume","maboroshino_tate.txt",""
"34","natsume","maboroshino_tate.txt","行く路を扼すとは、その上騎士の間に行われた習慣である。"
