"","auth","piece","line"
"0","natsume","masaoka_shiki.txt","正岡子規"
"1","natsume","masaoka_shiki.txt","夏目漱石"
"2","natsume","masaoka_shiki.txt",""
"3","natsume","masaoka_shiki.txt","-------------------------------------------------------"
"4","natsume","masaoka_shiki.txt","【テキスト中に現れる記号について】"
"5","natsume","masaoka_shiki.txt",""
"6","natsume","masaoka_shiki.txt","《》：ルビ"
"7","natsume","masaoka_shiki.txt","（例）遣って来た。"
"8","natsume","masaoka_shiki.txt",""
"9","natsume","masaoka_shiki.txt",""
"10","natsume","masaoka_shiki.txt","｜：ルビの付いていない漢字とルビの付く漢字の境の記号"
"11","natsume","masaoka_shiki.txt","（例）又｜鮭で"
"12","natsume","masaoka_shiki.txt",""
"13","natsume","masaoka_shiki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","natsume","masaoka_shiki.txt","（例）当り前にするときん隠しが"
"15","natsume","masaoka_shiki.txt","-------------------------------------------------------"
"16","natsume","masaoka_shiki.txt",""
"17","natsume","masaoka_shiki.txt","正岡の食意地の張った話か。"
"18","natsume","masaoka_shiki.txt","ハヽヽヽ。"
"19","natsume","masaoka_shiki.txt","そうだなあ。"
"20","natsume","masaoka_shiki.txt","なんでも僕が松山に居た時分、子規は支那から帰って来て僕のところへ遣って来た。"
"21","natsume","masaoka_shiki.txt","自分のうちへ行くのかと思ったら、自分のうちへも行かず親族のうちへも行かず、此処に居るのだという。"
"22","natsume","masaoka_shiki.txt","僕が承知もしないうちに、当人一人で極めて居る。"
"23","natsume","masaoka_shiki.txt","御承知の通り僕は上野の裏座敷を借りて居たので、二階と下、合せて四間あった。"
"24","natsume","masaoka_shiki.txt","上野の人が頻りに止める。"
"25","natsume","masaoka_shiki.txt","正岡さんは肺病だそうだから伝染するといけないおよしなさいと頻りにいう。"
"26","natsume","masaoka_shiki.txt","僕も多少気味が悪かった。"
"27","natsume","masaoka_shiki.txt","けれども断わらんでもいいと、かまわずに置く。"
"28","natsume","masaoka_shiki.txt","僕は二階に居る、大将は下に居る。"
"29","natsume","masaoka_shiki.txt","其うち松山中の俳句を遣る門下生が集まって来る。"
"30","natsume","masaoka_shiki.txt","僕が学校から帰って見ると、毎日のように多勢来て居る。"
"31","natsume","masaoka_shiki.txt","僕は本を読む事もどうすることも出来ん。"
"32","natsume","masaoka_shiki.txt","尤も当時はあまり本を読む方でも無かったが、兎に角自分の時間というものが無いのだから、止むを得ず俳句を作った。"
"33","natsume","masaoka_shiki.txt","其から大将は昼になると蒲焼を取り寄せて、御承知の通りぴちゃぴちゃと音をさせて食う。"
"34","natsume","masaoka_shiki.txt","それも相談も無く自分で勝手に命じて勝手に食う。"
"35","natsume","masaoka_shiki.txt","まだ他の御馳走も取寄せて食ったようであったが、僕は蒲焼の事を一番よく覚えて居る。"
"36","natsume","masaoka_shiki.txt","それから東京へ帰る時分に、君払って呉れ玉えといって澄まして帰って行った。"
"37","natsume","masaoka_shiki.txt","僕もこれには驚いた。"
"38","natsume","masaoka_shiki.txt","其上まだ金を貸せという。"
"39","natsume","masaoka_shiki.txt","何でも十円かそこら持って行ったと覚えている。"
"40","natsume","masaoka_shiki.txt","それから帰りに奈良へ寄って其処から手紙をよこして、恩借の金子は当地に於て正に遣い果し候とか何とか書いていた。"
"41","natsume","masaoka_shiki.txt","恐らく一晩で遣ってしまったものであろう。"
"42","natsume","masaoka_shiki.txt",""
"43","natsume","masaoka_shiki.txt","併し其前は始終僕の方が御馳走になったものだ。"
