"","auth","piece","line"
"0","natsume","meian.txt","明暗"
"1","natsume","meian.txt","夏目漱石"
"2","natsume","meian.txt",""
"3","natsume","meian.txt","-------------------------------------------------------"
"4","natsume","meian.txt","【テキスト中に現れる記号について】"
"5","natsume","meian.txt",""
"6","natsume","meian.txt","《》：ルビ"
"7","natsume","meian.txt","（例）探り"
"8","natsume","meian.txt",""
"9","natsume","meian.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","meian.txt","（例）今｜現に"
"11","natsume","meian.txt",""
"12","natsume","meian.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","natsume","meian.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","natsume","meian.txt","（例）※"
"15","natsume","meian.txt","-------------------------------------------------------"
"16","natsume","meian.txt",""
"17","natsume","meian.txt","一"
"18","natsume","meian.txt",""
"19","natsume","meian.txt","医者は探りを入れた後で、手術台の上から津田を下した。"
"20","natsume","meian.txt",""
"21","natsume","meian.txt","「やっぱり穴が腸まで続いているんでした。"
"22","natsume","meian.txt","この前探った時は、途中に瘢痕の隆起があったので、ついそこが行きどまりだとばかり思って、ああ云ったんですが、今日疎通を好くするために、そいつをがりがり掻き落して見ると、まだ奥があるんです」"
"23","natsume","meian.txt","「そうしてそれが腸まで続いているんですか」"
"24","natsume","meian.txt","「そうです。"
"25","natsume","meian.txt","五分ぐらいだと思っていたのが約一寸ほどあるんです」"
"26","natsume","meian.txt","津田の顔には苦笑の裡に淡く盛り上げられた失望の色が見えた。"
"27","natsume","meian.txt","医者は白いだぶだぶした上着の前に両手を組み合わせたまま、ちょっと首を傾けた。"
"28","natsume","meian.txt","その様子が「御気の毒ですが事実だから仕方がありません。"
"29","natsume","meian.txt","医者は自分の職業に対して虚言を吐く訳に行かないんですから」という意味に受取れた。"
"30","natsume","meian.txt",""
"31","natsume","meian.txt","津田は無言のまま帯を締め直して、椅子の背に投げ掛けられた袴を取り上げながらまた医者の方を向いた。"
"32","natsume","meian.txt",""
"33","natsume","meian.txt","「腸まで続いているとすると、癒りっこないんですか」"
"34","natsume","meian.txt","「そんな事はありません」"
"35","natsume","meian.txt","医者は活溌にまた無雑作に津田の言葉を否定した。"
"36","natsume","meian.txt","併せて彼の気分をも否定するごとくに。"
"37","natsume","meian.txt",""
"38","natsume","meian.txt","「ただ今までのように穴の掃除ばかりしていては駄目なんです。"
"39","natsume","meian.txt","それじゃいつまで経っても肉の上りこはないから、今度は治療法を変えて根本的の手術を一思いにやるよりほかに仕方がありませんね」"
"40","natsume","meian.txt","「根本的の治療と云うと」"
"41","natsume","meian.txt","「切開です。"
"42","natsume","meian.txt","切開して穴と腸といっしょにしてしまうんです。"
"43","natsume","meian.txt","すると天然自然割かれた面の両側が癒着して来ますから、まあ本式に癒るようになるんです」"
"44","natsume","meian.txt","津田は黙って点頭いた。"
"45","natsume","meian.txt","彼の傍には南側の窓下に据えられた洋卓の上に一台の顕微鏡が載っていた。"
"46","natsume","meian.txt","医者と懇意な彼は先刻診察所へ這入った時、物珍らしさに、それを覗かせて貰ったのである。"
"47","natsume","meian.txt","その時八百五十倍の鏡の底に映ったものは、まるで図に撮影ったように鮮やかに見える着色の葡萄状の細菌であった。"
"48","natsume","meian.txt",""
"49","natsume","meian.txt","津田は袴を穿いてしまって、その洋卓の上に置いた皮の紙入を取り上げた時、ふとこの細菌の事を思い出した。"
"50","natsume","meian.txt","すると連想が急に彼の胸を不安にした。"
"51","natsume","meian.txt","診察所を出るべく紙入を懐に収めた彼はすでに出ようとしてまた躊躇した。"
"52","natsume","meian.txt",""
"53","natsume","meian.txt","「もし結核性のものだとすると、たとい今おっしゃったような根本的な手術をして、細い溝を全部腸の方へ切り開いてしまっても癒らないんでしょう」"
"54","natsume","meian.txt","「結核性なら駄目です。"
"55","natsume","meian.txt","それからそれへと穴を掘って奥の方へ進んで行くんだから、口元だけ治療したって役にゃ立ちません」"
"56","natsume","meian.txt","津田は思わず眉を寄せた。"
"57","natsume","meian.txt",""
"58","natsume","meian.txt","「私のは結核性じゃないんですか」"
"59","natsume","meian.txt","「いえ、結核性じゃありません」"
"60","natsume","meian.txt","津田は相手の言葉にどれほどの真実さがあるかを確かめようとして、ちょっと眼を医者の上に据えた。"
"61","natsume","meian.txt","医者は動かなかった。"
