"","auth","piece","line"
"0","natsume","mohoto_dokuritsu.txt","模倣と独立"
"1","natsume","mohoto_dokuritsu.txt","夏目漱石"
"2","natsume","mohoto_dokuritsu.txt",""
"3","natsume","mohoto_dokuritsu.txt","-------------------------------------------------------"
"4","natsume","mohoto_dokuritsu.txt","【テキスト中に現れる記号について】"
"5","natsume","mohoto_dokuritsu.txt",""
"6","natsume","mohoto_dokuritsu.txt","《》：ルビ"
"7","natsume","mohoto_dokuritsu.txt","（例）図らず"
"8","natsume","mohoto_dokuritsu.txt",""
"9","natsume","mohoto_dokuritsu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","mohoto_dokuritsu.txt","（例）大分｜縁故の深い学校であります。"
"11","natsume","mohoto_dokuritsu.txt",""
"12","natsume","mohoto_dokuritsu.txt",""
"13","natsume","mohoto_dokuritsu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","natsume","mohoto_dokuritsu.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"15","natsume","mohoto_dokuritsu.txt","（例）※"
"16","natsume","mohoto_dokuritsu.txt","-------------------------------------------------------"
"17","natsume","mohoto_dokuritsu.txt",""
"18","natsume","mohoto_dokuritsu.txt","今日は図らず御招きに預りまして突然参上致しました次第でありますが、私は元この学校で育った者で、私にとってはこの学校は大分｜縁故の深い学校であります。"
"19","natsume","mohoto_dokuritsu.txt","にもかかわらず、今日までこういう、即ち弁論部の御招待に預って、諸君の前に立った事は御座いませんでした。"
"20","natsume","mohoto_dokuritsu.txt","尤も御依頼も御座いませんでした。"
"21","natsume","mohoto_dokuritsu.txt","また遣る気もありませんでした。"
"22","natsume","mohoto_dokuritsu.txt","ただ今私を御紹介下さった速水君は知人であります。"
"23","natsume","mohoto_dokuritsu.txt","昔は御弟子で今は友達――いや友達以上の偉い人であります。"
"24","natsume","mohoto_dokuritsu.txt","しかし、知り合ではありますけれども、速水さんから頼まれた訳でもありません。"
"25","natsume","mohoto_dokuritsu.txt","今度私が此処に現われたのは安倍能成という――これも偉い人で、やはり私の教えた人でありますが――その人が何でも弁論部の方と御懇意だというので、その安倍能成君を通じての御依頼であります。"
"26","natsume","mohoto_dokuritsu.txt","その時私は実は御断りをしたかった。"
"27","natsume","mohoto_dokuritsu.txt","というのは、近来頭の具合が悪い。"
"28","natsume","mohoto_dokuritsu.txt","というよりも、頭の働き方がこういう所へ参って、組織立った御話をするに適しないようになっております。"
"29","natsume","mohoto_dokuritsu.txt","――一口に言えば、面倒臭いので、一応は御断りを致したのであります。"
"30","natsume","mohoto_dokuritsu.txt","けれども私の断り方がよほど正直だったので、――是非遣らなければならないならば出るが、まあどうか許してもらいたい――こういう風に返辞をした。"
"31","natsume","mohoto_dokuritsu.txt","ところが是非遣らなければならんから出ろ、というのです。"
"32","natsume","mohoto_dokuritsu.txt","後から考えると、余り私が正直過ぎたと思います。"
"33","natsume","mohoto_dokuritsu.txt","尤も、是非遣らなければならんというのはどういう訳だ、といって問い詰めるほどの問題でもありませんから、遣らなければならんものとして出て参りました。"
"34","natsume","mohoto_dokuritsu.txt","安倍君は君子であります。"
"35","natsume","mohoto_dokuritsu.txt","頼んだ事は引き受けさせようという方の君子。"
"36","natsume","mohoto_dokuritsu.txt","速水君も君子であります。"
"37","natsume","mohoto_dokuritsu.txt","これは頼まない方の君子、遠慮された方の君子でありますが。"
"38","natsume","mohoto_dokuritsu.txt","そういう訳で今日は出ましたので、演説をする前に言訳がましい事をいうのは甚だ卑怯なようでありますけれども、大して面白い事も御話は出来ないと思いますし、また問題があっても、学校の講義見たように秩序の立った御話は出来｜兼ねるだろうと思います。"
"39","natsume","mohoto_dokuritsu.txt","安倍君｜曰く、何を言ったって構いません、喜んで聴いているでしょう。"
"40","natsume","mohoto_dokuritsu.txt",""
"41","natsume","mohoto_dokuritsu.txt","それに、私は此校で教師をしていたことがあります。"
