"","auth","piece","line"
"0","natsume","mon.txt","門"
"1","natsume","mon.txt","夏目漱石"
"2","natsume","mon.txt",""
"3","natsume","mon.txt","-------------------------------------------------------"
"4","natsume","mon.txt","【テキスト中に現れる記号について】"
"5","natsume","mon.txt",""
"6","natsume","mon.txt","《》：ルビ"
"7","natsume","mon.txt","（例）宗助"
"8","natsume","mon.txt",""
"9","natsume","mon.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","mon.txt","（例）存外｜緊って"
"11","natsume","mon.txt",""
"12","natsume","mon.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","natsume","mon.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","natsume","mon.txt","（例）※"
"15","natsume","mon.txt","-------------------------------------------------------"
"16","natsume","mon.txt",""
"17","natsume","mon.txt","一"
"18","natsume","mon.txt",""
"19","natsume","mon.txt","宗助は先刻から縁側へ坐蒲団を持ち出して、日当りの好さそうな所へ気楽に胡坐をかいて見たが、やがて手に持っている雑誌を放り出すと共に、ごろりと横になった。"
"20","natsume","mon.txt","秋日和と名のつくほどの上天気なので、往来を行く人の下駄の響が、静かな町だけに、朗らかに聞えて来る。"
"21","natsume","mon.txt","肱枕をして軒から上を見上げると、奇麗な空が一面に蒼く澄んでいる。"
"22","natsume","mon.txt","その空が自分の寝ている縁側の、窮屈な寸法に較べて見ると、非常に広大である。"
"23","natsume","mon.txt","たまの日曜にこうして緩くり空を見るだけでもだいぶ違うなと思いながら、眉を寄せて、ぎらぎらする日をしばらく見つめていたが、眩しくなったので、今度はぐるりと寝返りをして障子の方を向いた。"
"24","natsume","mon.txt","障子の中では細君が裁縫をしている。"
"25","natsume","mon.txt",""
"26","natsume","mon.txt","「おい、好い天気だな」と話しかけた。"
"27","natsume","mon.txt","細君は、"
"28","natsume","mon.txt","「ええ」と云ったなりであった。"
"29","natsume","mon.txt","宗助も別に話がしたい訳でもなかったと見えて、それなり黙ってしまった。"
"30","natsume","mon.txt","しばらくすると今度は細君の方から、"
"31","natsume","mon.txt","「ちっと散歩でもしていらっしゃい」と云った。"
"32","natsume","mon.txt","しかしその時は宗助がただうんと云う生返事を返しただけであった。"
"33","natsume","mon.txt",""
"34","natsume","mon.txt","二三分して、細君は障子の硝子の所へ顔を寄せて、縁側に寝ている夫の姿を覗いて見た。"
"35","natsume","mon.txt","夫はどう云う了見か両膝を曲げて海老のように窮屈になっている。"
"36","natsume","mon.txt","そうして両手を組み合わして、その中へ黒い頭を突っ込んでいるから、肱に挟まれて顔がちっとも見えない。"
"37","natsume","mon.txt",""
"38","natsume","mon.txt","「あなたそんな所へ寝ると風邪引いてよ」と細君が注意した。"
"39","natsume","mon.txt","細君の言葉は東京のような、東京でないような、現代の女学生に共通な一種の調子を持っている。"
"40","natsume","mon.txt",""
"41","natsume","mon.txt","宗助は両肱の中で大きな眼をぱちぱちさせながら、"
"42","natsume","mon.txt","「寝やせん、大丈夫だ」と小声で答えた。"
"43","natsume","mon.txt",""
"44","natsume","mon.txt","それからまた静かになった。"
"45","natsume","mon.txt","外を通る護謨車のベルの音が二三度鳴った後から、遠くで鶏の時音をつくる声が聞えた。"
"46","natsume","mon.txt","宗助は仕立おろしの紡績織の背中へ、自然と浸み込んで来る光線の暖味を、襯衣の下で貪ぼるほど味いながら、表の音を聴くともなく聴いていたが、急に思い出したように、障子越しの細君を呼んで、"
"47","natsume","mon.txt","「御米、近来の近の字はどう書いたっけね」と尋ねた。"
"48","natsume","mon.txt","細君は別に呆れた様子もなく、若い女に特有なけたたましい笑声も立てず、"
"49","natsume","mon.txt","「近江のおうの字じゃなくって」と答えた。"
"50","natsume","mon.txt",""
"51","natsume","mon.txt","「その近江のおうの字が分らないんだ」"
"52","natsume","mon.txt","細君は立て切った障子を半分ばかり開けて、敷居の外へ長い物指を出して、その先で近の字を縁側へ書いて見せて、"
"53","natsume","mon.txt","「こうでしょう」と云ったぎり、物指の先を、字の留った所へ置いたなり、澄み渡った空を一しきり眺め入った。"
"54","natsume","mon.txt","宗助は細君の顔も見ずに、"
"55","natsume","mon.txt","「やっぱりそうか」と云ったが、冗談でもなかったと見えて、別に笑もしなかった。"
"56","natsume","mon.txt","細君も近の字はまるで気にならない様子で、"
"57","natsume","mon.txt","「本当に好い御天気だわね」と半ば独り言のように云いながら、障子を開けたまままた裁縫を始めた。"
"58","natsume","mon.txt","すると宗助は肱で挟んだ頭を少し擡げて、"
"59","natsume","mon.txt","「どうも字と云うものは不思議だよ」と始めて細君の顔を見た。"
"60","natsume","mon.txt",""
"61","natsume","mon.txt","「なぜ」"
"62","natsume","mon.txt","「なぜって、いくら容易い字でも、こりゃ変だと思って疑ぐり出すと分らなくなる。"
"63","natsume","mon.txt","この間も今日の今の字で大変迷った。"
"64","natsume","mon.txt","紙の上へちゃんと書いて見て、じっと眺めていると、何だか違ったような気がする。"
"65","natsume","mon.txt","しまいには見れば見るほど今らしくなくなって来る。"
"66","natsume","mon.txt","――御前そんな事を経験した事はないかい」"
"67","natsume","mon.txt","「まさか」"
"68","natsume","mon.txt","「おれだけかな」と宗助は頭へ手を当てた。"
"69","natsume","mon.txt",""
"70","natsume","mon.txt","「あなたどうかしていらっしゃるのよ」"
"71","natsume","mon.txt","「やっぱり神経衰弱のせいかも知れない」"
"72","natsume","mon.txt","「そうよ」と細君は夫の顔を見た。"
"73","natsume","mon.txt","夫はようやく立ち上った。"
"74","natsume","mon.txt",""
"75","natsume","mon.txt","針箱と糸屑の上を飛び越すように跨いで、茶の間の襖を開けると、すぐ座敷である。"
"76","natsume","mon.txt","南が玄関で塞がれているので、突き当りの障子が、日向から急に這入って来た眸には、うそ寒く映った。"
"77","natsume","mon.txt","そこを開けると、廂に逼るような勾配の崖が、縁鼻から聳えているので、朝の内は当って然るべきはずの日も容易に影を落さない。"
"78","natsume","mon.txt","崖には草が生えている。"
"79","natsume","mon.txt","下からして一側も石で畳んでないから、いつ壊れるか分らない虞があるのだけれども、不思議にまだ壊れた事がないそうで、そのためか家主も長い間昔のままにして放ってある。"
"80","natsume","mon.txt","もっとも元は一面の竹藪だったとかで、それを切り開く時に根だけは掘り返さずに土堤の中に埋めて置いたから、地は存外｜緊っていますからねと、町内に二十年も住んでいる八百屋の爺が勝手口でわざわざ説明してくれた事がある。"
"81","natsume","mon.txt","その時宗助はだって根が残っていれば、また竹が生えて藪になりそうなものじゃないかと聞き返して見た。"
"82","natsume","mon.txt","すると爺は、それがね、ああ切り開かれて見ると、そう甘く行くもんじゃありませんよ。"
"83","natsume","mon.txt","しかし崖だけは大丈夫です。"
"84","natsume","mon.txt","どんな事があったって壊えっこはねえんだからと、あたかも自分のものを弁護でもするように力んで帰って行った。"
"85","natsume","mon.txt",""
"86","natsume","mon.txt","崖は秋に入っても別に色づく様子もない。"
"87","natsume","mon.txt","ただ青い草の匂が褪めて、不揃にもじゃもじゃするばかりである。"
"88","natsume","mon.txt","薄だの蔦だのと云う洒落たものに至ってはさらに見当らない。"
"89","natsume","mon.txt","その代り昔の名残りの孟宗が中途に二本、上の方に三本ほどすっくりと立っている。"
"90","natsume","mon.txt","それが多少黄に染まって、幹に日の射すときなぞは、軒から首を出すと、土手の上に秋の暖味を眺められるような心持がする。"
"91","natsume","mon.txt","宗助は朝出て四時過に帰る男だから、日の詰まるこの頃は、滅多に崖の上を覗く暇を有たなかった。"
"92","natsume","mon.txt","暗い便所から出て、手水鉢の水を手に受けながら、ふと廂の外を見上げた時、始めて竹の事を思い出した。"
"93","natsume","mon.txt","幹の頂に濃かな葉が集まって、まるで坊主頭のように見える。"
"94","natsume","mon.txt","それが秋の日に酔って重く下を向いて、寂そりと重なった葉が一枚も動かない。"
"95","natsume","mon.txt",""
"96","natsume","mon.txt","宗助は障子を閉てて座敷へ帰って、机の前へ坐った。"
"97","natsume","mon.txt","座敷とは云いながら客を通すからそう名づけるまでで、実は書斎とか居間とか云う方が穏当である。"
"98","natsume","mon.txt","北側に床があるので、申訳のために変な軸を掛けて、その前に朱泥の色をした拙な花活が飾ってある。"
"99","natsume","mon.txt","欄間には額も何もない。"
"100","natsume","mon.txt","ただ真鍮の折釘だけが二本光っている。"
"101","natsume","mon.txt","その他には硝子戸の張った書棚が一つある。"
"102","natsume","mon.txt","けれども中には別にこれと云って目立つほどの立派なものも這入っていない。"
"103","natsume","mon.txt",""
"104","natsume","mon.txt","宗助は銀金具の付いた机の抽出を開けてしきりに中を検べ出したが、別に何も見つけ出さないうちに、はたりと締めてしまった。"
"105","natsume","mon.txt","それから硯箱の葢を取って、手紙を書き始めた。"
"106","natsume","mon.txt","一本書いて封をして、ちょっと考えたが、"
"107","natsume","mon.txt","「おい、佐伯のうちは中六番町何番地だったかね」と襖｜越に細君に聞いた。"
"108","natsume","mon.txt",""
"109","natsume","mon.txt","「二十五番地じゃなくって」と細君は答えたが、宗助が名宛を書き終る頃になって、"
"110","natsume","mon.txt","「手紙じゃ駄目よ、行ってよく話をして来なくっちゃ」と付け加えた。"
"111","natsume","mon.txt",""
"112","natsume","mon.txt","「まあ、駄目までも手紙を一本出しておこう。"
"113","natsume","mon.txt","それでいけなかったら出掛けるとするさ」と云い切ったが、細君が返事をしないので、"
"114","natsume","mon.txt","「ねえ、おい、それで好いだろう」と念を押した。"
"115","natsume","mon.txt",""
"116","natsume","mon.txt","細君は悪いとも云い兼ねたと見えて、その上争いもしなかった。"
"117","natsume","mon.txt","宗助は郵便を持ったまま、座敷から直ぐ玄関に出た。"
"118","natsume","mon.txt","細君は夫の足音を聞いて始めて、座を立ったが、これは茶の間の縁伝いに玄関に出た。"
"119","natsume","mon.txt",""
"120","natsume","mon.txt","「ちょっと散歩に行って来るよ」"
"121","natsume","mon.txt","「行っていらっしゃい」と細君は微笑しながら答えた。"
"122","natsume","mon.txt",""
"123","natsume","mon.txt","三十分ばかりして格子ががらりと開いたので、御米はまた裁縫の手をやめて、縁伝いに玄関へ出て見ると、帰ったと思う宗助の代りに、高等学校の制帽を被った、弟の小六が這入って来た。"
"124","natsume","mon.txt","袴の裾が五六寸しか出ないくらいの長い黒羅紗のマントの釦を外しながら、"
"125","natsume","mon.txt","「暑い」と云っている。"
"126","natsume","mon.txt",""
"127","natsume","mon.txt","「だって余まりだわ。"
"128","natsume","mon.txt","この御天気にそんな厚いものを着て出るなんて」"
"129","natsume","mon.txt","「何、日が暮れたら寒いだろうと思って」と小六は云訳を半分しながら、嫂の後に跟いて、茶の間へ通ったが、縫い掛けてある着物へ眼を着けて、"
"130","natsume","mon.txt","「相変らず精が出ますね」と云ったなり、長火鉢の前へ胡坐をかいた。"
"131","natsume","mon.txt","嫂は裁縫を隅の方へ押しやっておいて、小六の向へ来て、ちょっと鉄瓶をおろして炭を継ぎ始めた。"
"132","natsume","mon.txt",""
"133","natsume","mon.txt","「御茶ならたくさんです」と小六が云った。"
"134","natsume","mon.txt",""
"135","natsume","mon.txt","「厭？」と女学生流に念を押した御米は、"
"136","natsume","mon.txt","「じゃ御菓子は」と云って笑いかけた。"
"137","natsume","mon.txt",""
"138","natsume","mon.txt","「あるんですか」と小六が聞いた。"
"139","natsume","mon.txt",""
"140","natsume","mon.txt","「いいえ、無いの」と正直に答えたが、思い出したように、「待ってちょうだい、あるかも知れないわ」と云いながら立ち上がる拍子に、横にあった炭取を取り退けて、袋戸棚を開けた。"
"141","natsume","mon.txt","小六は御米の後姿の、羽織が帯で高くなった辺を眺めていた。"
"142","natsume","mon.txt","何を探すのだかなかなか手間が取れそうなので、"
"143","natsume","mon.txt","「じゃ御菓子も廃しにしましょう。"
"144","natsume","mon.txt","それよりか、今日は兄さんはどうしました」と聞いた。"
"145","natsume","mon.txt",""
"146","natsume","mon.txt","「兄さんは今ちょいと」と後向のまま答えて、御米はやはり戸棚の中を探している。"
"147","natsume","mon.txt","やがてぱたりと戸を締めて、"
"148","natsume","mon.txt","「駄目よ。"
"149","natsume","mon.txt","いつの間にか兄さんがみんな食べてしまった」と云いながら、また火鉢の向へ帰って来た。"
"150","natsume","mon.txt",""
"151","natsume","mon.txt","「じゃ晩に何か御馳走なさい」"
"152","natsume","mon.txt","「ええしてよ」と柱時計を見ると、もう四時近くである。"
"153","natsume","mon.txt","御米は「四時、五時、六時」と時間を勘定した。"
"154","natsume","mon.txt","小六は黙って嫂の顔を見ていた。"
"155","natsume","mon.txt","彼は実際嫂の御馳走には余り興味を持ち得なかったのである。"
"156","natsume","mon.txt",""
"157","natsume","mon.txt","「姉さん、兄さんは佐伯へ行ってくれたんですかね」と聞いた。"
"158","natsume","mon.txt",""
"159","natsume","mon.txt","「この間から行く行くって云ってる事は云ってるのよ。"
"160","natsume","mon.txt","だけど、兄さんも朝出て夕方に帰るんでしょう。"
"161","natsume","mon.txt","帰ると草臥れちまって、御湯に行くのも大儀そうなんですもの。"
"162","natsume","mon.txt","だから、そう責めるのも実際御気の毒よ」"
"163","natsume","mon.txt","「そりゃ兄さんも忙がしいには違なかろうけれども、僕もあれがきまらないと気がかりで落ちついて勉強もできないんだから」と云いながら、小六は真鍮の火箸を取って火鉢の灰の中へ何かしきりに書き出した。"
"164","natsume","mon.txt","御米はその動く火箸の先を見ていた。"
"165","natsume","mon.txt",""
"166","natsume","mon.txt","「だから先刻手紙を出しておいたのよ」と慰めるように云った。"
"167","natsume","mon.txt",""
"168","natsume","mon.txt","「何て」"
"169","natsume","mon.txt","「そりゃ私もつい見なかったの。"
"170","natsume","mon.txt","けれども、きっとあの相談よ。"
"171","natsume","mon.txt","今に兄さんが帰って来たら聞いて御覧なさい。"
"172","natsume","mon.txt","きっとそうよ」"
"173","natsume","mon.txt","「もし手紙を出したのなら、その用には違ないでしょう」"
"174","natsume","mon.txt","「ええ、本当に出したのよ。"
"175","natsume","mon.txt","今兄さんがその手紙を持って、出しに行ったところなの」"
"176","natsume","mon.txt","小六はこれ以上弁解のような慰藉のような嫂の言葉に耳を借したくなかった。"
"177","natsume","mon.txt","散歩に出る閑があるなら、手紙の代りに自分で足を運んでくれたらよさそうなものだと思うと余り好い心持でもなかった。"
"178","natsume","mon.txt","座敷へ来て、書棚の中から赤い表紙の洋書を出して、方々｜頁を剥って見ていた。"
"179","natsume","mon.txt",""
"180","natsume","mon.txt",""
"181","natsume","mon.txt","二"
"182","natsume","mon.txt",""
"183","natsume","mon.txt","そこに気のつかなかった宗助は、町の角まで来て、切手と「敷島」を同じ店で買って、郵便だけはすぐ出したが、その足でまた同じ道を戻るのが何だか不足だったので、啣え煙草の煙を秋の日に揺つかせながら、ぶらぶら歩いているうちに、どこか遠くへ行って、東京と云う所はこんな所だと云う印象をはっきり頭の中へ刻みつけて、そうしてそれを今日の日曜の土産に家へ帰って寝ようと云う気になった。"
"184","natsume","mon.txt","彼は年来東京の空気を吸って生きている男であるのみならず、毎日役所の行通には電車を利用して、賑やかな町を二度ずつはきっと往ったり来たりする習慣になっているのではあるが、身体と頭に楽がないので、いつでも上の空で素通りをする事になっているから、自分がその賑やかな町の中に活きていると云う自覚は近来とんと起った事がない。"
"185","natsume","mon.txt","もっとも平生は忙がしさに追われて、別段気にも掛からないが、七日に一返の休日が来て、心がゆったりと落ちつける機会に出逢うと、不断の生活が急にそわそわした上調子に見えて来る。"
"186","natsume","mon.txt","必竟自分は東京の中に住みながら、ついまだ東京というものを見た事がないんだという結論に到着すると、彼はそこにいつも妙な物｜淋しさを感ずるのである。"
"187","natsume","mon.txt",""
"188","natsume","mon.txt","そう云う時には彼は急に思い出したように町へ出る。"
"189","natsume","mon.txt","その上｜懐に多少｜余裕でもあると、これで一つ豪遊でもしてみようかと考える事もある。"
"190","natsume","mon.txt","けれども彼の淋しみは、彼を思い切った極端に駆り去るほどに、強烈の程度なものでないから、彼がそこまで猛進する前に、それも馬鹿馬鹿しくなってやめてしまう。"
"191","natsume","mon.txt","のみならず、こんな人の常態として、紙入の底が大抵の場合には、軽挙を戒める程度内に膨らんでいるので、億劫な工夫を凝らすよりも、懐手をして、ぶらりと家へ帰る方が、つい楽になる。"
"192","natsume","mon.txt","だから宗助の淋しみは単なる散歩か勧工場縦覧ぐらいなところで、次の日曜まではどうかこうか慰藉されるのである。"
"193","natsume","mon.txt",""
"194","natsume","mon.txt","この日も宗助はともかくもと思って電車へ乗った。"
"195","natsume","mon.txt","ところが日曜の好天気にもかかわらず、平常よりは乗客が少ないので例になく乗心地が好かった。"
"196","natsume","mon.txt","その上乗客がみんな平和な顔をして、どれもこれも悠たりと落ちついているように見えた。"
"197","natsume","mon.txt","宗助は腰を掛けながら、毎朝例刻に先を争って席を奪い合いながら、丸の内方面へ向う自分の運命を顧みた。"
"198","natsume","mon.txt","出勤刻限の電車の道伴ほど殺風景なものはない。"
"199","natsume","mon.txt","革にぶら下がるにしても、天鵞絨に腰を掛けるにしても、人間的な優しい心持の起った試はいまだかつてない。"
"200","natsume","mon.txt","自分もそれでたくさんだと考えて、器械か何ぞと膝を突き合せ肩を並べたかのごとくに、行きたい所まで同席して不意と下りてしまうだけであった。"
"201","natsume","mon.txt","前の御婆さんが八つぐらいになる孫娘の耳の所へ口を付けて何か云っているのを、傍に見ていた三十｜恰好の商家の御神さんらしいのが、可愛らしがって、年を聞いたり名を尋ねたりするところを眺めていると、今更ながら別の世界に来たような心持がした。"
"202","natsume","mon.txt",""
"203","natsume","mon.txt","頭の上には広告が一面に枠に嵌めて掛けてあった。"
"204","natsume","mon.txt","宗助は平生これにさえ気がつかなかった。"
"205","natsume","mon.txt","何心なしに一番目のを読んで見ると、引越は容易にできますと云う移転会社の引札であった。"
"206","natsume","mon.txt","その次には経済を心得る人は、衛生に注意する人は、火の用心を好むものは、と三行に並べておいてその後に瓦斯竈を使えと書いて、瓦斯竈から火の出ている画まで添えてあった。"
"207","natsume","mon.txt","三番目には露国文豪トルストイ伯傑作「千古の雪」と云うのと、バンカラ喜劇｜小辰大一座と云うのが、赤地に白で染め抜いてあった。"
"208","natsume","mon.txt",""
"209","natsume","mon.txt","宗助は約十分もかかって、すべての広告を丁寧に三返ほど読み直した。"
"210","natsume","mon.txt","別に行って見ようと思うものも、買って見たいと思うものも無かったが、ただこれらの広告が判然と自分の頭に映って、そうしてそれを一々読み終せた時間のあった事と、それをことごとく理解し得たと云う心の余裕が、宗助には少なからぬ満足を与えた。"
"211","natsume","mon.txt","彼の生活はこれほどの余裕にすら誇りを感ずるほどに、日曜以外の出入りには、落ちついていられないものであった。"
"212","natsume","mon.txt",""
"213","natsume","mon.txt","宗助は駿河台下で電車を降りた。"
"214","natsume","mon.txt","降りるとすぐ右側の窓硝子の中に美しく並べてある洋書に眼がついた。"
"215","natsume","mon.txt","宗助はしばらくその前に立って、赤や青や縞や模様の上に、鮮かに叩き込んである金文字を眺めた。"
"216","natsume","mon.txt","表題の意味は無論解るが、手に取って、中を検べて見ようという好奇心はちっとも起らなかった。"
"217","natsume","mon.txt","本屋の前を通ると、きっと中へ這入って見たくなったり、中へ這入ると必ず何か欲しくなったりするのは、宗助から云うと、すでに一昔し前の生活である。"
"218","natsume","mon.txt","ただ History of Gambling（博奕史）と云うのが、ことさらに美装して、一番真中に飾られてあったので、それが幾分か彼の頭に突飛な新し味を加えただけであった。"
"219","natsume","mon.txt",""
"220","natsume","mon.txt","宗助は微笑しながら、急忙しい通りを向側へ渡って、今度は時計屋の店を覗き込んだ。"
"221","natsume","mon.txt","金時計だの金鎖が幾つも並べてあるが、これもただ美しい色や恰好として、彼の眸に映るだけで、買いたい了簡を誘致するには至らなかった。"
"222","natsume","mon.txt","その癖彼は一々絹糸で釣るした価格札を読んで、品物と見較べて見た。"
"223","natsume","mon.txt","そうして実際金時計の安価なのに驚ろいた。"
"224","natsume","mon.txt",""
"225","natsume","mon.txt","蝙蝠傘屋の前にもちょっと立ちどまった。"
"226","natsume","mon.txt","西洋｜小間物を売る店先では、礼帽の傍にかけてあった襟飾りに眼がついた。"
"227","natsume","mon.txt","自分の毎日かけているのよりも大変｜柄が好かったので、価を聞いてみようかと思って、半分店の中へ這入りかけたが、明日から襟飾りなどをかけ替えたところが下らない事だと思い直すと、急に蟇口の口を開けるのが厭になって行き過ぎた。"
"228","natsume","mon.txt","呉服店でもだいぶ立見をした。"
"229","natsume","mon.txt","鶉御召だの、高貴織だの、清凌織だの、自分の今日まで知らずに過ぎた名をたくさん覚えた。"
"230","natsume","mon.txt","京都の襟新と云う家の出店の前で、窓硝子へ帽子の鍔を突きつけるように近く寄せて、精巧に刺繍をした女の半襟を、いつまでも眺めていた。"
"231","natsume","mon.txt","その中にちょうど細君に似合いそうな上品なのがあった。"
"232","natsume","mon.txt","買って行ってやろうかという気がちょっと起るや否や、そりゃ五六年｜前の事だと云う考が後から出て来て、せっかく心持の好い思いつきをすぐ揉み消してしまった。"
"233","natsume","mon.txt","宗助は苦笑しながら窓硝子を離れてまた歩き出したが、それから半町ほどの間は何だかつまらないような気分がして、往来にも店先にも格段の注意を払わなかった。"
"234","natsume","mon.txt",""
"235","natsume","mon.txt","ふと気がついて見ると角に大きな雑誌屋があって、その軒先には新刊の書物が大きな字で広告してある。"
"236","natsume","mon.txt","梯子のような細長い枠へ紙を張ったり、ペンキ塗の一枚板へ模様画みたような色彩を施こしたりしてある。"
"237","natsume","mon.txt","宗助はそれを一々読んだ。"
"238","natsume","mon.txt","著者の名前も作物の名前も、一度は新聞の広告で見たようでもあり、また全く新奇のようでもあった。"
"239","natsume","mon.txt",""
"240","natsume","mon.txt","この店の曲り角の影になった所で、黒い山高帽を被った三十ぐらいの男が地面の上へ気楽そうに胡坐をかいて、ええ御子供衆の御慰みと云いながら、大きな護謨風船を膨らましている。"
"241","natsume","mon.txt","それが膨れると自然と達磨の恰好になって、好加減な所に眼口まで墨で書いてあるのに宗助は感心した。"
"242","natsume","mon.txt","その上一度息を入れると、いつまでも膨れている。"
"243","natsume","mon.txt","かつ指の先へでも、手の平の上へでも自由に尻が据る。"
"244","natsume","mon.txt","それが尻の穴へ楊枝のような細いものを突っ込むとしゅうっと一度に収縮してしまう。"
"245","natsume","mon.txt",""
"246","natsume","mon.txt","忙がしい往来の人は何人でも通るが、誰も立ちどまって見るほどのものはない。"
"247","natsume","mon.txt","山高帽の男は賑やかな町の隅に、冷やかに胡坐をかいて、身の周囲に何事が起りつつあるかを感ぜざるもののごとくに、ええ御子供衆の御慰みと云っては、達磨を膨らましている。"
"248","natsume","mon.txt","宗助は一銭五厘出して、その風船を一つ買って、しゅっと縮ましてもらって、それを袂へ入れた。"
"249","natsume","mon.txt","奇麗な床屋へ行って、髪を刈りたくなったが、どこにそんな奇麗なのがあるか、ちょっと見つからないうちに、日が限って来たので、また電車へ乗って、宅の方へ向った。"
"250","natsume","mon.txt",""
"251","natsume","mon.txt","宗助が電車の終点まで来て、運転手に切符を渡した時には、もう空の色が光を失いかけて、湿った往来に、暗い影が射し募る頃であった。"
"252","natsume","mon.txt","降りようとして、鉄の柱を握ったら、急に寒い心持がした。"
"253","natsume","mon.txt","いっしょに降りた人は、皆な離れ離れになって、事あり気に忙がしく歩いて行く。"
"254","natsume","mon.txt","町のはずれを見ると、左右の家の軒から家根へかけて、仄白い煙りが大気の中に動いているように見える。"
"255","natsume","mon.txt","宗助も樹の多い方角に向いて早足に歩を移した。"
"256","natsume","mon.txt","今日の日曜も、暢びりした御天気も、もうすでにおしまいだと思うと、少しはかないようなまた淋しいような一種の気分が起って来た。"
"257","natsume","mon.txt","そうして明日からまた例によって例のごとく、せっせと働らかなくてはならない身体だと考えると、今日半日の生活が急に惜しくなって、残る六日半の非精神的な行動が、いかにもつまらなく感ぜられた。"
"258","natsume","mon.txt","歩いているうちにも、日当の悪い、窓の乏しい、大きな部屋の模様や、隣りに坐っている同僚の顔や、野中さんちょっとと云う上官の様子ばかりが眼に浮かんだ。"
"259","natsume","mon.txt",""
