"","auth","piece","line"
"0","natsume","nagatsuka_takashishino.txt","長塚節氏の小説「土」"
"1","natsume","nagatsuka_takashishino.txt","夏目漱石"
"2","natsume","nagatsuka_takashishino.txt",""
"3","natsume","nagatsuka_takashishino.txt","-------------------------------------------------------"
"4","natsume","nagatsuka_takashishino.txt","【テキスト中に現れる記号について】"
"5","natsume","nagatsuka_takashishino.txt",""
"6","natsume","nagatsuka_takashishino.txt","《》：ルビ"
"7","natsume","nagatsuka_takashishino.txt","（例）斯んな考え"
"8","natsume","nagatsuka_takashishino.txt",""
"9","natsume","nagatsuka_takashishino.txt","｜：ルビの付いていない漢字とルビの付く漢字の境の記号"
"10","natsume","nagatsuka_takashishino.txt","（例）今度｜載せる"
"11","natsume","nagatsuka_takashishino.txt","-------------------------------------------------------"
"12","natsume","nagatsuka_takashishino.txt",""
"13","natsume","nagatsuka_takashishino.txt","一方に斯んな考えがあった。"
"14","natsume","nagatsuka_takashishino.txt","――"
"15","natsume","nagatsuka_takashishino.txt","好い所を世間から認められた諸作家の特色を胸に蔵して、其標準で新しい作物に向うと、まだ其作物を読まないうちに、早く既に型に堕在している。"
"16","natsume","nagatsuka_takashishino.txt","従ってわが評論は誠実でも、わが態度は独立でも、又わが言説の内容は妥当でも、始めから此方に定まった尺度を持っていて、其尺度で測ってならないもの迄も律したがる弊が出る。"
"17","natsume","nagatsuka_takashishino.txt","其結果は働きのない死んだ批評に陥って仕舞う事がよくある。"
"18","natsume","nagatsuka_takashishino.txt",""
"19","natsume","nagatsuka_takashishino.txt","夫よりか、今日迄文壇に認められなかった、若くは顧みられなかった、新しい特殊な趣味を、ある作物のうちに発見して、それを天下に紹介する方が評家に取って痛快な場合が多い。"
"20","natsume","nagatsuka_takashishino.txt","又其特殊な趣味が容易に多数に肯われない所を、決然身を挺して唱道する所が、評家会心の点らしい。"
"21","natsume","nagatsuka_takashishino.txt","文壇はこれがために、新領土を手に入れたと同じ訳になるからである。"
"22","natsume","nagatsuka_takashishino.txt",""
"23","natsume","nagatsuka_takashishino.txt","一方に又｜斯んな事実があった。"
"24","natsume","nagatsuka_takashishino.txt","――"
"25","natsume","nagatsuka_takashishino.txt","近頃文芸の雑誌がしきりに殖える。"
"26","natsume","nagatsuka_takashishino.txt","毎月活版に組まれる創作の数も余程の数に上って来た。"
"27","natsume","nagatsuka_takashishino.txt","評論の筆を執るものが、一々それを熟読する機会を失った。"
"28","natsume","nagatsuka_takashishino.txt","余の如き自家の職業上、文芸の諸雑誌に一応眼を通すべき義務を感じていてさえ、多忙のため果さざる月が多い。"
"29","natsume","nagatsuka_takashishino.txt",""
"30","natsume","nagatsuka_takashishino.txt","漸く手の隙いた頃を見計って、読み落した諸家の短篇物を読んで行くうちに、無名の人の筆に成ったもので、名声のある大家の作と比べて遜色のないもの、或はある意味から云って、却てそれよりも優れていると思われるものが間々出て来た。"
"31","natsume","nagatsuka_takashishino.txt","そうして当時の評論を調べて見ると、是等の作物が全く問題になって居ない。"
"32","natsume","nagatsuka_takashishino.txt","青木健作氏の「虻」抔は好例である。"
"33","natsume","nagatsuka_takashishino.txt",""
"34","natsume","nagatsuka_takashishino.txt","型に入った批評家のために閑却され、多忙のため不公平を甘んずる批評家のために閑却されては、作家（ことに新進作家）は気の毒である。"
"35","natsume","nagatsuka_takashishino.txt","時と場合の許す限りそういう弊は矯正したい。"
"36","natsume","nagatsuka_takashishino.txt","「朝日」に長塚節氏の「土」を掲げるのも幾分か此主意である。"
"37","natsume","nagatsuka_takashishino.txt",""
"38","natsume","nagatsuka_takashishino.txt","二三年前節氏の佐渡記行を読んで感服した事がある。"
"39","natsume","nagatsuka_takashishino.txt","記行文であったけれども普通の小説よりも面白いと思った。"
"40","natsume","nagatsuka_takashishino.txt","氏はまだ若い人である。"
"41","natsume","nagatsuka_takashishino.txt","しかも若い人に似合わず落ち付き払って、行くべき路を行って、少しも時好を追わない。"
"42","natsume","nagatsuka_takashishino.txt","是はわざと流行に反対したの何のという六ずかしい意味ではなくて、氏には本来芸術的な一片の性情があって、氏はただ其性情に従うの外、他を顧みる暇を有たないのである。"
"43","natsume","nagatsuka_takashishino.txt","余は其態度を床しく思った。"
"44","natsume","nagatsuka_takashishino.txt",""
"45","natsume","nagatsuka_takashishino.txt","尤も今度｜載せる「土」の出来栄は、今から先を見越した様な予言が出来る程進行していない。"
"46","natsume","nagatsuka_takashishino.txt","最初余から交渉した時、節氏は自分の責任の重いのを気遣って長い間返事を寄こさなかった。"
"47","natsume","nagatsuka_takashishino.txt","夫から漸く遣って見様という挨拶が来た。"
"48","natsume","nagatsuka_takashishino.txt","夫から四十枚程原稿が来た。"
"49","natsume","nagatsuka_takashishino.txt","予告は此原稿と、氏の書信によって、草平氏が書いた。"
"50","natsume","nagatsuka_takashishino.txt","今の所余は「土」の一篇がうまく成功する事を氏のために、読者のために、且新聞のために祈るのみである。"
"51","natsume","nagatsuka_takashishino.txt",""
"52","natsume","nagatsuka_takashishino.txt","有名な英国の碩学ミルは若い時、同じく若いテニソンをロンドン・リポジトリ紙上に紹介して、猶其次号にブラウニングを紹介しようとした。"
"53","natsume","nagatsuka_takashishino.txt","主筆から彼の批評は既に前号に載せたという返書を得て調べて見ると、頁の最後の一行にただ「ポーリン是は譫言なり」とあった。"
"54","natsume","nagatsuka_takashishino.txt","同雑誌の編輯者が一行余った処へ埋草に入れたものである。"
"55","natsume","nagatsuka_takashishino.txt","ブラウニングは後年人に語って、あの批評のために自分が世間に知られる機会が二十年後れたと云った。"
"56","natsume","nagatsuka_takashishino.txt",""
"57","natsume","nagatsuka_takashishino.txt","余が新しい作家を紹介するのは、ミルを以て自ら任ずると云うより、かかる無責任な評論家の手から、望みのある人を救おうとする老婆心である。"
"58","natsume","nagatsuka_takashishino.txt",""
"59","natsume","nagatsuka_takashishino.txt",""
"60","natsume","nagatsuka_takashishino.txt",""
"61","natsume","nagatsuka_takashishino.txt",""
"62","natsume","nagatsuka_takashishino.txt","底本：「筑摩全集類聚版夏目漱石全集10」筑摩書房"
"63","natsume","nagatsuka_takashishino.txt","1972（昭和47）年1月10日第1刷発行"
"64","natsume","nagatsuka_takashishino.txt","※吉田精一による底本の「解説」によれば、発表年月は、1910（明治43）年6月。"
"65","natsume","nagatsuka_takashishino.txt",""
"66","natsume","nagatsuka_takashishino.txt","入力：Nana ohbe"
"67","natsume","nagatsuka_takashishino.txt","校正：米田進"
"68","natsume","nagatsuka_takashishino.txt","2002年4月27日作成"
"69","natsume","nagatsuka_takashishino.txt","2003年5月25日修正"
"70","natsume","nagatsuka_takashishino.txt","青空文庫作成ファイル："
"71","natsume","nagatsuka_takashishino.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"72","natsume","nagatsuka_takashishino.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
