"","auth","piece","line"
"0","natsume","neko_gehen.txt","『吾輩は猫である』下篇自序"
"1","natsume","neko_gehen.txt","夏目漱石"
"2","natsume","neko_gehen.txt",""
"3","natsume","neko_gehen.txt","-------------------------------------------------------"
"4","natsume","neko_gehen.txt","【テキスト中に現れる記号について】"
"5","natsume","neko_gehen.txt",""
"6","natsume","neko_gehen.txt","《》：ルビ"
"7","natsume","neko_gehen.txt","（例）頁"
"8","natsume","neko_gehen.txt",""
"9","natsume","neko_gehen.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","neko_gehen.txt","（例）何カ月｜経ったか"
"11","natsume","neko_gehen.txt","-------------------------------------------------------"
"12","natsume","neko_gehen.txt",""
"13","natsume","neko_gehen.txt","「猫」の下巻を活字に植えて見たら頁が足りないから、もう少し書き足してくれと云う。"
"14","natsume","neko_gehen.txt","書肆は「猫」を以て伸縮自在と心得て居るらしい。"
"15","natsume","neko_gehen.txt","いくら猫でも一旦甕へ落ちて往生した以上は、そう安っぽく復活が出来る訳のものではない。"
"16","natsume","neko_gehen.txt","頁が足らんからと云うて、おいそれと甕から這い上る様では猫の沽券にも関わる事だから是丈は御免蒙ることに致した。"
"17","natsume","neko_gehen.txt",""
"18","natsume","neko_gehen.txt","「猫」の甕へ落ちる時分は、漱石先生は、巻中の主人公苦沙弥先生と同じく教師であった。"
"19","natsume","neko_gehen.txt","甕へ落ちてから何カ月｜経ったか大往生を遂げた猫は固より知る筈がない。"
"20","natsume","neko_gehen.txt","然し此序をかく今日の漱石先生は既に教師ではなくなった。"
"21","natsume","neko_gehen.txt","主人苦沙弥先生も今頃は休職か、免職になったかも知れぬ。"
"22","natsume","neko_gehen.txt","世の中は猫の目玉の様にぐるぐる廻転している。"
"23","natsume","neko_gehen.txt","僅か数カ月のうちに往生するのも出来る。"
"24","natsume","neko_gehen.txt","月給を棒に振るものも出来る。"
"25","natsume","neko_gehen.txt","暮も過ぎ正月も過ぎ、花も散って、また若葉の時節となった。"
"26","natsume","neko_gehen.txt","是からどの位廻転するかわからない、只長えに変らぬものは甕の中の猫の中の眼玉の中の瞳だけである。"
"27","natsume","neko_gehen.txt",""
"28","natsume","neko_gehen.txt","明治四十年五月"
"29","natsume","neko_gehen.txt",""
"30","natsume","neko_gehen.txt",""
"31","natsume","neko_gehen.txt",""
"32","natsume","neko_gehen.txt","底本：「筑摩全集類聚版夏目漱石全集第十巻」筑摩書房"
"33","natsume","neko_gehen.txt","1972（昭和47）年1月10日第1刷発行"
"34","natsume","neko_gehen.txt","入力：Nana ohbe"
"35","natsume","neko_gehen.txt","校正：米田進"
"36","natsume","neko_gehen.txt","2002年4月27日作成"
"37","natsume","neko_gehen.txt","2007年7月20日修正"
"38","natsume","neko_gehen.txt","青空文庫作成ファイル："
"39","natsume","neko_gehen.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"40","natsume","neko_gehen.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"41","natsume","neko_gehen.txt",""
