"","auth","piece","line"
"0","natsume","neko_kokoku.txt","猫の広告文"
"1","natsume","neko_kokoku.txt","夏目漱石"
"2","natsume","neko_kokoku.txt",""
"3","natsume","neko_kokoku.txt","-------------------------------------------------------"
"4","natsume","neko_kokoku.txt","【テキスト中に現れる記号について】"
"5","natsume","neko_kokoku.txt",""
"6","natsume","neko_kokoku.txt","：底本の編集部による、現代仮名遣いのルビ"
"7","natsume","neko_kokoku.txt","（例）知遇を辱ふするを得て"
"8","natsume","neko_kokoku.txt","-------------------------------------------------------"
"9","natsume","neko_kokoku.txt",""
"10","natsume","neko_kokoku.txt","吾輩は猫である。"
"11","natsume","neko_kokoku.txt","名前はまだない。"
"12","natsume","neko_kokoku.txt","主人は教師である。"
"13","natsume","neko_kokoku.txt","迷亭は美学者、寒月は理学者、いづれも当代の変人、太平の逸民である。"
"14","natsume","neko_kokoku.txt","吾輩は幸にして此諸先生の知遇を辱ふするを得てこゝに其平生を読者に紹介するの光栄を有するのである。"
"15","natsume","neko_kokoku.txt","……吾輩は又猫相応の敬意を以て金田令夫人の鼻の高さを読者に報道し得るを一生の面目と思ふのである。"
"16","natsume","neko_kokoku.txt","……"
"17","natsume","neko_kokoku.txt",""
"18","natsume","neko_kokoku.txt",""
"19","natsume","neko_kokoku.txt",""
"20","natsume","neko_kokoku.txt","底本：「漱石全集第十六巻」岩波書店"
"21","natsume","neko_kokoku.txt","1995（平成7）年4月19日発行"
"22","natsume","neko_kokoku.txt","初出：「東京朝日新聞」"
"23","natsume","neko_kokoku.txt","1905（明治38）年11月15日"
"24","natsume","neko_kokoku.txt","※初出として掲げたもの以外にも、各紙に掲載された。"
"25","natsume","neko_kokoku.txt","それらの間には、わずかな異同がある。"
"26","natsume","neko_kokoku.txt",""
"27","natsume","neko_kokoku.txt","※底本のテキストは、「吾輩ハ猫デアル」の発行者の一人、服部国太郎宛葉書（天理大学附属天理図書館蔵）による。"
"28","natsume","neko_kokoku.txt",""
"29","natsume","neko_kokoku.txt","※亀甲かっこ〔〕付きのルビは底本編集部によるもので、現代仮名遣いである。"
"30","natsume","neko_kokoku.txt",""
"31","natsume","neko_kokoku.txt","（例）知遇を辱ふするを得て"
"32","natsume","neko_kokoku.txt","入力：砂場清隆"
"33","natsume","neko_kokoku.txt","校正：小林繁雄"
"34","natsume","neko_kokoku.txt","2003年3月31日作成"
"35","natsume","neko_kokoku.txt","青空文庫作成ファイル："
"36","natsume","neko_kokoku.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"37","natsume","neko_kokoku.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"38","natsume","neko_kokoku.txt",""
