"","auth","piece","line"
"0","natsume","nowaki.txt","野分"
"1","natsume","nowaki.txt","夏目漱石"
"2","natsume","nowaki.txt",""
"3","natsume","nowaki.txt","-------------------------------------------------------"
"4","natsume","nowaki.txt","【テキスト中に現れる記号について】"
"5","natsume","nowaki.txt",""
"6","natsume","nowaki.txt","《》：ルビ"
"7","natsume","nowaki.txt","（例）白井道也"
"8","natsume","nowaki.txt",""
"9","natsume","nowaki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","nowaki.txt","（例）八年｜前"
"11","natsume","nowaki.txt",""
"12","natsume","nowaki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","natsume","nowaki.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","natsume","nowaki.txt","（例）※"
"15","natsume","nowaki.txt","-------------------------------------------------------"
"16","natsume","nowaki.txt",""
"17","natsume","nowaki.txt","一"
"18","natsume","nowaki.txt",""
"19","natsume","nowaki.txt","白井道也は文学者である。"
"20","natsume","nowaki.txt",""
"21","natsume","nowaki.txt","八年｜前大学を卒業してから田舎の中学を二三｜箇所流して歩いた末、去年の春｜飄然と東京へ戻って来た。"
"22","natsume","nowaki.txt","流すとは門附に用いる言葉で飄然とは徂徠に拘わらぬ意味とも取れる。"
"23","natsume","nowaki.txt","道也の進退をかく形容するの適否は作者といえども受合わぬ。"
"24","natsume","nowaki.txt","縺れたる糸の片端も眼を着すればただ一筋の末とあらわるるに過ぎぬ。"
"25","natsume","nowaki.txt","ただ一筋の出処の裏には十重二十重の因縁が絡んでいるかも知れぬ。"
"26","natsume","nowaki.txt","鴻雁の北に去りて乙鳥の南に来るさえ、鳥の身になっては相当の弁解があるはずじゃ。"
"27","natsume","nowaki.txt",""
"28","natsume","nowaki.txt","始めて赴任したのは越後のどこかであった。"
"29","natsume","nowaki.txt","越後は石油の名所である。"
"30","natsume","nowaki.txt","学校の在る町を四五町隔てて大きな石油会社があった。"
"31","natsume","nowaki.txt","学校のある町の繁栄は三｜分二以上この会社の御蔭で維持されている。"
"32","natsume","nowaki.txt","町のものに取っては幾個の中学校よりもこの石油会社の方が遥かにありがたい。"
"33","natsume","nowaki.txt","会社の役員は金のある点において紳士である。"
"34","natsume","nowaki.txt","中学の教師は貧乏なところが下等に見える。"
"35","natsume","nowaki.txt","この下等な教師と金のある紳士が衝突すれば勝敗は誰が眼にも明かである。"
"36","natsume","nowaki.txt","道也はある時の演説会で、金力と品性と云う題目のもとに、両者の必ずしも一致せざる理由を説明して、暗に会社の役員らの暴慢と、青年子弟の何らの定見もなくしていたずらに黄白万能主義を信奉するの弊とを戒めた。"
"37","natsume","nowaki.txt",""
"38","natsume","nowaki.txt","役員らは生意気な奴だと云った。"
"39","natsume","nowaki.txt","町の新聞は無能の教師が高慢な不平を吐くと評した。"
"40","natsume","nowaki.txt","彼の同僚すら余計な事をして学校の位地を危うくするのは愚だと思った。"
"41","natsume","nowaki.txt","校長は町と会社との関係を説いて、漫に平地に風波を起すのは得策でないと説諭した。"
"42","natsume","nowaki.txt","道也の最後に望を属していた生徒すらも、父兄の意見を聞いて、身のほどを知らぬ馬鹿教師と云い出した。"
"43","natsume","nowaki.txt","道也は飄然として越後を去った。"
"44","natsume","nowaki.txt",""
"45","natsume","nowaki.txt","次に渡ったのは九州である。"
"46","natsume","nowaki.txt","九州を中断してその北部から工業を除けば九州は白紙となる。"
"47","natsume","nowaki.txt","炭礦の煙りを浴びて、黒い呼吸をせぬ者は人間の資格はない。"
"48","natsume","nowaki.txt","垢光りのする背広の上へ蒼い顔を出して、世の中がこうの、社会がああの、未来の国民がなんのかのと白銅一個にさえ換算の出来ぬ不生産的な言説を弄するものに存在の権利のあろうはずがない。"
"49","natsume","nowaki.txt","権利のないものに存在を許すのは実業家の御慈悲である。"
"50","natsume","nowaki.txt","無駄口を叩く学者や、蓄音機の代理をする教師が露命をつなぐ月々｜幾片の紙幣は、どこから湧いてくる。"
"51","natsume","nowaki.txt","手の掌をぽんと叩けば、自から降る幾億の富の、塵の塵の末を舐めさして、生かして置くのが学者である、文士である、さては教師である。"
"52","natsume","nowaki.txt",""
"53","natsume","nowaki.txt","金の力で活きておりながら、金を誹るのは、生んで貰った親に悪体をつくと同じ事である。"
"54","natsume","nowaki.txt","その金を作ってくれる実業家を軽んずるなら食わずに死んで見るがいい。"
"55","natsume","nowaki.txt","死ねるか、死に切れずに降参をするか、試めして見ようと云って抛り出された時、道也はまた飄然と九州を去った。"
"56","natsume","nowaki.txt",""
"57","natsume","nowaki.txt","第三に出現したのは中国｜辺の田舎である。"
"58","natsume","nowaki.txt","ここの気風はさほどに猛烈な現金主義ではなかった。"
"59","natsume","nowaki.txt","ただ土着のものがむやみに幅を利かして、他県のものを外国人と呼ぶ。"
"60","natsume","nowaki.txt","外国人と呼ぶだけならそれまでであるが、いろいろに手を廻わしてこの外国人を征服しようとする。"
"61","natsume","nowaki.txt","宴会があれば宴会でひやかす。"
"62","natsume","nowaki.txt","演説があれば演説であてこする。"
"63","natsume","nowaki.txt","それから新聞で厭味を並べる。"
"64","natsume","nowaki.txt","生徒にからかわせる。"
"65","natsume","nowaki.txt","そうしてそれが何のためでもない。"
"66","natsume","nowaki.txt","ただ他県のものが自分と同化せぬのが気に懸るからである。"
"67","natsume","nowaki.txt","同化は社会の要素に違ない。"
"68","natsume","nowaki.txt","仏蘭西のタルドと云う学者は社会は模倣なりとさえ云うたくらいだ。"
"69","natsume","nowaki.txt","同化は大切かも知れぬ。"
"70","natsume","nowaki.txt","その大切さ加減は道也といえども心得ている。"
"71","natsume","nowaki.txt","心得ているどころではない、高等な教育を受けて、広義な社会観を有している彼は、凡俗以上に同化の功徳を認めている。"
