"","auth","piece","line"
"0","natsume","sanshiro_yokoku.txt","『三四郎』予告"
"1","natsume","sanshiro_yokoku.txt","夏目漱石"
"2","natsume","sanshiro_yokoku.txt",""
"3","natsume","sanshiro_yokoku.txt","-------------------------------------------------------"
"4","natsume","sanshiro_yokoku.txt","【テキスト中に現れる記号について】"
"5","natsume","sanshiro_yokoku.txt",""
"6","natsume","sanshiro_yokoku.txt","《》：ルビ"
"7","natsume","sanshiro_yokoku.txt","（例）田舎の高等学校"
"8","natsume","sanshiro_yokoku.txt","-------------------------------------------------------"
"9","natsume","sanshiro_yokoku.txt",""
"10","natsume","sanshiro_yokoku.txt","田舎の高等学校を卒業して東京の大学に這入つた三四郎が新しい空気に触れる、さうして同輩だの先輩だの若い女だのに接触して色々に動いて来る、手間は此空気のうちに是等の人間を放す丈である、あとは人間が勝手に泳いで、自ら波瀾が出来るだらうと思ふ、さうかうしてゐるうちに読者も作者も此空気にかぶれて是等の人間を知る様になる事と信ずる、もしかぶれ甲斐のしない空気で、知り栄のしない人間であつたら御互に不運と諦めるより仕方がない、たゞ尋常である、摩訶不思議は書けない。"
"11","natsume","sanshiro_yokoku.txt",""
"12","natsume","sanshiro_yokoku.txt",""
"13","natsume","sanshiro_yokoku.txt",""
"14","natsume","sanshiro_yokoku.txt",""
"15","natsume","sanshiro_yokoku.txt","底本：「漱石全集第十六巻」岩波書店"
"16","natsume","sanshiro_yokoku.txt","1995（平成7）年4月19日発行"
"17","natsume","sanshiro_yokoku.txt","初出：「東京朝日新聞」「大阪朝日新聞」"
"18","natsume","sanshiro_yokoku.txt","1908（明治41）年8月19日"
"19","natsume","sanshiro_yokoku.txt","※初出時、「東京朝日新聞」には「新作小説予告」「（九月一日より掲載）」「三四郎」として発表された。"
"20","natsume","sanshiro_yokoku.txt","「大阪朝日新聞」においても同様だったが、掲載日の予告はなかった。"
"21","natsume","sanshiro_yokoku.txt",""
"22","natsume","sanshiro_yokoku.txt","※底本のテキストは、初出（「東京朝日新聞」）による。"
"23","natsume","sanshiro_yokoku.txt",""
"24","natsume","sanshiro_yokoku.txt","※作品の表題「『三四郎』予告」は、底本編集部による。"
"25","natsume","sanshiro_yokoku.txt",""
"26","natsume","sanshiro_yokoku.txt","※底本には、初出のルビを「適宜削除した。"
"27","natsume","sanshiro_yokoku.txt","」旨の記述がある。"
"28","natsume","sanshiro_yokoku.txt",""
"29","natsume","sanshiro_yokoku.txt","入力：砂場清隆"
"30","natsume","sanshiro_yokoku.txt","校正：小林繁雄"
"31","natsume","sanshiro_yokoku.txt","2003年3月31日作成"
"32","natsume","sanshiro_yokoku.txt","青空文庫作成ファイル："
"33","natsume","sanshiro_yokoku.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"34","natsume","sanshiro_yokoku.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"35","natsume","sanshiro_yokoku.txt",""
"36","natsume","sanshiro_yokoku.txt",""
