"","auth","piece","line"
"0","natsume","shaseibun.txt","写生文"
"1","natsume","shaseibun.txt","夏目漱石"
"2","natsume","shaseibun.txt",""
"3","natsume","shaseibun.txt","-------------------------------------------------------"
"4","natsume","shaseibun.txt","【テキスト中に現れる記号について】"
"5","natsume","shaseibun.txt",""
"6","natsume","shaseibun.txt","《》：ルビ"
"7","natsume","shaseibun.txt","（例）明暸"
"8","natsume","shaseibun.txt",""
"9","natsume","shaseibun.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","natsume","shaseibun.txt","（例）ゆとり"
"11","natsume","shaseibun.txt","-------------------------------------------------------"
"12","natsume","shaseibun.txt",""
"13","natsume","shaseibun.txt","写生文の存在は近頃ようやく世間から認められたようであるが、写生文の特色についてはまだ誰も明暸に説破したものがおらん。"
"14","natsume","shaseibun.txt","元来存在を認めらるると云う事はすでに認められるだけの特色を有していると云う意味に過ぎんのだから、存在を認められる以上は特色も認められた訳に相違ない。"
"15","natsume","shaseibun.txt","しかし認めらるると云うのは説明されるとは一様でない。"
"16","natsume","shaseibun.txt","桜と海棠の感じに相違のあるのは何人も認めている。"
"17","natsume","shaseibun.txt","その相違を説明しろと云われるとちょっとできにくい。"
"18","natsume","shaseibun.txt","写生文と普通の文章の差違は認められているにもかかわらず明かに道破されておらんのもこの理である。"
"19","natsume","shaseibun.txt","かの写生文を標榜する人々といえども単にわが特色を冥々裡に識別すると云うまでで、明かに指摘したものは今日に至るまで見当らぬようである。"
"20","natsume","shaseibun.txt","虚子、四方太の諸君は折々この点に向って肯綮にあたる議論をされるようであるが、余の見るところではやはり物足らぬ心持がする。"
"21","natsume","shaseibun.txt","余の云う事も諸君から見れば依然として物足らぬかも知れぬ。"
"22","natsume","shaseibun.txt","しかし云わぬより参考になると思う。"
"23","natsume","shaseibun.txt","単に写生文を生命とする諸君の参考になるのみならず、汎く文章に興味を有する人々の耳にはあるいは物珍らしく聞えるかも知れぬ。"
"24","natsume","shaseibun.txt",""
"25","natsume","shaseibun.txt","写生文と普通の文章との差違を算え来るといろいろある。"
"26","natsume","shaseibun.txt","いろいろあるうちで余のもっとも要点だと考えるにも関らず誰も説き及んだ事のないのは作者の心的状態である。"
"27","natsume","shaseibun.txt","他の点はこの一源泉より流露するのであるから、この源頭に向って工夫を下せば他はことごとく刃を迎えて向うから解決を促がす訳である。"
"28","natsume","shaseibun.txt",""
"29","natsume","shaseibun.txt","社会は人間の塊まりである。"
"30","natsume","shaseibun.txt","その人間を区別すればいろいろできる。"
"31","natsume","shaseibun.txt","貴と賤ともなる。"
"32","natsume","shaseibun.txt","賢と不肖ともなる。"
"33","natsume","shaseibun.txt","正と邪ともなる。"
"34","natsume","shaseibun.txt","男と女ともなる。"
"35","natsume","shaseibun.txt","貧と富ともなる。"
"36","natsume","shaseibun.txt","老と若、長と幼ともなる。"
"37","natsume","shaseibun.txt","その他いろいろに区別ができる。"
"38","natsume","shaseibun.txt","区別ができる以上は、区別された一のものが他を視る態度は、一のうちにある甲が、同じく一のうちにある乙を視る態度とは異ならなければならぬ。"
"39","natsume","shaseibun.txt","人生観というと堅苦しく聞える。"
"40","natsume","shaseibun.txt","何だか恐ろしくて近寄りにくい。"
"41","natsume","shaseibun.txt","しかし煎じつめればこの態度である。"
"42","natsume","shaseibun.txt","隣の法律家が余を視る立脚地は、余が隣りの法律家を視る立脚地とは自から違う。"
"43","natsume","shaseibun.txt","大袈裟な言葉で云うと彼此の人生観が、ある点において一様でない。"
