"","auth","piece","line"
"0","natsume","sorekara_yokoku.txt","『それから』予告"
"1","natsume","sorekara_yokoku.txt","夏目漱石"
"2","natsume","sorekara_yokoku.txt",""
"3","natsume","sorekara_yokoku.txt","-------------------------------------------------------"
"4","natsume","sorekara_yokoku.txt","【テキスト中に現れる記号について】"
"5","natsume","sorekara_yokoku.txt",""
"6","natsume","sorekara_yokoku.txt","《》：ルビ"
"7","natsume","sorekara_yokoku.txt","（例）大学生の事を描た"
"8","natsume","sorekara_yokoku.txt",""
"9","natsume","sorekara_yokoku.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","natsume","sorekara_yokoku.txt","（例）それからである。"
"11","natsume","sorekara_yokoku.txt",""
"12","natsume","sorekara_yokoku.txt","-------------------------------------------------------"
"13","natsume","sorekara_yokoku.txt",""
"14","natsume","sorekara_yokoku.txt","色々な意味に於てそれからである。"
"15","natsume","sorekara_yokoku.txt","「三四郎」には大学生の事を描たが、此小説にはそれから先の事を書いたからそれからである。"
"16","natsume","sorekara_yokoku.txt","「三四郎」の主人公はあの通り単純であるが、此主人公はそれから後の男であるから此点に於ても、それからである。"
"17","natsume","sorekara_yokoku.txt","此主人公は最後に、妙な運命に陥る。"
"18","natsume","sorekara_yokoku.txt","それからさき何うなるかは書いてない。"
"19","natsume","sorekara_yokoku.txt","此意味に於ても亦それからである。"
"20","natsume","sorekara_yokoku.txt",""
"21","natsume","sorekara_yokoku.txt",""
"22","natsume","sorekara_yokoku.txt",""
"23","natsume","sorekara_yokoku.txt",""
"24","natsume","sorekara_yokoku.txt","底本：「漱石全集第十六巻」岩波書店"
"25","natsume","sorekara_yokoku.txt","1995（平成7）年4月19日発行"
"26","natsume","sorekara_yokoku.txt","初出：「大阪朝日新聞」"
"27","natsume","sorekara_yokoku.txt","1909（明治42）年6月20日"
"28","natsume","sorekara_yokoku.txt","「東京朝日新聞」"
"29","natsume","sorekara_yokoku.txt","1909（明治42）年6月21日"
"30","natsume","sorekara_yokoku.txt","※初出時、「大阪朝日新聞」には「小説それから」として、「東京朝日新聞」には「新小説予告」「それから」として発表された。"
"31","natsume","sorekara_yokoku.txt",""
"32","natsume","sorekara_yokoku.txt","※底本のテキストは、初出（「東京朝日新聞」）による。"
"33","natsume","sorekara_yokoku.txt",""
"34","natsume","sorekara_yokoku.txt","※作品の表題「『それから』予告」は、底本編集部による。"
"35","natsume","sorekara_yokoku.txt",""
"36","natsume","sorekara_yokoku.txt","※底本には、初出のルビを「適宜削除した。"
"37","natsume","sorekara_yokoku.txt","」旨の記述がある。"
"38","natsume","sorekara_yokoku.txt"," "
"39","natsume","sorekara_yokoku.txt","入力：砂場清隆"
"40","natsume","sorekara_yokoku.txt","校正：小林繁雄"
"41","natsume","sorekara_yokoku.txt","2003年3月31日作成"
"42","natsume","sorekara_yokoku.txt","青空文庫作成ファイル："
"43","natsume","sorekara_yokoku.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"44","natsume","sorekara_yokoku.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"45","natsume","sorekara_yokoku.txt",""
"46","natsume","sorekara_yokoku.txt",""
