"","auth","piece","line"
"0","natsume","tsuchini_tsuie.txt","「土」に就て"
"1","natsume","tsuchini_tsuie.txt","夏目漱石"
"2","natsume","tsuchini_tsuie.txt",""
"3","natsume","tsuchini_tsuie.txt","-------------------------------------------------------"
"4","natsume","tsuchini_tsuie.txt","【テキスト中に現れる記号について】"
"5","natsume","tsuchini_tsuie.txt",""
"6","natsume","tsuchini_tsuie.txt","《》：ルビ"
"7","natsume","tsuchini_tsuie.txt","（例）遣つた"
"8","natsume","tsuchini_tsuie.txt",""
"9","natsume","tsuchini_tsuie.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","natsume","tsuchini_tsuie.txt","（例）夫｜限"
"11","natsume","tsuchini_tsuie.txt",""
"12","natsume","tsuchini_tsuie.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","natsume","tsuchini_tsuie.txt","（例）"
"14","natsume","tsuchini_tsuie.txt",""
"15","natsume","tsuchini_tsuie.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"16","natsume","tsuchini_tsuie.txt","（例）とう／＼"
"17","natsume","tsuchini_tsuie.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"18","natsume","tsuchini_tsuie.txt","-------------------------------------------------------"
"19","natsume","tsuchini_tsuie.txt",""
"20","natsume","tsuchini_tsuie.txt","「土」が「東京朝日」に連載されたのは一昨年の事である。"
"21","natsume","tsuchini_tsuie.txt","さうして其責任者は余であつた。"
"22","natsume","tsuchini_tsuie.txt","所が不幸にも余は「土」の完結を見ないうちに病氣に罹つて、新聞を手にする自由を失つたぎり、又「土」の作者を思ひ出す機會を有たなかつた。"
"23","natsume","tsuchini_tsuie.txt",""
"24","natsume","tsuchini_tsuie.txt","當初五六十囘の豫定であつた「土」は、同時に意外の長篇として發達してゐた。"
"25","natsume","tsuchini_tsuie.txt","途中で話の緒口を忘れた余は、再びそれを取り上げて、矢鱈な區切から改めて讀み出す勇氣を鼓舞しにくかつたので、つい夫｜限に打ち遣つたやうなものゝ、腹のなかでは私かに作者の根氣と精力に驚ろいてゐた。"
"26","natsume","tsuchini_tsuie.txt","「土」は何でも百五六十囘に至つて漸く結末に達したのである。"
"27","natsume","tsuchini_tsuie.txt",""
"28","natsume","tsuchini_tsuie.txt","冷淡な世間と多忙な余は其後久しく「土」の事を忘れてゐた。"
"29","natsume","tsuchini_tsuie.txt","所がある時此間亡くなつた池邊君に會つて偶然話頭が小説に及んだ折、池邊君は何故「土」は出版にならないのだらうと云つて、大分長塚君の作を褒めてゐた。"
"30","natsume","tsuchini_tsuie.txt","池邊君は其當時「朝日」の主筆だつたので「土」は始から仕舞迄眼を通したのである。"
"31","natsume","tsuchini_tsuie.txt","其上池邊君は自分で文學を知らないと云ひながら、其實摯實な批評眼をもつて「土」を根氣よく讀み通したのである。"
"32","natsume","tsuchini_tsuie.txt","余は出版界の不景氣のために「土」の單行本が出る時機がまだ來ないのだらうと答へて置いた。"
"33","natsume","tsuchini_tsuie.txt","其時心のうちでは、隨分「土」に比べると詰らないものも公けにされる今日だから、出來るなら何時か書物に纏めて置いたら作者の爲に好からうと思つたが、不親切な余は其日が過ぎると、又「土」の事を丸で忘れて仕舞つた。"
"34","natsume","tsuchini_tsuie.txt",""
"35","natsume","tsuchini_tsuie.txt","すると此春になつて長塚君が突然尋ねて來て、漸く本屋が「土」を引受ける事になつたから、序を書いて呉れまいかといふ依頼である。"
"36","natsume","tsuchini_tsuie.txt","余は其時自分の小説を毎日一囘づゝ書いてゐたので、「土」を讀み返す暇がなかつた。"
"37","natsume","tsuchini_tsuie.txt","已を得ず自分の仕事が濟む迄待つてくれと答へた。"
"38","natsume","tsuchini_tsuie.txt","すると長塚君は池邊君の序も欲しいから序でに紹介して貰ひたいと云ふので、余はすぐ承知した。"
"39","natsume","tsuchini_tsuie.txt","余の名刺を持つて「土」の作者が池邊君の玄關に立つたのは、池邊君の母堂が死んで丁度三十五日に相當する日とかで、長塚君はたゞ立ちながら用事丈を頼んで歸つたさうであるが、それから三日して肝心の池邊君も突然亡くなつて仕舞つたから、同君の序はとう／＼手に入らなかつたのである。"
"40","natsume","tsuchini_tsuie.txt",""
"41","natsume","tsuchini_tsuie.txt","余は「彼岸過迄」を片付けるや否や前約を踏んで「土」の校正刷を讀み出した。"
"42","natsume","tsuchini_tsuie.txt","思つたよりも長篇なので、前後半日と中一日を丸潰しにして漸く業を卒へて考へて見ると、中々骨の折れた作物である。"
"43","natsume","tsuchini_tsuie.txt","余は元來が安價な人間であるから、大抵の人のものを見ると、すぐ感心したがる癖があるが、此「土」に於ても全くさうであつた。"
"44","natsume","tsuchini_tsuie.txt","先づ何よりも先に、是は到底余に書けるものでないと思つた。"
"45","natsume","tsuchini_tsuie.txt","次に今の文壇で長塚君を除いたら誰が書けるだらうと物色して見た。"
"46","natsume","tsuchini_tsuie.txt","すると矢張誰にも書けさうにないといふ結論に達した。"
"47","natsume","tsuchini_tsuie.txt",""
"48","natsume","tsuchini_tsuie.txt","尤も誰にも書けないと云ふのは、文を遣る技倆の點や、人間を活躍させる天賦の力を指すのではない。"
"49","natsume","tsuchini_tsuie.txt","もし夫れ丈の意味で誰も長塚君に及ばないといふなら、一方では他の作家を侮辱した言葉にもなり、又一方では長塚君を擔ぎ過ぎる策略とも取れて、何方にしても作者の迷惑になる計である。"
"50","natsume","tsuchini_tsuie.txt","余の誰も及ばないといふのは、作物中に書いてある事件なり天然なりが、まだ長塚君以外の人の研究に上つてゐないといふ意味なのである。"
"51","natsume","tsuchini_tsuie.txt",""
"52","natsume","tsuchini_tsuie.txt","「土」の中に出て來る人物は、最も貧しい百姓である。"
"53","natsume","tsuchini_tsuie.txt","教育もなければ品格もなければ、たゞ土の上に生み付けられて、土と共に生長した蛆同樣に憐れな百姓の生活である。"
"54","natsume","tsuchini_tsuie.txt","先祖以來茨城の結城郡に居を移した地方の豪族として、多數の小作人を使用する長塚君は、彼等の獸類に近き、恐るべく困憊を極めた生活状態を、一から十迄誠實に此「土」の中に收め盡したのである。"
"55","natsume","tsuchini_tsuie.txt","彼等の下卑で、淺薄で、迷信が強くて、無邪氣で、狡猾で、無欲で、強欲で、殆んど余等（今の文壇の作家を悉く含む）の想像にさへ上りがたい所を、あり／＼と眼に映るやうに描寫したのが「土」である。"
"56","natsume","tsuchini_tsuie.txt","さうして「土」は長塚君以外に何人も手を著けられ得ない、苦しい百姓生活の、最も獸類に接近した部分を、精細に直叙したものであるから、誰も及ばないと云ふのである。"
"57","natsume","tsuchini_tsuie.txt",""
"58","natsume","tsuchini_tsuie.txt","人事を離れた天然に就いても、前同樣の批評を如何な讀者も容易に肯はなければ濟まぬ程、作者は鬼怒川沿岸の景色や、空や、春や、秋や、雪や風を綿密に研究してゐる。"
"59","natsume","tsuchini_tsuie.txt","畠のもの、畔に立つ榛の木、蛙の聲、鳥の音、苟くも彼の郷土に存在する自然なら、一點一畫の微に至る迄悉く其地方の特色を具へて叙述の筆に上つてゐる。"
"60","natsume","tsuchini_tsuie.txt","だから何處に何う出て來ても必ず獨特である。"
"61","natsume","tsuchini_tsuie.txt","其｜獨特な點を、普通の作家の手に成つた自然の描寫の平凡なのに比べて、余は誰も及ばないといふのである。"
"62","natsume","tsuchini_tsuie.txt","余は彼の獨特なのに敬服しながら、そのあまりに精細過ぎて、話の筋を往々にして殺して仕舞ふ失敗を歎じた位、彼は精緻な自然の觀察者である。"
"63","natsume","tsuchini_tsuie.txt",""
"64","natsume","tsuchini_tsuie.txt","作としての「土」は、寧ろ苦しい讀みものである。"
"65","natsume","tsuchini_tsuie.txt","決して面白いから讀めとは云ひ惡い。"
"66","natsume","tsuchini_tsuie.txt","第一に作中の人物の使ふ言葉が余等には餘り縁の遠い方言から成り立つてゐる。"
"67","natsume","tsuchini_tsuie.txt","第二に結構が大きい割に、年代が前後數年にわたる割に、周圍に平たく發達したがる話が、筋をくつきりと描いて深くなりつゝ前へ進んで行かない。"
"68","natsume","tsuchini_tsuie.txt","だから全體として讀者に加速度の興味を與へない。"
"69","natsume","tsuchini_tsuie.txt","だから事件が錯綜纏綿して縺れながら讀者をぐい／＼引込んで行くよりも、其地方の年中行事を怠りなく丹念に平叙して行くうちに、作者の拵らへた人物が斷續的に活躍すると云つた方が適當になつて來る。"
"70","natsume","tsuchini_tsuie.txt","其所に聊か人を魅する牽引力を失ふ恐が潛んでゐるといふ意味でも讀みづらい。"
"71","natsume","tsuchini_tsuie.txt","然し是等は單に皮相の意味に於て讀みづらいので、余の所謂讀みづらいといふ本意は、篇中の人物の心なり行なりが、たゞ壓迫と不安と苦痛を讀者に與へる丈で、毫も神の作つてくれた幸福な人間であるといふ刺戟と安慰を與へ得ないからである。"
"72","natsume","tsuchini_tsuie.txt","悲劇は恐しいに違ない。"
"73","natsume","tsuchini_tsuie.txt","けれども普通の悲劇のうちには悲しい以外に何かの償ひがあるので、讀者は涙の犧牲を喜こぶのである。"
"74","natsume","tsuchini_tsuie.txt","が、「土」に至つては涙さへ出されない苦しさである。"
"75","natsume","tsuchini_tsuie.txt","雨の降らない代りに生涯照りつこない天氣と同じ苦痛である。"
"76","natsume","tsuchini_tsuie.txt","たゞ土の下へ心が沈む丈で、人情から云つても道義心から云つても、殆んど此壓迫の賠償として何物も與へられてゐない。"
