"","auth","piece","line"
"0","natsume","watashino_keikashita.txt","私の経過した学生時代"
"1","natsume","watashino_keikashita.txt","夏目漱石"
"2","natsume","watashino_keikashita.txt",""
"3","natsume","watashino_keikashita.txt","-------------------------------------------------------"
"4","natsume","watashino_keikashita.txt","【テキスト中に現れる記号について】"
"5","natsume","watashino_keikashita.txt",""
"6","natsume","watashino_keikashita.txt","《》：ルビ"
"7","natsume","watashino_keikashita.txt","（例）殆んど"
"8","natsume","watashino_keikashita.txt",""
"9","natsume","watashino_keikashita.txt","｜：ルビの付いていない漢字とルビの付く漢字の境の記号"
"10","natsume","watashino_keikashita.txt","（例）日本語｜許り"
"11","natsume","watashino_keikashita.txt","-------------------------------------------------------"
"12","natsume","watashino_keikashita.txt",""
"13","natsume","watashino_keikashita.txt","一"
"14","natsume","watashino_keikashita.txt",""
"15","natsume","watashino_keikashita.txt","私の学生時代を回顧して見ると、殆んど勉強と云う勉強はせずに過した方である。"
"16","natsume","watashino_keikashita.txt","従ってこれに関して読者諸君を益するような斬新な勉強法もなければ、面白い材料も持たぬが、自身の教訓の為め、つまり這麼不勉強者は、斯ういう結果になるという戒を、思い出したまま述べて見よう。"
"17","natsume","watashino_keikashita.txt",""
"18","natsume","watashino_keikashita.txt","私は東京で生れ、東京で育てられた、謂わば純粋の江戸ッ子である。"
"19","natsume","watashino_keikashita.txt","明瞭記憶して居らぬが、何でも十一二の頃小学校の門（八級制度の頃）を卒えて、それから今の東京府立第一中学――其の頃一ツ橋に在った――に入ったのであるが、何時も遊ぶ方が主になって、勉強と云う勉強はしなかった。"
"20","natsume","watashino_keikashita.txt","尤も此学校に通っていたのは僅か二三年に止り、感ずるところがあって自ら退いて了ったが、それには曰くがある。"
"21","natsume","watashino_keikashita.txt",""
"22","natsume","watashino_keikashita.txt","此の中学というのは、今の完備した中学などとは全然異っていて、その制度も正則と、変則との二つに分れていたのである。"
"23","natsume","watashino_keikashita.txt",""
"24","natsume","watashino_keikashita.txt","正則というのは日本語｜許りで、普通学の総てを教授されたものであるが、その代り英語は更にやらなかった。"
"25","natsume","watashino_keikashita.txt","変則の方はこれと異って、ただ英語のみを教えるというに止っていた。"
"26","natsume","watashino_keikashita.txt","それで、私は何れに居たかと云えば、此の正則の方であったから、英語は些しも習わなかったのである。"
"27","natsume","watashino_keikashita.txt","英語を修めていぬから、当時の予備門に入ることが六カ敷い。"
"28","natsume","watashino_keikashita.txt","これではつまらぬ、今まで自分の抱いていた、志望が達せられぬことになるから、是非｜廃そうという考を起したのであるが、却々親が承知して呉れぬ。"
"29","natsume","watashino_keikashita.txt","そこで、拠なく毎日々々弁当を吊して家は出るが、学校には往かずに、その儘途中で道草を食って遊んで居た。"
"30","natsume","watashino_keikashita.txt","その中に、親にも私が学校を退きたいという考が解ったのだろう、間もなく正則の方は退くことになったというわけである。"
"31","natsume","watashino_keikashita.txt",""
"32","natsume","watashino_keikashita.txt",""
"33","natsume","watashino_keikashita.txt","二"
"34","natsume","watashino_keikashita.txt",""
"35","natsume","watashino_keikashita.txt","既に中学が前いう如く、正則、変則の二科に分れて居り、正則の方を修めた者には更に語学の力がないから、予備門の試験に応じられない。"
"36","natsume","watashino_keikashita.txt","此等の者は、それが為め、大抵は或る私塾などへ入って入学試験の準備をしていたものである。"
"37","natsume","watashino_keikashita.txt",""
"38","natsume","watashino_keikashita.txt","その頃、私の知っている塾舎には、共立学舎、成立学舎などというのがあった。"
"39","natsume","watashino_keikashita.txt","これ等の塾舎は随分｜汚いものであったが、授くるところの数学、歴史、地理などいうものは、皆原書を用いていた位であるから、なかなか素養のない者には、非常に骨が折れたものである。"
