"","auth","piece","line"
"0","sakaguchi","01ango_shinnihonfudoki_kadai.txt","安吾新日本風土記"
"1","sakaguchi","01ango_shinnihonfudoki_kadai.txt","「安吾・新日本風土記」（仮題）について"
"2","sakaguchi","01ango_shinnihonfudoki_kadai.txt","坂口安吾"
"3","sakaguchi","01ango_shinnihonfudoki_kadai.txt",""
"4","sakaguchi","01ango_shinnihonfudoki_kadai.txt","-------------------------------------------------------"
"5","sakaguchi","01ango_shinnihonfudoki_kadai.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","01ango_shinnihonfudoki_kadai.txt",""
"7","sakaguchi","01ango_shinnihonfudoki_kadai.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"8","sakaguchi","01ango_shinnihonfudoki_kadai.txt","（例）"
"9","sakaguchi","01ango_shinnihonfudoki_kadai.txt","-------------------------------------------------------"
"10","sakaguchi","01ango_shinnihonfudoki_kadai.txt",""
"11","sakaguchi","01ango_shinnihonfudoki_kadai.txt","挨拶"
"12","sakaguchi","01ango_shinnihonfudoki_kadai.txt",""
"13","sakaguchi","01ango_shinnihonfudoki_kadai.txt","予告して申し上げるほどの言葉はまだないのです。"
"14","sakaguchi","01ango_shinnihonfudoki_kadai.txt","しかしとにかく土地々々には生き生きと働く人々は云うまでもなく町や風物や山河や歴史にもそれぞれ自らを語っている個性的な言葉があるもので、私はそれを現地で見また聞きわけたいと思っているだけです。"
"15","sakaguchi","01ango_shinnihonfudoki_kadai.txt","そしてそれを私自身の生存の意義と結び合せ、私自身の言葉で語り直してみたいと思っているだけです。"
"16","sakaguchi","01ango_shinnihonfudoki_kadai.txt","何を見て何を聞きわけてくるかは現地へ行ってみるまでは私自身にも見当がつかないのです。"
"17","sakaguchi","01ango_shinnihonfudoki_kadai.txt","この前文藝春秋へ書いた安吾新日本地理と同じように何を書くかという一貫した狙いは今度もありませんが、あのころに比べると飛行機があったりして旅行が楽になったし時日も充分にかけてくれと中央公論の申出もあるので、見こぼれ聞きこぼれがないように念を入れ手間をかけてやります。"
"18","sakaguchi","01ango_shinnihonfudoki_kadai.txt","すべてを我流でやるのですから見方の相違はやむを得ませんが多少とも愛読をうれば幸福です。"
"19","sakaguchi","01ango_shinnihonfudoki_kadai.txt",""
"20","sakaguchi","01ango_shinnihonfudoki_kadai.txt","以上"
"21","sakaguchi","01ango_shinnihonfudoki_kadai.txt",""
"22","sakaguchi","01ango_shinnihonfudoki_kadai.txt",""
"23","sakaguchi","01ango_shinnihonfudoki_kadai.txt",""
"24","sakaguchi","01ango_shinnihonfudoki_kadai.txt","底本：「坂口安吾全集15」筑摩書房"
"25","sakaguchi","01ango_shinnihonfudoki_kadai.txt","1999（平成11）年10月20日初版第1刷発行"
"26","sakaguchi","01ango_shinnihonfudoki_kadai.txt","底本の親本：「中央公論第七〇年第一号」中央公論社"
"27","sakaguchi","01ango_shinnihonfudoki_kadai.txt","1955（昭和30）年1月1日発行"
"28","sakaguchi","01ango_shinnihonfudoki_kadai.txt","初出：「中央公論第七〇年第一号」中央公論社"
"29","sakaguchi","01ango_shinnihonfudoki_kadai.txt","1955（昭和30）年1月1日発行"
"30","sakaguchi","01ango_shinnihonfudoki_kadai.txt","入力：砂場清隆"
"31","sakaguchi","01ango_shinnihonfudoki_kadai.txt","校正：塚本由紀"
"32","sakaguchi","01ango_shinnihonfudoki_kadai.txt","2014年11月14日作成"
"33","sakaguchi","01ango_shinnihonfudoki_kadai.txt","青空文庫作成ファイル："
"34","sakaguchi","01ango_shinnihonfudoki_kadai.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"35","sakaguchi","01ango_shinnihonfudoki_kadai.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"36","sakaguchi","01ango_shinnihonfudoki_kadai.txt",""
