"","auth","piece","line"
"0","sakaguchi","01mayaku_jisatsu_shukyo.txt","安吾巷談"
"1","sakaguchi","01mayaku_jisatsu_shukyo.txt","麻薬・自殺・宗教"
"2","sakaguchi","01mayaku_jisatsu_shukyo.txt","坂口安吾"
"3","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"4","sakaguchi","01mayaku_jisatsu_shukyo.txt","-------------------------------------------------------"
"5","sakaguchi","01mayaku_jisatsu_shukyo.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"7","sakaguchi","01mayaku_jisatsu_shukyo.txt","《》：ルビ"
"8","sakaguchi","01mayaku_jisatsu_shukyo.txt","（例）呷りつゞけている"
"9","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"10","sakaguchi","01mayaku_jisatsu_shukyo.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"11","sakaguchi","01mayaku_jisatsu_shukyo.txt","（例）グル／＼"
"12","sakaguchi","01mayaku_jisatsu_shukyo.txt","-------------------------------------------------------"
"13","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"14","sakaguchi","01mayaku_jisatsu_shukyo.txt","伊豆の伊東にヒロポン屋というものが存在している。"
"15","sakaguchi","01mayaku_jisatsu_shukyo.txt","旅館の番頭にさそわれてヤキトリ屋へ一パイのみに行って、元ダンサーという女中を相手にのんでいると、まッ黒いフロシキ包み（一尺四方ぐらい）を背負ってはいってきた二十五六の青年がある。"
"16","sakaguchi","01mayaku_jisatsu_shukyo.txt","女中がついと立って何か話していたが、二人でトントン二階へあがっていった。"
"17","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"18","sakaguchi","01mayaku_jisatsu_shukyo.txt","三分ぐらいで降りて戻ってきたが、男が立ち去ると、"
"19","sakaguchi","01mayaku_jisatsu_shukyo.txt","「あの人、ヒロポン売る人よ。"
"20","sakaguchi","01mayaku_jisatsu_shukyo.txt","一箱百円よ。"
"21","sakaguchi","01mayaku_jisatsu_shukyo.txt","原価六十何円かだから、そんなに高くないでしょ」"
"22","sakaguchi","01mayaku_jisatsu_shukyo.txt","という。"
"23","sakaguchi","01mayaku_jisatsu_shukyo.txt","東京では、百二十円から、百四十円だそうである。"
"24","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"25","sakaguchi","01mayaku_jisatsu_shukyo.txt","ヒロポン屋は遊楽街を御用聞きにまわっているのである。"
"26","sakaguchi","01mayaku_jisatsu_shukyo.txt","最も濫用しているのはダンサーだそうで、皮下では利きがわるいから、静脈へ打つのだそうだ。"
"27","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"28","sakaguchi","01mayaku_jisatsu_shukyo.txt","「いま、うってきたのよ」"
"29","sakaguchi","01mayaku_jisatsu_shukyo.txt","と云って、女中は左腕をだして静脈をみせた。"
"30","sakaguchi","01mayaku_jisatsu_shukyo.txt","五六本、アトがある。"
"31","sakaguchi","01mayaku_jisatsu_shukyo.txt","中毒というほどではない。"
"32","sakaguchi","01mayaku_jisatsu_shukyo.txt","ダンサー時代はよく打ったが、今は打たなくともいられる、睡気ざましじゃなくて、打ったトタンに気持がよいから打つのだと言っていた。"
"33","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"34","sakaguchi","01mayaku_jisatsu_shukyo.txt","この女中は、自分で静脈へうつのだそうだ。"
"35","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"36","sakaguchi","01mayaku_jisatsu_shukyo.txt","「たいがい、そうよ。"
"37","sakaguchi","01mayaku_jisatsu_shukyo.txt","ヒロポンの静脈注射ぐらい、一人でやるのが普通よ。"
"38","sakaguchi","01mayaku_jisatsu_shukyo.txt","かえって看護婦あがりの人なんかがダメね。"
"39","sakaguchi","01mayaku_jisatsu_shukyo.txt","人にやってもらってるわ」"
"40","sakaguchi","01mayaku_jisatsu_shukyo.txt","そうかも知れない。"
"41","sakaguchi","01mayaku_jisatsu_shukyo.txt","看護婦ともなればブドウ糖の注射でも注意を集中してやるものだ。"
"42","sakaguchi","01mayaku_jisatsu_shukyo.txt","ウカツに静脈注射など打つ気持にはなれないかも知れない。"
"43","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"44","sakaguchi","01mayaku_jisatsu_shukyo.txt","織田作之助はヒロポン注射が得意で、酒席で、にわかに腕をまくりあげてヒロポンをうつ。"
"45","sakaguchi","01mayaku_jisatsu_shukyo.txt","当時の流行の尖端だから、ひとつは見栄だろう。"
"46","sakaguchi","01mayaku_jisatsu_shukyo.txt","今のように猫もシャクシもやるようになっては、彼もやる気がしなかったかも知れぬ。"
"47","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"48","sakaguchi","01mayaku_jisatsu_shukyo.txt","織田はヒロポンの注射をうつと、ビタミンＢをうち、救心をのんでいた。"
"49","sakaguchi","01mayaku_jisatsu_shukyo.txt","今でもこの風俗は同じことで、ヒロポン・ビタミン・救心。"
"50","sakaguchi","01mayaku_jisatsu_shukyo.txt","妙な信仰だ。"
"51","sakaguchi","01mayaku_jisatsu_shukyo.txt","しかし、今の中毒患者はヒロポン代で精一パイだから、信仰は残っているが、めったに実行はされない。"
"52","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"53","sakaguchi","01mayaku_jisatsu_shukyo.txt","「ビタミンＢうって救心のむと、ほんとは中毒しないんだけど」"
"54","sakaguchi","01mayaku_jisatsu_shukyo.txt","などゝ、中毒の原因がそッちの方へ転嫁されている有様である。"
"55","sakaguchi","01mayaku_jisatsu_shukyo.txt","救心という薬は味も効能も仁丹ぐらいにしか思われてないが、べラボーに高価なところが信仰されるのかも知れない。"
"56","sakaguchi","01mayaku_jisatsu_shukyo.txt","しかし織田が得々とうっていたヒロポンも皮下注射で、今日ではまったく流行おくれなのである。"
"57","sakaguchi","01mayaku_jisatsu_shukyo.txt","第一、うつ量も、今日の流行にくらべると問題にならない。"
"58","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"59","sakaguchi","01mayaku_jisatsu_shukyo.txt","私は以前から錠剤の方を用いていたが、織田にすすめられて、注射をやってみた。"
"60","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"61","sakaguchi","01mayaku_jisatsu_shukyo.txt","注射は非常によろしくない。"
"62","sakaguchi","01mayaku_jisatsu_shukyo.txt","中毒するのが当然なのである。"
"63","sakaguchi","01mayaku_jisatsu_shukyo.txt","なぜなら、うったトタンに利いてくるが、一時間もたつと効能がうすれてしまう。"
"64","sakaguchi","01mayaku_jisatsu_shukyo.txt","誰しも覚醒剤を用いる場合は、もっと長時間の覚醒が必要な場合にきまっているから、日に何回となく打たなければならなくなって、次第に中毒してしまう。"
"65","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"66","sakaguchi","01mayaku_jisatsu_shukyo.txt","錠剤の方は一日一回でたくさんだ。"
"67","sakaguchi","01mayaku_jisatsu_shukyo.txt","ヒロポンの錠剤は半日持続しないが、ゼドリンは一日ちかく持続する。"
"68","sakaguchi","01mayaku_jisatsu_shukyo.txt","副作用もヒロポンほどでなく、錠剤を用いるなら、ゼドリンの方がはるかによい。"
"69","sakaguchi","01mayaku_jisatsu_shukyo.txt",""
"70","sakaguchi","01mayaku_jisatsu_shukyo.txt","錠剤は胃に悪く、蓄積するから危険だというが、これはウソで、胃に悪いといっても目立つほどでなく、煙草にくらべれば、はるかに胃の害はすくない。"
"71","sakaguchi","01mayaku_jisatsu_shukyo.txt","蓄積という点も、私はアルコールを用いて睡ったせいか、アルコールには溶解し易いそうで、そのせいか蓄積の害はあんまり気付かなかった。"
"72","sakaguchi","01mayaku_jisatsu_shukyo.txt","私の仕事の性質として、一週間か十日は連続して服用する必要がある。"
"73","sakaguchi","01mayaku_jisatsu_shukyo.txt","あと三四日は服用をやめて休息する。"
