"","auth","piece","line"
"0","sakaguchi","02butokai_satsujinjiken.txt","明治開化安吾捕物"
"1","sakaguchi","02butokai_satsujinjiken.txt","その一舞踏会殺人事件"
"2","sakaguchi","02butokai_satsujinjiken.txt","坂口安吾"
"3","sakaguchi","02butokai_satsujinjiken.txt",""
"4","sakaguchi","02butokai_satsujinjiken.txt","-------------------------------------------------------"
"5","sakaguchi","02butokai_satsujinjiken.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","02butokai_satsujinjiken.txt",""
"7","sakaguchi","02butokai_satsujinjiken.txt","《》：ルビ"
"8","sakaguchi","02butokai_satsujinjiken.txt","（例）屡々"
"9","sakaguchi","02butokai_satsujinjiken.txt",""
"10","sakaguchi","02butokai_satsujinjiken.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","sakaguchi","02butokai_satsujinjiken.txt","（例）明治開化"
"12","sakaguchi","02butokai_satsujinjiken.txt","-------------------------------------------------------"
"13","sakaguchi","02butokai_satsujinjiken.txt",""
"14","sakaguchi","02butokai_satsujinjiken.txt","氷川の海舟屋敷の黒板塀をくぐったのは神楽坂の剣術使い泉山虎之介。"
"15","sakaguchi","02butokai_satsujinjiken.txt","この男、時はもう明治十八九年という開化の時世であるが、酔っぱらうと、泉山虎之介タチバナの時安と見得を切って女中のホッペタをなめたがる悪癖がある。"
"16","sakaguchi","02butokai_satsujinjiken.txt",""
"17","sakaguchi","02butokai_satsujinjiken.txt","虎之介は幼少のころ、海舟について剣術を習ったことがある。"
"18","sakaguchi","02butokai_satsujinjiken.txt","そのころの勝海舟はいたって貧乏、まだ幕府には重用されず、剣術や蘭学などをメシの種にしていた。"
"19","sakaguchi","02butokai_satsujinjiken.txt","習うこと二三年、海舟が官について多忙になったので、山岡鉄舟にあずけられた。"
"20","sakaguchi","02butokai_satsujinjiken.txt","そのとき虎之介は今なら小学校四五年生ぐらいの子供、それからズッと山岡について剣術を学び、今は神楽坂で道場をひらいているが、あんまりはやらない。"
"21","sakaguchi","02butokai_satsujinjiken.txt",""
"22","sakaguchi","02butokai_satsujinjiken.txt","虎之介は海舟邸の玄関で、籐のイスに腰を下して、頭をおさえて考えこんだ。"
"23","sakaguchi","02butokai_satsujinjiken.txt","これがこの男の変った癖で、心配事があって海舟屋敷を訪れる時には、玄関の籐イスに腰かけて、頭をかかえて今更のように考えこむ。"
