"","auth","piece","line"
"0","sakaguchi","03datemasamuneno_shiro.txt","安吾の新日本地理"
"1","sakaguchi","03datemasamuneno_shiro.txt","伊達政宗の城へ乗込む――仙台の巻――"
"2","sakaguchi","03datemasamuneno_shiro.txt","坂口安吾"
"3","sakaguchi","03datemasamuneno_shiro.txt",""
"4","sakaguchi","03datemasamuneno_shiro.txt","-------------------------------------------------------"
"5","sakaguchi","03datemasamuneno_shiro.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","03datemasamuneno_shiro.txt",""
"7","sakaguchi","03datemasamuneno_shiro.txt","《》：ルビ"
"8","sakaguchi","03datemasamuneno_shiro.txt","（例）経綸"
"9","sakaguchi","03datemasamuneno_shiro.txt",""
"10","sakaguchi","03datemasamuneno_shiro.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","03datemasamuneno_shiro.txt","（例）御｜羸疲"
"12","sakaguchi","03datemasamuneno_shiro.txt",""
"13","sakaguchi","03datemasamuneno_shiro.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"14","sakaguchi","03datemasamuneno_shiro.txt","（例）チョイ／＼"
"15","sakaguchi","03datemasamuneno_shiro.txt","-------------------------------------------------------"
"16","sakaguchi","03datemasamuneno_shiro.txt",""
"17","sakaguchi","03datemasamuneno_shiro.txt","仙台は伊達政宗のひらいた城下町。"
"18","sakaguchi","03datemasamuneno_shiro.txt","その時までは原野であったそうだ。"
"19","sakaguchi","03datemasamuneno_shiro.txt",""
"20","sakaguchi","03datemasamuneno_shiro.txt","この城は天嶮だね。"
"21","sakaguchi","03datemasamuneno_shiro.txt","しかし眼下に平野を見下し、水運には恵まれないが、陸路の要地ではある。"
"22","sakaguchi","03datemasamuneno_shiro.txt","政宗が仙台を開府したのは、大坂や江戸の開府よりも後のことだ。"
"23","sakaguchi","03datemasamuneno_shiro.txt","だが、大坂や江戸にくらべて、地点の選び方が田舎豪傑式であり、近代性が低いのである。"
"24","sakaguchi","03datemasamuneno_shiro.txt",""
"25","sakaguchi","03datemasamuneno_shiro.txt","秀吉は主として信長の独創を実践した人で、彼自身の、独創というものはあまりないが、大阪の地に立って四方を見ると、ここに居城を選んだ彼の識見の凡庸ならざることがハッキリするね。"
"26","sakaguchi","03datemasamuneno_shiro.txt","海陸ともに交通の要点で、これにまさるいかなる要点も有り得ない。"
"27","sakaguchi","03datemasamuneno_shiro.txt","ビワ湖に面した安土城（信長晩年の設計）と大阪の地とでは、雲泥の差があるね。"
"28","sakaguchi","03datemasamuneno_shiro.txt","安土の地はなお戦国的な要点であるが、大阪は近代の首府に通じる要点だ。"
"29","sakaguchi","03datemasamuneno_shiro.txt",""
"30","sakaguchi","03datemasamuneno_shiro.txt","江戸の選定も家康の智恵ではなくて秀吉のすすめであったと云われている。"
"31","sakaguchi","03datemasamuneno_shiro.txt","秀吉が小田原の北条氏を攻めたとき、石垣山の頂上へ家康を案内して眼下に霞む関東平野を指し、"
