"","auth","piece","line"
"0","sakaguchi","03misshitsu_daihanzai.txt","明治開化安吾捕物"
"1","sakaguchi","03misshitsu_daihanzai.txt","その二密室大犯罪"
"2","sakaguchi","03misshitsu_daihanzai.txt","坂口安吾"
"3","sakaguchi","03misshitsu_daihanzai.txt",""
"4","sakaguchi","03misshitsu_daihanzai.txt","-------------------------------------------------------"
"5","sakaguchi","03misshitsu_daihanzai.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","03misshitsu_daihanzai.txt",""
"7","sakaguchi","03misshitsu_daihanzai.txt","《》：ルビ"
"8","sakaguchi","03misshitsu_daihanzai.txt","（例）大形"
"9","sakaguchi","03misshitsu_daihanzai.txt",""
"10","sakaguchi","03misshitsu_daihanzai.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","sakaguchi","03misshitsu_daihanzai.txt","（例）明治開化"
"12","sakaguchi","03misshitsu_daihanzai.txt",""
"13","sakaguchi","03misshitsu_daihanzai.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"14","sakaguchi","03misshitsu_daihanzai.txt","（例）ニヤリ／＼"
"15","sakaguchi","03misshitsu_daihanzai.txt","-------------------------------------------------------"
"16","sakaguchi","03misshitsu_daihanzai.txt",""
"17","sakaguchi","03misshitsu_daihanzai.txt","秋ばれの好天気。"
"18","sakaguchi","03misshitsu_daihanzai.txt","氷川の勝海舟邸の門をくぐったのは、うかない顔の泉山虎之介であった。"
"19","sakaguchi","03misshitsu_daihanzai.txt","よほど浮かない事情があるらしい。"
"20","sakaguchi","03misshitsu_daihanzai.txt",""
"21","sakaguchi","03misshitsu_daihanzai.txt","玄関へたどりつくと、ここまで来たのが精いっぱい、というように、玄関脇に置いてある籐椅子にグッタリとつかまって、吐息をついた。"
"22","sakaguchi","03misshitsu_daihanzai.txt","こわれかけた籐椅子がグラつくのも気づかぬ態に腰かけて、額に指をあててジックリと考えこんだがミロク菩薩のような良い智慧はうかばないらしい。"
"23","sakaguchi","03misshitsu_daihanzai.txt","時々、思い余って、ホッと溜息をつく。"
"24","sakaguchi","03misshitsu_daihanzai.txt","鯨が一息入れているような大袈裟な溜息だが、本人はその溜息にも気がつかないらしい。"
"25","sakaguchi","03misshitsu_daihanzai.txt","よほど大きな煩悶と真ッ正面から取り組んでいるのだろう。"
"26","sakaguchi","03misshitsu_daihanzai.txt",""
"27","sakaguchi","03misshitsu_daihanzai.txt","彼は思いきって立ち上った。"
"28","sakaguchi","03misshitsu_daihanzai.txt","出発寸前の特攻隊の顔である。"
"29","sakaguchi","03misshitsu_daihanzai.txt","自分の思考力に見切りをつけるということが、この大男には死ぬ苦しみというのかも知れない。"
"30","sakaguchi","03misshitsu_daihanzai.txt",""
"31","sakaguchi","03misshitsu_daihanzai.txt","女中に訪いを通じると、例によって海舟のお側づきの女中小糸が代って現れて、奥の書斎へみちびいてくれる。"
"32","sakaguchi","03misshitsu_daihanzai.txt","早朝のことで、ほかに来客はいなかった。"
"33","sakaguchi","03misshitsu_daihanzai.txt",""
"34","sakaguchi","03misshitsu_daihanzai.txt","「早朝より静謐を騒がせまして、無礼の段、特におゆるし下さりませ」"
"35","sakaguchi","03misshitsu_daihanzai.txt","声涙ともに下るという悲痛の様で、あやまっている。"
"36","sakaguchi","03misshitsu_daihanzai.txt","いつもながらの大形さに海舟は笑って、"
"37","sakaguchi","03misshitsu_daihanzai.txt","「借金の依頼、身の振り方の相談、オレのところへは相談ごとにくる人間の絶えたことがない。"
"38","sakaguchi","03misshitsu_daihanzai.txt","人殺しの兇状もちが、かくまってくれといってきたこともあったよ。"
"39","sakaguchi","03misshitsu_daihanzai.txt","二三日おいてやって、ここはもう門前に見張りの者がついている。"
"40","sakaguchi","03misshitsu_daihanzai.txt","危いから、これこれの人を頼って行けと握り飯を持たせてやったが、この男は立ち去るまで挙動は尋常で、食事なども静かに充分に食べて、夜も熟睡していたぜ。"
"41","sakaguchi","03misshitsu_daihanzai.txt","虎はどうだエ。"
"42","sakaguchi","03misshitsu_daihanzai.txt","ゆうべは眠っていなかろう。"
"43","sakaguchi","03misshitsu_daihanzai.txt","お前ほど思いみだれて智慧をかりに来た人はいないが、探偵は、皆、そんなものかえ」"
"44","sakaguchi","03misshitsu_daihanzai.txt","「ハ。"
"45","sakaguchi","03misshitsu_daihanzai.txt","凡骨の思慮のとどかぬ奇ッ怪事が、まま起るものでござります。"
"46","sakaguchi","03misshitsu_daihanzai.txt","内側よりカケガネをかけ密封せられたる土蔵の中で、殺された男がございます。"
"47","sakaguchi","03misshitsu_daihanzai.txt","犯人は外へのがれた筈はありませんが、煙の如くに消えております」"
"48","sakaguchi","03misshitsu_daihanzai.txt","「今朝の新聞で見たが、人形町の小間物屋の話かえ」"
"49","sakaguchi","03misshitsu_daihanzai.txt","「ハ。"
"50","sakaguchi","03misshitsu_daihanzai.txt","まさしく左様で。"
"51","sakaguchi","03misshitsu_daihanzai.txt","本朝未聞の大犯罪にござります」"
"52","sakaguchi","03misshitsu_daihanzai.txt","人形町の「川木」という小間物屋で、主人の藤兵衛が土蔵の二階の部屋で殺されていたが、発見されたときは部屋の戸に内側のカケガネがかかっていたという。"
"53","sakaguchi","03misshitsu_daihanzai.txt","そのころの新聞記事というものは、三面記事の報道に正確を期するような考えはない。"
"54","sakaguchi","03misshitsu_daihanzai.txt","面白おかしく尾ヒレをつけ興にまかせて書きあげた文章であるから「上等別嬪、風流才子、美男番頭、いずれ劣らぬ達者なシレ者、馬脚を露わすそも誰人か」と結んであるのがその記事である。"
"55","sakaguchi","03misshitsu_daihanzai.txt","上等別嬪というのは藤兵衛の妾、お槙のこと。"
"56","sakaguchi","03misshitsu_daihanzai.txt","こんな記事を読んだところで、犯人の見当をつける手掛りにならないばかりか、とんだ嘘を教えこまれるばかりである。"
"57","sakaguchi","03misshitsu_daihanzai.txt",""
"58","sakaguchi","03misshitsu_daihanzai.txt","「藤兵衛は土蔵にくらしていたのかえ」"
"59","sakaguchi","03misshitsu_daihanzai.txt","「土蔵の二階半分を仕切りまして、居間にいたしておりました。"
