"","auth","piece","line"
"0","sakaguchi","06manbiki_kazoku.txt","明治開化安吾捕物"
"1","sakaguchi","06manbiki_kazoku.txt","その五万引家族"
"2","sakaguchi","06manbiki_kazoku.txt","坂口安吾"
"3","sakaguchi","06manbiki_kazoku.txt",""
"4","sakaguchi","06manbiki_kazoku.txt","-------------------------------------------------------"
"5","sakaguchi","06manbiki_kazoku.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","06manbiki_kazoku.txt",""
"7","sakaguchi","06manbiki_kazoku.txt","《》：ルビ"
"8","sakaguchi","06manbiki_kazoku.txt","（例）良人"
"9","sakaguchi","06manbiki_kazoku.txt",""
"10","sakaguchi","06manbiki_kazoku.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","06manbiki_kazoku.txt","（例）二千｜米"
"12","sakaguchi","06manbiki_kazoku.txt",""
"13","sakaguchi","06manbiki_kazoku.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","06manbiki_kazoku.txt","（例）明治開化"
"15","sakaguchi","06manbiki_kazoku.txt",""
"16","sakaguchi","06manbiki_kazoku.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","06manbiki_kazoku.txt","（例）キョロ／＼"
"18","sakaguchi","06manbiki_kazoku.txt","-------------------------------------------------------"
"19","sakaguchi","06manbiki_kazoku.txt",""
"20","sakaguchi","06manbiki_kazoku.txt","スギ子未亡人はシンは心のあたたかい人のようでもある。"
"21","sakaguchi","06manbiki_kazoku.txt","嫁入道具というものを一切持たない咲子の着物のことに気を使ってくれて、季節々々の着物を自分で見たてて作ってくれる。"
"22","sakaguchi","06manbiki_kazoku.txt","顔に親切を見せないし、優しい言葉をかけてくれることも殆どないだけ、シンの親切が身にしみるのだが、しかしとりつく島もない。"
"23","sakaguchi","06manbiki_kazoku.txt","威厳があって、キリリと見るからに利巧らしくて、うちとけることも、甘えることもできないのである。"
"24","sakaguchi","06manbiki_kazoku.txt",""
"25","sakaguchi","06manbiki_kazoku.txt","その未亡人に、万引という病癖があると知って、咲子は呆気にとられた。"
"26","sakaguchi","06manbiki_kazoku.txt","病気というものは、奇妙なものだ。"
"27","sakaguchi","06manbiki_kazoku.txt","実に厳然として威風そなわり、見るからに利巧そのものの大家の奥様が、万引をするとは意外なことだ。"
"28","sakaguchi","06manbiki_kazoku.txt","買う金は腐るほど有り余っている大富豪なのである。"
"29","sakaguchi","06manbiki_kazoku.txt","おまけに、金庫のカギは未亡人の手中にあって、自分で使うぶんには誰に気兼ねもいらないという結構な御身分なのである。"
"30","sakaguchi","06manbiki_kazoku.txt",""
"31","sakaguchi","06manbiki_kazoku.txt","呉服物は三井、貴金属は何屋、小間物は何屋というようにお買いつけの店はきまっている。"
"32","sakaguchi","06manbiki_kazoku.txt","当今のように店に商品が並んでいるわけではなくて、一々奥の土蔵から店のお客様の前まで品物を運んできて、ひろげて見せる。"
"33","sakaguchi","06manbiki_kazoku.txt","その品物の中から、お買上げの物のほかに不足した物があれば、万引の犯人はお買い上げの当人にきまっているし、見ず知らずの人ではなくて、顔の知れたオトクイ様なら、犯人の名は一目瞭然というわけだ。"
"34","sakaguchi","06manbiki_kazoku.txt",""
"35","sakaguchi","06manbiki_kazoku.txt","しかし、商店はなれているから、何食わぬ顔、毎度ありがとうございます、と送り返しておいて、月末のツケの中へ、お買い上げ品として万引の品物も書きこんでおく。"
"36","sakaguchi","06manbiki_kazoku.txt","ちゃんと払って下さるのだから、万引には相違ないが、益々ありがたいオトクイ様でもある。"
"37","sakaguchi","06manbiki_kazoku.txt","諸方の商店は、浅虫家の未亡人御来店とあればたくさん品々を前に並べ、存分に万引していただくことになっている。"
"38","sakaguchi","06manbiki_kazoku.txt",""
"39","sakaguchi","06manbiki_kazoku.txt","ところが、病癖というものは、遺伝するから怖しい。"
"40","sakaguchi","06manbiki_kazoku.txt","咲子の良人の正司には姉に当るキク子が、やっぱり万引してくるのである。"
"41","sakaguchi","06manbiki_kazoku.txt",""
"42","sakaguchi","06manbiki_kazoku.txt","キク子は二十五にもなって、まだ独身者という変り種、非常に美人ではあるが、我が強く、陰気で、無口で、てんで男など眼中にないらしい様子である。"
"43","sakaguchi","06manbiki_kazoku.txt","立居フルマイが荒々しく、投げやりで、奔放だ。"
"44","sakaguchi","06manbiki_kazoku.txt","そういう変り者であるから、万引の手口が豪放をきわめていて、人力とは思えないほどゴッソリ持ってくる。"
"45","sakaguchi","06manbiki_kazoku.txt","コートの裏に何十本というカギのついたヒモがぶら下っていて、ここへ反物を何十反もぶら下げてくるような、妙に芸のこまかい技巧派のところもあるのである。"
"46","sakaguchi","06manbiki_kazoku.txt","母の血をうけて利巧なことは確かであるから、粗雑、奔放のようでも、無口で陰気で考えこんでいるような放心状態のとき、実は万引の手口について新発明をこらしているのかも知れない。"
"47","sakaguchi","06manbiki_kazoku.txt","母にくらべて、大胆不敵、武者振り堂々たる万引常習者であった。"
"48","sakaguchi","06manbiki_kazoku.txt",""
"49","sakaguchi","06manbiki_kazoku.txt","彼女らにとっては、買うことと万引とは、結局同じことにすぎないのに、そこは病人のことで、万引は又特別、戦利品というような快感があるらしい。"
"50","sakaguchi","06manbiki_kazoku.txt","貧故の万引とちがって、金持の万引は完全な病癖なのだから、その快味は又、特別に相違ない。"
"51","sakaguchi","06manbiki_kazoku.txt",""
"52","sakaguchi","06manbiki_kazoku.txt","だから、買ってきた品物は、ちゃんと居間のタンスにしまうけれども、戦利品は土蔵の中へ秘かに隠して貯蔵して、その戦利品の山を日夜のぞきに行って満足しているのだ。"
"53","sakaguchi","06manbiki_kazoku.txt","だから彼女らは、土蔵の中へは誰も入れない。"
"54","sakaguchi","06manbiki_kazoku.txt","土蔵は、この家の一番奥の主人夫妻の居間、今では未亡人一人の居間であるが、そこに接している上に、カギは未亡人の手中にあるから、未亡人の眼を盗んで土蔵に入ることは誰もできない。"
"55","sakaguchi","06manbiki_kazoku.txt","ただ娘のキク子だけは母の居間に出入自由で、同時に土蔵の中へも自由に出入できるらしい。"
"56","sakaguchi","06manbiki_kazoku.txt","二人は特に仲が良いのである。"
"57","sakaguchi","06manbiki_kazoku.txt","共通せる病人のせいかも知れない。"
"58","sakaguchi","06manbiki_kazoku.txt",""
"59","sakaguchi","06manbiki_kazoku.txt","大金持の土蔵であるから、実に壮大雄渾な大土蔵で、花川戸の蔵吉という土蔵造りの名人が、九年かかって仕上げたという国宝的な土蔵であった。"
"60","sakaguchi","06manbiki_kazoku.txt","その大土蔵のどこに、どんな風に戦利品が陳列してあるのか誰も見ることが出来ないが、気品あくまで高き未亡人と、奔放にして美しき娘とが、時々そこへ忍び佇んで戦利品に魅入られている姿を想像すると、咲子は怖しくもあるが、凄いような美しさを感じないこともなかった。"
"61","sakaguchi","06manbiki_kazoku.txt",""
"62","sakaguchi","06manbiki_kazoku.txt","しかし変った家族である。"
"63","sakaguchi","06manbiki_kazoku.txt","何から何まで変っている。"
"64","sakaguchi","06manbiki_kazoku.txt","食事にしても、未亡人とキク子は未亡人の居間で差し向いで食べる。"
"65","sakaguchi","06manbiki_kazoku.txt","フキヤという小女がお二人の係りの女中である。"
"66","sakaguchi","06manbiki_kazoku.txt",""
"67","sakaguchi","06manbiki_kazoku.txt","正司と咲子は、二人の居間で食事する。"
"68","sakaguchi","06manbiki_kazoku.txt","これにはタケヤという小女が係りの女中だ。"
"69","sakaguchi","06manbiki_kazoku.txt",""
"70","sakaguchi","06manbiki_kazoku.txt","正司の弟の一也という大学生は自分の居間で一人で食べる。"
"71","sakaguchi","06manbiki_kazoku.txt","これにはハナヤという小女が係りである。"
"72","sakaguchi","06manbiki_kazoku.txt","まるで銘々旅館に居るようなものである。"
"73","sakaguchi","06manbiki_kazoku.txt","ちゃんとレッキとした大食堂があるのに、殆ど使うことがない。"
"74","sakaguchi","06manbiki_kazoku.txt","しかし尤もな理由もある。"
"75","sakaguchi","06manbiki_kazoku.txt","家族の起居がそれぞれ時間が違っていて、一堂に会して食事をするわけにはいかないのだ。"
"76","sakaguchi","06manbiki_kazoku.txt","未亡人のお目覚めが最もおそくて、九時ごろ。"
"77","sakaguchi","06manbiki_kazoku.txt","で、未亡人が洗顔して朝のお化粧を終ったころ、咲子はその居間の外の廊下に坐って、"
