"","auth","piece","line"
"0","sakaguchi","07_miyasamawa_ikkyushinshi.txt","安吾人生案内"
"1","sakaguchi","07_miyasamawa_ikkyushinshi.txt","その七宮様は一級紳士"
"2","sakaguchi","07_miyasamawa_ikkyushinshi.txt","坂口安吾"
"3","sakaguchi","07_miyasamawa_ikkyushinshi.txt",""
"4","sakaguchi","07_miyasamawa_ikkyushinshi.txt","-------------------------------------------------------"
"5","sakaguchi","07_miyasamawa_ikkyushinshi.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","07_miyasamawa_ikkyushinshi.txt",""
"7","sakaguchi","07_miyasamawa_ikkyushinshi.txt","《》：ルビ"
"8","sakaguchi","07_miyasamawa_ikkyushinshi.txt","（例）併し"
"9","sakaguchi","07_miyasamawa_ikkyushinshi.txt",""
"10","sakaguchi","07_miyasamawa_ikkyushinshi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","sakaguchi","07_miyasamawa_ikkyushinshi.txt","（例）"
"12","sakaguchi","07_miyasamawa_ikkyushinshi.txt","-------------------------------------------------------"
"13","sakaguchi","07_miyasamawa_ikkyushinshi.txt",""
"14","sakaguchi","07_miyasamawa_ikkyushinshi.txt",""
"15","sakaguchi","07_miyasamawa_ikkyushinshi.txt","華頂博信氏手記"
"16","sakaguchi","07_miyasamawa_ikkyushinshi.txt","私どもの離婚は決して夫婦喧嘩ではありません。"
"17","sakaguchi","07_miyasamawa_ikkyushinshi.txt","私は廿五年間命をかけて妻を愛していました。"
"18","sakaguchi","07_miyasamawa_ikkyushinshi.txt","それだけに離婚の決意は、七月十八日夜自宅のクローク・ルームで戸田氏と華子との姿を発見して以来の妻の思想と言動に就いて冷静な判断を下した上でなされたものです。"
"19","sakaguchi","07_miyasamawa_ikkyushinshi.txt","妻はこの事件に対して少しも悔悟して居りません。"
"20","sakaguchi","07_miyasamawa_ikkyushinshi.txt",""
"21","sakaguchi","07_miyasamawa_ikkyushinshi.txt","否、寧ろ今後も婦人衛生会の仕事に名を借りて戸田氏との接触を計ろうとしているのです。"
"22","sakaguchi","07_miyasamawa_ikkyushinshi.txt","私の妻は一体誰なのか――。"
"23","sakaguchi","07_miyasamawa_ikkyushinshi.txt","終戦後貴方は貴方、わたしはわたし、夫婦とは単なる男女の同居という家庭が相当あるらしい。"
"24","sakaguchi","07_miyasamawa_ikkyushinshi.txt","それもそんな家庭生活を喜ぶ夫婦ならばそれで済むだろう。"
"25","sakaguchi","07_miyasamawa_ikkyushinshi.txt","併し私には向かない。"
"26","sakaguchi","07_miyasamawa_ikkyushinshi.txt","何か自由ということのはき違えではないだろうか。"
"27","sakaguchi","07_miyasamawa_ikkyushinshi.txt","自由ということを掘下げてゆくと、真の自由は自律的には随分不自由なものではなかろうか。"
"28","sakaguchi","07_miyasamawa_ikkyushinshi.txt",""
"29","sakaguchi","07_miyasamawa_ikkyushinshi.txt","わずかの間に妻の性格が想像も及ばぬ程変っていたと気がついたのはあの事件以来だが、それにつけても戸田氏は一年有半に亘り華子と会う度にコーヒーの中に一滴、二滴何か女の精神を弛緩させるような薬品でも混ぜておったのではなかろうかと推理小説的空想を抱く程妻の気持は激変していた。"
"30","sakaguchi","07_miyasamawa_ikkyushinshi.txt",""
"31","sakaguchi","07_miyasamawa_ikkyushinshi.txt","しかしその妻が今度のようなことになったとて社会的に傷つけられてよいと云う理由が何処にあろうか。"
