"","auth","piece","line"
"0","sakaguchi","07chio_miru_shinju.txt","明治開化安吾捕物"
"1","sakaguchi","07chio_miru_shinju.txt","その六血を見る真珠"
"2","sakaguchi","07chio_miru_shinju.txt","坂口安吾"
"3","sakaguchi","07chio_miru_shinju.txt",""
"4","sakaguchi","07chio_miru_shinju.txt","-------------------------------------------------------"
"5","sakaguchi","07chio_miru_shinju.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","07chio_miru_shinju.txt",""
"7","sakaguchi","07chio_miru_shinju.txt","《》：ルビ"
"8","sakaguchi","07chio_miru_shinju.txt","（例）強者"
"9","sakaguchi","07chio_miru_shinju.txt",""
"10","sakaguchi","07chio_miru_shinju.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","07chio_miru_shinju.txt","（例）二十｜尋"
"12","sakaguchi","07chio_miru_shinju.txt",""
"13","sakaguchi","07chio_miru_shinju.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","07chio_miru_shinju.txt","（例）明治開化"
"15","sakaguchi","07chio_miru_shinju.txt",""
"16","sakaguchi","07chio_miru_shinju.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","07chio_miru_shinju.txt","（例）ドヤ／＼"
"18","sakaguchi","07chio_miru_shinju.txt","-------------------------------------------------------"
"19","sakaguchi","07chio_miru_shinju.txt",""
"20","sakaguchi","07chio_miru_shinju.txt","明治十六年一月のことである。"
"21","sakaguchi","07chio_miru_shinju.txt","東京の木工船会社で新造した百八十トンの機帆船昇龍丸が試運転をかねて濠洲に初航海した。"
"22","sakaguchi","07chio_miru_shinju.txt","日本の国名も聞きなれぬ当時のことで、非常に珍しがられて、港々に盛大なモテナシをうけた。"
"23","sakaguchi","07chio_miru_shinju.txt","そのとき、木曜島近海の暗礁にのりあげて船体を破損し、修理のために一ヶ月ほど木曜島にとどまったのである。"
"24","sakaguchi","07chio_miru_shinju.txt",""
"25","sakaguchi","07chio_miru_shinju.txt","折しも木曜島では、明治十二三年に優秀な真珠貝の産地であることが発見されて、諸国から真珠貝採取船や、仲買人が雲集し、銀行も出張して、真珠景気の盛大なこと。"
"26","sakaguchi","07chio_miru_shinju.txt","明治十八年には日本の潜水夫もこの島へ稼ぎに出たということだが、それは後日の話。"
