"","auth","piece","line"
"0","sakaguchi","08takarazuka_joshi.txt","安吾の新日本地理"
"1","sakaguchi","08takarazuka_joshi.txt","宝塚女子占領軍――阪神の巻――"
"2","sakaguchi","08takarazuka_joshi.txt","坂口安吾"
"3","sakaguchi","08takarazuka_joshi.txt",""
"4","sakaguchi","08takarazuka_joshi.txt","-------------------------------------------------------"
"5","sakaguchi","08takarazuka_joshi.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","08takarazuka_joshi.txt",""
"7","sakaguchi","08takarazuka_joshi.txt","《》：ルビ"
"8","sakaguchi","08takarazuka_joshi.txt","（例）娘子軍"
"9","sakaguchi","08takarazuka_joshi.txt",""
"10","sakaguchi","08takarazuka_joshi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","08takarazuka_joshi.txt","（例）五十｜米"
"12","sakaguchi","08takarazuka_joshi.txt",""
"13","sakaguchi","08takarazuka_joshi.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"14","sakaguchi","08takarazuka_joshi.txt","（例）シャン／＼"
"15","sakaguchi","08takarazuka_joshi.txt","-------------------------------------------------------"
"16","sakaguchi","08takarazuka_joshi.txt",""
"17","sakaguchi","08takarazuka_joshi.txt","宝塚少女歌劇というものは、現代の神話的存在の一ツである。"
"18","sakaguchi","08takarazuka_joshi.txt","とにかく私のようなヤジウマ根性の旺盛な人間が今まで実物を見たことがなかった。"
"19","sakaguchi","08takarazuka_joshi.txt","同様に他の殿方の大部分も実物は御存知あるまい。"
"20","sakaguchi","08takarazuka_joshi.txt",""
"21","sakaguchi","08takarazuka_joshi.txt","東京公演で男の見物姿を見かけることは少いそうだが、本場の宝塚大劇場では男姿も珍しくないという。"
"22","sakaguchi","08takarazuka_joshi.txt","なるほど、私のような図体の大きいのが最前列で見物していても、ジロジロ視線をあびることもなかったが、しかし見廻したところ男の姿を見出すには相当苦労するな。"
"23","sakaguchi","08takarazuka_joshi.txt","もっとも進駐軍席があって、私はその隣にいたせいで、怪しまれなかったのかも知れません。"
"24","sakaguchi","08takarazuka_joshi.txt",""
"25","sakaguchi","08takarazuka_joshi.txt","日本の女学生は大方宝塚ファンとみて差支えないようだが、女学生のお小遣いの半分ぐらいは宝塚のために費されているものらしい。"
