"","auth","piece","line"
"0","sakaguchi","10fukumen_yashiki.txt","明治開化安吾捕物"
"1","sakaguchi","10fukumen_yashiki.txt","その九覆面屋敷"
"2","sakaguchi","10fukumen_yashiki.txt","坂口安吾"
"3","sakaguchi","10fukumen_yashiki.txt",""
"4","sakaguchi","10fukumen_yashiki.txt","-------------------------------------------------------"
"5","sakaguchi","10fukumen_yashiki.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","10fukumen_yashiki.txt",""
"7","sakaguchi","10fukumen_yashiki.txt","《》：ルビ"
"8","sakaguchi","10fukumen_yashiki.txt","（例）呪"
"9","sakaguchi","10fukumen_yashiki.txt",""
"10","sakaguchi","10fukumen_yashiki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","10fukumen_yashiki.txt","（例）多久｜駒守"
"12","sakaguchi","10fukumen_yashiki.txt",""
"13","sakaguchi","10fukumen_yashiki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","10fukumen_yashiki.txt","（例）明治開化"
"15","sakaguchi","10fukumen_yashiki.txt",""
"16","sakaguchi","10fukumen_yashiki.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","10fukumen_yashiki.txt","（例）ピョン／＼"
"18","sakaguchi","10fukumen_yashiki.txt","-------------------------------------------------------"
"19","sakaguchi","10fukumen_yashiki.txt",""
"20","sakaguchi","10fukumen_yashiki.txt","光子は一枝の言葉が頭にからみついて放れなかった。"
"21","sakaguchi","10fukumen_yashiki.txt",""
"22","sakaguchi","10fukumen_yashiki.txt","「ちょっとでよいから、のぞかせてよ。"
"23","sakaguchi","10fukumen_yashiki.txt","風守さまのお部屋を」"
"24","sakaguchi","10fukumen_yashiki.txt","「ダメ。"
"25","sakaguchi","10fukumen_yashiki.txt","お部屋どころか、別館の近くへ立寄ってもいけないのよ」"
"26","sakaguchi","10fukumen_yashiki.txt","すると一枝はあざわらって、"
"27","sakaguchi","10fukumen_yashiki.txt","「そうでしょうよ。"
"28","sakaguchi","10fukumen_yashiki.txt","牢屋ですもの。"
"29","sakaguchi","10fukumen_yashiki.txt","しかも……」"
"30","sakaguchi","10fukumen_yashiki.txt","一度言葉をきって、益々意地わるく薄笑いしながら、"
"31","sakaguchi","10fukumen_yashiki.txt","「風守さまは御病気ではないのでしょう。"
"32","sakaguchi","10fukumen_yashiki.txt","気が違ってらッしゃるなんてウソなんだわ。"
"33","sakaguchi","10fukumen_yashiki.txt","健全な風守さまを病気と称して座敷牢へとじこめたイワレは、いかに？」"
"34","sakaguchi","10fukumen_yashiki.txt","一枝の目は呪をかける妖婆のように光った。"
"35","sakaguchi","10fukumen_yashiki.txt","そして、云った。"
"36","sakaguchi","10fukumen_yashiki.txt",""
"37","sakaguchi","10fukumen_yashiki.txt","「母なき子、あわれ。"
"38","sakaguchi","10fukumen_yashiki.txt","母ある子、幸あれ」"
