"","auth","piece","line"
"0","sakaguchi","10komajinjano_matsurino.txt","安吾の新日本地理"
"1","sakaguchi","10komajinjano_matsurino.txt","高麗神社の祭の笛――武蔵野の巻――"
"2","sakaguchi","10komajinjano_matsurino.txt","坂口安吾"
"3","sakaguchi","10komajinjano_matsurino.txt",""
"4","sakaguchi","10komajinjano_matsurino.txt","-------------------------------------------------------"
"5","sakaguchi","10komajinjano_matsurino.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","10komajinjano_matsurino.txt",""
"7","sakaguchi","10komajinjano_matsurino.txt","《》：ルビ"
"8","sakaguchi","10komajinjano_matsurino.txt","（例）飯能"
"9","sakaguchi","10komajinjano_matsurino.txt",""
"10","sakaguchi","10komajinjano_matsurino.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","10komajinjano_matsurino.txt","（例）埼玉県入間郡｜高麗"
"12","sakaguchi","10komajinjano_matsurino.txt",""
"13","sakaguchi","10komajinjano_matsurino.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","10komajinjano_matsurino.txt","（例）コ"
"15","sakaguchi","10komajinjano_matsurino.txt",""
"16","sakaguchi","10komajinjano_matsurino.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","10komajinjano_matsurino.txt","（例）グルリ／＼"
"18","sakaguchi","10komajinjano_matsurino.txt","-------------------------------------------------------"
"19","sakaguchi","10komajinjano_matsurino.txt",""
"20","sakaguchi","10komajinjano_matsurino.txt","今日では埼玉県入間郡｜高麗村ですが、昔は武蔵の国の高麗郡であり、高麗村でありました。"
"21","sakaguchi","10komajinjano_matsurino.txt","東京からそこへ行くには池袋駅から西武電車の飯能行きで終点まで行き、吾野行きに乗りかえ（同じ西武電車だが池袋から吾野行きの直通はなく、いっぺん飯能で乗りかえなければならない）飯能から二ツ目の駅が高麗です。"
"22","sakaguchi","10komajinjano_matsurino.txt","高麗村の北側背面は正丸峠を越えて秩父に通じ、東南は高麗峠を越えて飯能に、また高麗川を下れば川越市へでて入間川から荒川となり（つまり高麗川が入間川に注ぎ、入間川が荒川にそそいで）昔の隅田川で申しますと浅草で海にそそいでおった。"
