"","auth","piece","line"
"0","sakaguchi","11kyoso_tenrankai.txt","安吾巷談"
"1","sakaguchi","11kyoso_tenrankai.txt","教祖展覧会"
"2","sakaguchi","11kyoso_tenrankai.txt","坂口安吾"
"3","sakaguchi","11kyoso_tenrankai.txt",""
"4","sakaguchi","11kyoso_tenrankai.txt","-------------------------------------------------------"
"5","sakaguchi","11kyoso_tenrankai.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","11kyoso_tenrankai.txt",""
"7","sakaguchi","11kyoso_tenrankai.txt","《》：ルビ"
"8","sakaguchi","11kyoso_tenrankai.txt","（例）碧巌録"
"9","sakaguchi","11kyoso_tenrankai.txt",""
"10","sakaguchi","11kyoso_tenrankai.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","sakaguchi","11kyoso_tenrankai.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"12","sakaguchi","11kyoso_tenrankai.txt","（例）※"
"13","sakaguchi","11kyoso_tenrankai.txt",""
"14","sakaguchi","11kyoso_tenrankai.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"15","sakaguchi","11kyoso_tenrankai.txt","（例）チョボ／＼と"
"16","sakaguchi","11kyoso_tenrankai.txt","-------------------------------------------------------"
"17","sakaguchi","11kyoso_tenrankai.txt",""
"18","sakaguchi","11kyoso_tenrankai.txt","私は先般イサム・ノグチ展というものに誘われたが、熱心に辞退して、難をのがれた。"
"19","sakaguchi","11kyoso_tenrankai.txt","展覧会の写真を拝見して、とうてい私のような凡骨の見るべきものではないと切に自戒していたからである。"
"20","sakaguchi","11kyoso_tenrankai.txt",""
"21","sakaguchi","11kyoso_tenrankai.txt","「無」というのが、ありましたネ。"
"22","sakaguchi","11kyoso_tenrankai.txt","私は写真で見たのだが、人間の十人前もあるように大きい。"
"23","sakaguchi","11kyoso_tenrankai.txt","手の指が二本で輪をつくッているように見える。"
"24","sakaguchi","11kyoso_tenrankai.txt",""
"25","sakaguchi","11kyoso_tenrankai.txt","無門関か碧巌録の公案からでも取材したのかナ。"
"26","sakaguchi","11kyoso_tenrankai.txt","なんしろ「無」とあるから。"
"27","sakaguchi","11kyoso_tenrankai.txt","凡骨はツマランことを考えるよ。"
"28","sakaguchi","11kyoso_tenrankai.txt","しかし別段、花をいじっているわけではない。"
"29","sakaguchi","11kyoso_tenrankai.txt","真言の印をさがすと、これに似たのがあるだろうが、イサム・ノグチ氏は米国に盛名をはせる人、アメリカの人を相手に真言の奥義を解説しようということは考えられないナ。"
"30","sakaguchi","11kyoso_tenrankai.txt","奈良の大仏の片手にくらべると、こッちの方が大きいや。"
"31","sakaguchi","11kyoso_tenrankai.txt",""
"32","sakaguchi","11kyoso_tenrankai.txt","「若い人」というのが、ありましたネ。"
"33","sakaguchi","11kyoso_tenrankai.txt","鳥が背のびして、火の見ヤグラへ登って行くように見える。"
"34","sakaguchi","11kyoso_tenrankai.txt","万年筆を立てるには、都合がわるいし、シャッポかけにも具合がわるい。"
"35","sakaguchi","11kyoso_tenrankai.txt","すると、タダのオモチャかな。"
"36","sakaguchi","11kyoso_tenrankai.txt","独立した芸術として、シゲシゲ鑑賞しろたッてムリです。"
"37","sakaguchi","11kyoso_tenrankai.txt","何か実用の役に立たなくちゃア、どうにも存在の意味が解しかねる。"
"38","sakaguchi","11kyoso_tenrankai.txt","もっとも、これを机上に飾って、何故にこれが「若い人」であるか。"
"39","sakaguchi","11kyoso_tenrankai.txt","その謎々を解けという仕組みのオモチャなら智恵の輪よりも難物だ。"
"40","sakaguchi","11kyoso_tenrankai.txt","しかし、智慧の輪はいつかは解けるが、こッちの方は永久に解けそうもないや。"
"41","sakaguchi","11kyoso_tenrankai.txt",""
"42","sakaguchi","11kyoso_tenrankai.txt","イサム氏の父君は詩人ヨネ・ノグチだそうである。"
"43","sakaguchi","11kyoso_tenrankai.txt","詩魂脈々として子孫に霊気をつたえているに相違ないが、イサム氏に限らず、当今の超現実的傾向の源流をツラツラたずぬるに、元来詩人の霊気から発生した蜃気楼であると見たのは拙者のヒガメであろうか。"
"44","sakaguchi","11kyoso_tenrankai.txt",""
"45","sakaguchi","11kyoso_tenrankai.txt","私がはじめてこの霊気に対面したのは、今から二十三年前にさかのぼる。"
"46","sakaguchi","11kyoso_tenrankai.txt","フランス大詩人ステファン・マラルメ師の「クウ・ド・デ」という詩集を一見したときに、魂魄空中に飛びちり、ほとんど気息を失うところであった。"
"47","sakaguchi","11kyoso_tenrankai.txt",""
"48","sakaguchi","11kyoso_tenrankai.txt","大判の詩集でした。"
"49","sakaguchi","11kyoso_tenrankai.txt","ちょうど「アサヒグラフ」ぐらいの大きさだったと記憶するが、左の片隅にチョボ／＼と詩がのってると思うと、突如として右下に、字が大きくなったり小さくなったり、とんだり、はねたり、ひッくりかえッたり。"
"50","sakaguchi","11kyoso_tenrankai.txt","弟子のポール・ヴァレリー師は、マラルメ師は言葉の魔術使であると言っているが、言葉の魔術とはこういうことを言うのかなア。"
"51","sakaguchi","11kyoso_tenrankai.txt","これは印刷の奇術ではあるが言葉には関係がない。"
"52","sakaguchi","11kyoso_tenrankai.txt","まして詩の本質に関係ありとは思われないのである。"
"53","sakaguchi","11kyoso_tenrankai.txt",""
"54","sakaguchi","11kyoso_tenrankai.txt","マラルメ師を第一代の教祖とする。"
"55","sakaguchi","11kyoso_tenrankai.txt","ヴァレリー師を二代目、三代目は日本にも優秀なる高弟が一人いて小林秀雄師、これがフランス象徴派三代の教祖直伝の血統なのである。"
"56","sakaguchi","11kyoso_tenrankai.txt",""
"57","sakaguchi","11kyoso_tenrankai.txt","私も二十三年前には大そう驚いて、これが分らないのは私に学が足らないせいだ、大いに学んで会得しなければならん、というので、教祖の公案を見破るために奮闘努力したのである。"
"58","sakaguchi","11kyoso_tenrankai.txt",""
"59","sakaguchi","11kyoso_tenrankai.txt","ヴァレリー師は教祖マラルメ師について、かなり多くのことを語っている。"
"60","sakaguchi","11kyoso_tenrankai.txt","私はそれを飜訳したこともあった。"
"61","sakaguchi","11kyoso_tenrankai.txt","この中で、今もって私の腑に落ちないことが、一つある。"
"62","sakaguchi","11kyoso_tenrankai.txt","自分で飜訳しておいて腑に落ちないとは失礼な話であるが、元々学がないところへ辞書をテイネイにひくのがキライという不精な天性があって、ママならないのである。"
"63","sakaguchi","11kyoso_tenrankai.txt",""
"64","sakaguchi","11kyoso_tenrankai.txt","ヴァレリー師が教祖マラルメ師の書斎を語って、一歩と三歩の小さな部屋、と云っているが、原語は私が馬鹿正直に訳した通り、PAS というのです。"
"65","sakaguchi","11kyoso_tenrankai.txt","一歩と三歩じゃ小さすぎらア。"
"66","sakaguchi","11kyoso_tenrankai.txt","本当かなア。"
"67","sakaguchi","11kyoso_tenrankai.txt","もっと正しい訳語がありそうなもんだなア、と思ったが、しらべるのが面倒くさいから、一歩と三歩の小さい部屋。"
"68","sakaguchi","11kyoso_tenrankai.txt","部屋の大きさを歩幅ではかるというのもアンマリ見かけないことだと思ったが、なんしろ教祖の書斎である。"
"69","sakaguchi","11kyoso_tenrankai.txt","それを語るのも教祖二代目、こッちも教祖五六代目のツモリで、ごまかしてやれ、知らない奴は喜んで感心すらア、というような悪いコンタンで、今もって訳者は腑に落ちないのである。"
"70","sakaguchi","11kyoso_tenrankai.txt",""
"71","sakaguchi","11kyoso_tenrankai.txt","とにかく、教祖は格別なものだ。"
"72","sakaguchi","11kyoso_tenrankai.txt","一歩と三歩がちょッとは意味がちがっていても、よほど小さい書斎に相違ない。"
"73","sakaguchi","11kyoso_tenrankai.txt","教祖はそこに鎮座して、一字を大きくさせたり、次の一字を小さくさせたり、とばせたり、ひッくりかえしたり、クロスワードパズルよりもモット困難な事業に没頭していたのであった。"
"74","sakaguchi","11kyoso_tenrankai.txt",""
"75","sakaguchi","11kyoso_tenrankai.txt","私はついに教祖の公案を見破ることができなかった。"
"76","sakaguchi","11kyoso_tenrankai.txt","そのハライセに、かかるものは詩にあらず、芸術に非ず、と断定した。"
"77","sakaguchi","11kyoso_tenrankai.txt","そして今日に至っている。"
"78","sakaguchi","11kyoso_tenrankai.txt","のみならず、今日に於ては、この教祖を邪教の教祖と見なしてすらいるのである。"
"79","sakaguchi","11kyoso_tenrankai.txt","邪教といっても、教祖であるからには、立派な片言隻句も数多く残しているが、邪教であることには変りがない。"
"80","sakaguchi","11kyoso_tenrankai.txt",""
"81","sakaguchi","11kyoso_tenrankai.txt","シュルレアリズムというのは、前大戦後にとびだした畸型児であるが、文学の方ではアンドレ・ブルトンなどが旗持ちで、彼はシュルレアリズムのマニフェスト（宣言）というものを書いている。"
"82","sakaguchi","11kyoso_tenrankai.txt","大判の、ちょッと色の変った美本であった。"
"83","sakaguchi","11kyoso_tenrankai.txt","茶の地に、美しいコバルトで題字がぬいてある。"
"84","sakaguchi","11kyoso_tenrankai.txt","それが大そうキレイだったので、私たちの同人雑誌「青い馬」というのへ、そッくり衣裳を拝借したが、日本の印刷ではフランスのような美しいコバルトがでないので、あんまりパッとしなかった。"
"85","sakaguchi","11kyoso_tenrankai.txt","しかし、拝借したのは装釘の衣裳だけでシュルレアリズムにかぶれていたわけではなかった。"
"86","sakaguchi","11kyoso_tenrankai.txt",""
"87","sakaguchi","11kyoso_tenrankai.txt","このマニフェストというのはコケオドシの実にツマラヌものであった。"
