"","auth","piece","line"
"0","sakaguchi","16akawana.txt","明治開化安吾捕物"
"1","sakaguchi","16akawana.txt","その十五赤罠"
"2","sakaguchi","16akawana.txt","坂口安吾"
"3","sakaguchi","16akawana.txt",""
"4","sakaguchi","16akawana.txt","-------------------------------------------------------"
"5","sakaguchi","16akawana.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","16akawana.txt",""
"7","sakaguchi","16akawana.txt","《》：ルビ"
"8","sakaguchi","16akawana.txt","（例）遊山"
"9","sakaguchi","16akawana.txt",""
"10","sakaguchi","16akawana.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","16akawana.txt","（例）生地｜名題"
"12","sakaguchi","16akawana.txt",""
"13","sakaguchi","16akawana.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","16akawana.txt","（例）明治開化"
"15","sakaguchi","16akawana.txt",""
"16","sakaguchi","16akawana.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","16akawana.txt","（例）ヒョロ／＼"
"18","sakaguchi","16akawana.txt","-------------------------------------------------------"
"19","sakaguchi","16akawana.txt",""
"20","sakaguchi","16akawana.txt","年が改って一月の十三日。"
"21","sakaguchi","16akawana.txt","松飾りも取払われて、街には正月気分が見られなくなったが、ここ市川の田舎道を着かざった人々の群が三々五々つづいて通る。"
"22","sakaguchi","16akawana.txt","一見して東京も下町のそれと分る風俗。"
"23","sakaguchi","16akawana.txt","芸者風の粋な女姿も少からずまじっている。"
"24","sakaguchi","16akawana.txt",""
"25","sakaguchi","16akawana.txt","深川は木場の旦那の数ある中でも音にきこえた大旦那山キの市川別荘へ葬式に参列する人々であったが、それにしては喪服姿が目につかなくて、女姿は遊山のようになまめかしいばかりである。"
"26","sakaguchi","16akawana.txt","それも道理。"
"27","sakaguchi","16akawana.txt","お葬式とは云え、死んだフリをして生きかえるという趣向のものだ。"
"28","sakaguchi","16akawana.txt",""
"29","sakaguchi","16akawana.txt","山キの当主、不破喜兵衛は当年六十一。"
"30","sakaguchi","16akawana.txt","一月十三日というこの日が誕生日で、還暦祝いを葬式でやろうというのである。"
"31","sakaguchi","16akawana.txt",""
"32","sakaguchi","16akawana.txt","厄払いの意味もあった。"
"33","sakaguchi","16akawana.txt","甚だ老後にめぐまれない人で、中年に夫人を失ったのが晩年の孤独のキザシであった。"
"34","sakaguchi","16akawana.txt","彼自身は生れつき頑健な体質で病気知らずと人の羨む体質だったが、死んだ夫人は病弱だったせいか、生れた三名の子供のうち、兄と姉はすでにこの世になく、一人残った清作も病身であった。"
"35","sakaguchi","16akawana.txt","骨が細くヒョロ／＼と青白く育って、見るからに長命の相が欠けているから、"
"36","sakaguchi","16akawana.txt","「早く嫁をもたせてタネをとらなくちゃア、山キの後が絶えてしまう。"
"37","sakaguchi","16akawana.txt","美人薄命というが、オレがキリョウ好みをしたのが思えば失敗のモトであろう。"
"38","sakaguchi","16akawana.txt","若い頃は分別が至らないから、目先の快楽に盲いて、老後も死後も考えないが、家を保つには丈夫で利口な嫁を選ばなければいけないものだ。"
"39","sakaguchi","16akawana.txt","その上キリョウが良ければ越したことはないが、それは二の次だ」"
"40","sakaguchi","16akawana.txt","不破喜兵衛はこう考えて、まだ清作が二十という若いときに、今の嫁をもたせた。"
"41","sakaguchi","16akawana.txt","そのときチヨは十六という若い嫁であった。"
"42","sakaguchi","16akawana.txt",""
"43","sakaguchi","16akawana.txt","幸いに玉之助、信作という二人の孫は母の健康をうけついで無病息災に育つから、喜兵衛も非常に安堵していた。"
"44","sakaguchi","16akawana.txt","と、去年の秋の季節に、大事な二人の孫がまちがえて毒茸を食し、一夜にそろって死んでしまった。"
"45","sakaguchi","16akawana.txt",""
"46","sakaguchi","16akawana.txt","豪放な喜兵衛旦那もさすがに一時は寝食を忘れるほどの悲歎にくれたのである。"
"47","sakaguchi","16akawana.txt","しかし冷静に考えれば希望がなくなったわけではない。"
"48","sakaguchi","16akawana.txt","長命の望みなしと二十で嫁をもたせた清作は案外にも長持ちして、すでに三十であるが、まだ何年かは持ちそうだ。"
"49","sakaguchi","16akawana.txt","現に二人の孫を失うと殆ど同時に、あたかもそれを取りかえすようにチヨは妊娠してくれた。"
"50","sakaguchi","16akawana.txt","死んだ孫の数を取りかえすのも儚い希望ではなかろう。"
"51","sakaguchi","16akawana.txt",""
"52","sakaguchi","16akawana.txt","そこで喜兵衛は心機一転、年が改ると共に自分の誕生日がくるから、ちょうど還暦に当るを幸い、厄払い、縁起直しに思いついたのが生きた葬式である。"
"53","sakaguchi","16akawana.txt","いっぺん死んで、生れ変ろうという彼らしい趣向であった。"
"54","sakaguchi","16akawana.txt",""
"55","sakaguchi","16akawana.txt","いったん心を持ち直せば一時のメソメソしたところはカゲすらも見せない喜兵衛。"
"56","sakaguchi","16akawana.txt","発心の起りはどうあろうと、葬式のダンドリが陽気で、荒っぽくて、賑やかで、勇ましいこと。"
"57","sakaguchi","16akawana.txt","準備は年の暮から、木やり音頭と共に着々すすんでいた。"
"58","sakaguchi","16akawana.txt",""
"59","sakaguchi","16akawana.txt","お隣りのシナでは病人の枕元の一番よく見えるところへ棺桶を飾って病床をなぐさめ、お前さんはこの立派な棺桶におさまるのだから心おきなく死になさいよ、と安心を与えてやる。"
"60","sakaguchi","16akawana.txt","さすがに大陸の風習はノンビリしているが、日本でこんなことをやると、オレの死ぬのを待っていやがるか。"
"61","sakaguchi","16akawana.txt","オノレ恨めしや。"
"62","sakaguchi","16akawana.txt","棺桶を蹴とばしてユーレイになってしまう。"
"63","sakaguchi","16akawana.txt","だから死ぬまでは何食わぬ顔、ただ生命を保つ工夫にこれ努める心底をヒレキしてユーレイ防止に全幅の努力を払わなければならない。"
"64","sakaguchi","16akawana.txt",""
"65","sakaguchi","16akawana.txt","そこで、さア死んだとなると、忙しいな。"
"66","sakaguchi","16akawana.txt","ここにはじめて、にわかに葬式の準備にかかる。"
