"","auth","piece","line"
"0","sakaguchi","18okami_daimyojin.txt","明治開化安吾捕物"
"1","sakaguchi","18okami_daimyojin.txt","その十七狼大明神"
"2","sakaguchi","18okami_daimyojin.txt","坂口安吾"
"3","sakaguchi","18okami_daimyojin.txt",""
"4","sakaguchi","18okami_daimyojin.txt","-------------------------------------------------------"
"5","sakaguchi","18okami_daimyojin.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","18okami_daimyojin.txt",""
"7","sakaguchi","18okami_daimyojin.txt","《》：ルビ"
"8","sakaguchi","18okami_daimyojin.txt","（例）流連"
"9","sakaguchi","18okami_daimyojin.txt",""
"10","sakaguchi","18okami_daimyojin.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","18okami_daimyojin.txt","（例）再々｜強談判"
"12","sakaguchi","18okami_daimyojin.txt",""
"13","sakaguchi","18okami_daimyojin.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","18okami_daimyojin.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","sakaguchi","18okami_daimyojin.txt","（例）※"
"16","sakaguchi","18okami_daimyojin.txt","-------------------------------------------------------"
"17","sakaguchi","18okami_daimyojin.txt",""
"18","sakaguchi","18okami_daimyojin.txt","庭の片隅にオイナリ様があった。"
"19","sakaguchi","18okami_daimyojin.txt","母が信心していたのである。"
"20","sakaguchi","18okami_daimyojin.txt","母が生きていたころは、風雨に拘らず朝夕必ず拝んでいた。"
"21","sakaguchi","18okami_daimyojin.txt","外出して夜更けに帰宅することがあっても、家人への挨拶もそこそこに、オイナリ様を拝んでくるのが例であった。"
"22","sakaguchi","18okami_daimyojin.txt","朝夕の参拝を果さぬうちは、昼と夜の安らぎが得られぬように見えるほど切実な日参だった。"
"23","sakaguchi","18okami_daimyojin.txt","しかし、母以外の者は一人も拝みに行く者がなかった。"
"24","sakaguchi","18okami_daimyojin.txt",""
"25","sakaguchi","18okami_daimyojin.txt","母が病床についてから死に至るまでの一月ほどは、由利子が朝夕代参を命じられた。"
"26","sakaguchi","18okami_daimyojin.txt",""
"27","sakaguchi","18okami_daimyojin.txt","死期をさとると由利子に遺言したが、それは正しく生きよという女大学の教訓と同じようなものであった。"
"28","sakaguchi","18okami_daimyojin.txt","ところが終りに、"
"29","sakaguchi","18okami_daimyojin.txt","「あなたがお嫁に行く日まで、オイナリ様の朝夕の日参は必ずつづけて下さい。"
"30","sakaguchi","18okami_daimyojin.txt","私の今生の願いです」"
"31","sakaguchi","18okami_daimyojin.txt","衰えきった肉体に、怖ろしいほど劇しい祈りがみなぎった。"
"32","sakaguchi","18okami_daimyojin.txt","もしも日参を怠れば、幽霊になって出てきますぞ、とつめよるような凄味がこもっていたのである。"
"33","sakaguchi","18okami_daimyojin.txt",""
"34","sakaguchi","18okami_daimyojin.txt","また、ある日彼女が病室へ近づいた時、"
"35","sakaguchi","18okami_daimyojin.txt","「タタリが怖しいとは思いませんか。"
"36","sakaguchi","18okami_daimyojin.txt","私の死後は、どうぞあなたも拝んで下さい。"
"37","sakaguchi","18okami_daimyojin.txt","一日に一度ずつで結構です」"
"38","sakaguchi","18okami_daimyojin.txt","母のヒステリックな声がきこえた。"
"39","sakaguchi","18okami_daimyojin.txt","由利子が病室へはいってみると、母が話しかけていたのは父であった。"
"40","sakaguchi","18okami_daimyojin.txt","父は何の感動もない顔をして母の枕元に坐っていた。"
"41","sakaguchi","18okami_daimyojin.txt","そして、母の死後、父がオイナリ様を拝んだことはついぞなかった。"
"42","sakaguchi","18okami_daimyojin.txt","由利子も母の思い出が遠のくにしたがって、日参を忘れがちになっていた。"
"43","sakaguchi","18okami_daimyojin.txt",""
"44","sakaguchi","18okami_daimyojin.txt","このオイナリ様は狼イナリと云うのだそうだ。"
"45","sakaguchi","18okami_daimyojin.txt","こう教えてくれたのは番頭の川根八十次であった。"
"46","sakaguchi","18okami_daimyojin.txt","しかし、これを由利子に教えたために、川根は母にひどく怒られた。"
"47","sakaguchi","18okami_daimyojin.txt","狼イナリという本名はこの家のタブーであった。"
"48","sakaguchi","18okami_daimyojin.txt",""
"49","sakaguchi","18okami_daimyojin.txt","「狼イナリって、本家はどこにあるの？埼玉？」"
"50","sakaguchi","18okami_daimyojin.txt","由利子は兄にきいてみた。"
"51","sakaguchi","18okami_daimyojin.txt",""
"52","sakaguchi","18okami_daimyojin.txt","「大方、そうだろう」"
"53","sakaguchi","18okami_daimyojin.txt","兄は興味がなさそうだった。"
"54","sakaguchi","18okami_daimyojin.txt","彼は狼イナリの存在を気にかけていなかった。"
"55","sakaguchi","18okami_daimyojin.txt","彼も父と同じように、何かのタタリなぞは怖くもないし、とるにも足らぬ、という気質なのだ。"
"56","sakaguchi","18okami_daimyojin.txt","生れつきの実利主義者であった。"
"57","sakaguchi","18okami_daimyojin.txt","彼は羽ぶりのよい官員や大臣や大将なぞは子供の時から眼中におかなかった。"
"58","sakaguchi","18okami_daimyojin.txt","地上の総てを動かしうるものは金である。"
"59","sakaguchi","18okami_daimyojin.txt","金だけが万能だ。"
"60","sakaguchi","18okami_daimyojin.txt","それが彼の考えだった。"
"61","sakaguchi","18okami_daimyojin.txt","学問すらも不要なのだ。"
"62","sakaguchi","18okami_daimyojin.txt",""
"63","sakaguchi","18okami_daimyojin.txt","彼は十七の年に自発的に学業をやめた。"
"64","sakaguchi","18okami_daimyojin.txt","そして、京大阪へ呉服商の見習いにでた。"
"65","sakaguchi","18okami_daimyojin.txt","二年間で商法を会得し、父の店で働きはじめた。"
"66","sakaguchi","18okami_daimyojin.txt",""
"67","sakaguchi","18okami_daimyojin.txt","父の店はそれまで秩父と両毛の織物を扱っていたが、兄は京都に主点をおいた。"
"68","sakaguchi","18okami_daimyojin.txt","買いつけも売りこみも、兄が一手でやった。"
"69","sakaguchi","18okami_daimyojin.txt","大量の荷が送りこまれ、それがどんどん捌かれていった。"
"70","sakaguchi","18okami_daimyojin.txt",""
"71","sakaguchi","18okami_daimyojin.txt","兄は自ら小僧たちを雇入れて教育し、指図してめまぐるしく活躍させた。"
"72","sakaguchi","18okami_daimyojin.txt","彼の手で育てられた小僧は、彼が掛けたゼンマイ通りに動きまわる生きた人形のようであった。"
"73","sakaguchi","18okami_daimyojin.txt",""
"74","sakaguchi","18okami_daimyojin.txt","父が出生地からつれてきて秩父や両毛の呉服物の買いつけに働いていた川根はまったく無用の存在となった。"
"75","sakaguchi","18okami_daimyojin.txt","彼のノンビリした商法は兄の機構の中ではむしろ邪魔になる存在だった。"
"76","sakaguchi","18okami_daimyojin.txt","彼は家事向きの番頭となり、店では用のない存在となってしまった。"
"77","sakaguchi","18okami_daimyojin.txt",""
"78","sakaguchi","18okami_daimyojin.txt","父も持ち前の商才にたけてはいたが、田舎育ちのために、性格に反して大事をとり、手堅い商法からハミだす勇気を失っていた。"
"79","sakaguchi","18okami_daimyojin.txt","息子の大胆な商法が、父の持ち前の目をひらいた。"
"80","sakaguchi","18okami_daimyojin.txt","父はにわかに覇気マンマンの豪商気風になり変った。"
"81","sakaguchi","18okami_daimyojin.txt","今度はそれをたしなめるのが息子であった。"
"82","sakaguchi","18okami_daimyojin.txt",""
"83","sakaguchi","18okami_daimyojin.txt","「向う見ずに取引きをひろげたってダメですよ。"
"84","sakaguchi","18okami_daimyojin.txt","ハッキリと計算にもとづいてやるのが商法の鉄則ですよ。"
"85","sakaguchi","18okami_daimyojin.txt","私に相談をかけずに勝手な取引をするのは止して下さい」"
"86","sakaguchi","18okami_daimyojin.txt","久雄は時々強い語気で父をたしなめた。"
"87","sakaguchi","18okami_daimyojin.txt","その久雄はようやく二十三歳だった。"
"88","sakaguchi","18okami_daimyojin.txt","父はグッとこみあげる怒りに身をふるわして叫ぶのが常だった。"
"89","sakaguchi","18okami_daimyojin.txt",""
"90","sakaguchi","18okami_daimyojin.txt","「この蛭川商店を築いた父に向って何を云うか。"
"91","sakaguchi","18okami_daimyojin.txt","若僧のくせに、私に相談をかけずに、とは何事だ」"
"92","sakaguchi","18okami_daimyojin.txt","自尊心を傷けられる父の怒りは心底に深くひろがっていた。"
