"","auth","piece","line"
"0","sakaguchi","20kojiki_danshaku.txt","明治開化安吾捕物"
"1","sakaguchi","20kojiki_danshaku.txt","その十九乞食男爵"
"2","sakaguchi","20kojiki_danshaku.txt","坂口安吾"
"3","sakaguchi","20kojiki_danshaku.txt",""
"4","sakaguchi","20kojiki_danshaku.txt","-------------------------------------------------------"
"5","sakaguchi","20kojiki_danshaku.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","20kojiki_danshaku.txt",""
"7","sakaguchi","20kojiki_danshaku.txt","《》：ルビ"
"8","sakaguchi","20kojiki_danshaku.txt","（例）手練"
"9","sakaguchi","20kojiki_danshaku.txt",""
"10","sakaguchi","20kojiki_danshaku.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","20kojiki_danshaku.txt","（例）女相撲｜抜弁天"
"12","sakaguchi","20kojiki_danshaku.txt",""
"13","sakaguchi","20kojiki_danshaku.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","20kojiki_danshaku.txt","（例）明治開化"
"15","sakaguchi","20kojiki_danshaku.txt",""
"16","sakaguchi","20kojiki_danshaku.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","20kojiki_danshaku.txt","（例）チョイ／＼"
"18","sakaguchi","20kojiki_danshaku.txt","-------------------------------------------------------"
"19","sakaguchi","20kojiki_danshaku.txt",""
"20","sakaguchi","20kojiki_danshaku.txt","この事件をお話しするには、大きな石がなぜ動いたか、ということから語らなければなりません。"
"21","sakaguchi","20kojiki_danshaku.txt",""
"22","sakaguchi","20kojiki_danshaku.txt","終戦後は諸事解禁で、ストリップ、女相撲は御承知のこと、その他善男善女の立ち入らぬところで何が行われているか、何でもあると思うのが一番手ッとり早くて確実らしいというゴサカンな時世でしたが、明治維新後の十年間ほどもちょうど今と同じように諸事解禁でゴサカンな時世でした。"
"23","sakaguchi","20kojiki_danshaku.txt","ソレ突ケヤレ突ケなどというのは上の部で、明治五年には房事の見世物小屋まで堂々公開されたという。"
"24","sakaguchi","20kojiki_danshaku.txt","女の子のイレズミもはやったし、男女混浴という同権思想も肉体の探究もはやり、忙しく文明開化をとりいれて今にもまさる盛時であった。"
"25","sakaguchi","20kojiki_danshaku.txt",""
"26","sakaguchi","20kojiki_danshaku.txt","当時は南蛮渡来のストリップのモデルがなかったせいか、または西洋音楽も楽隊も普及しておらぬせいか、ハダカの西洋踊りは現れなかったが、今のストリップと同じ意味で流行したのが女相撲であった。"
"27","sakaguchi","20kojiki_danshaku.txt","号砲一発の要領でチョッキリ明治元年から各地に興行が起ってみるみる盛大に流行し、明治二十三年に禁止された。"
"28","sakaguchi","20kojiki_danshaku.txt",""
"29","sakaguchi","20kojiki_danshaku.txt","一座が組織立っていたせいか、今でも一番名が残っているのは山形県の斎藤女相撲団であろう。"
"30","sakaguchi","20kojiki_danshaku.txt","斎藤という人は信濃のサムライあがりだが、山形ではじめて女相撲を見て、こいつはイケルと思った。"
"31","sakaguchi","20kojiki_danshaku.txt","そこで自分の女房キンとその妹キワ、モトという三人を女相撲へ弟子入りさせ、やがて自分で一座をつくり、勇駒という草相撲の大関を師匠に四十八手裏表の練習をつませたうえ、全国を興行して人気を集めた。"
"32","sakaguchi","20kojiki_danshaku.txt","この一座の人気力士は遠江灘オタケという五尺二寸四分二十一貫五百の女横綱。"
"33","sakaguchi","20kojiki_danshaku.txt","特に歯力の強さでオタチアイをガクゼンとさせたそうだ。"
"34","sakaguchi","20kojiki_danshaku.txt","二十七貫の土俵を口にくわえ、左右の手に四斗俵を一ツずつぶらさげて土俵上を往来するという特技のせいである。"
"35","sakaguchi","20kojiki_danshaku.txt",""
"36","sakaguchi","20kojiki_danshaku.txt","斎藤一座は女力士の数が多く、粒も技術も揃い、興行の手法に工夫があったから名声を博したが、女の日下開山となると、女相撲｜抜弁天大一座の花嵐にまさる者はない。"
"37","sakaguchi","20kojiki_danshaku.txt","体格も力の強さも比較にならなかった。"
"38","sakaguchi","20kojiki_danshaku.txt",""
"39","sakaguchi","20kojiki_danshaku.txt","当時の女相撲は十五六貫から二十一二貫どまりであるが、女相撲だからデブで腕ッ節の強いのが力まかせに突きとばせば勝つにきまっていると思うのは早計である。"
"40","sakaguchi","20kojiki_danshaku.txt","斎藤一座は特に四十八手の錬磨にはげませたから、例の遠江灘オタケ二十一歳六ヶ月、五尺二寸四分二十一貫五百匁が歯力ならびに腕力抜群でも、実は西の横綱だった。"
"41","sakaguchi","20kojiki_danshaku.txt","東の横綱は富士山オヨシ二十六歳八ヶ月、五尺二寸五分、体重はただの十六貫二百である。"
"42","sakaguchi","20kojiki_danshaku.txt","体格の均斉ととのい、手練の手取り相撲。"
"43","sakaguchi","20kojiki_danshaku.txt","遠江灘オタケの重量も馬鹿力もその技術には歯が立たなかった。"
"44","sakaguchi","20kojiki_danshaku.txt",""
