"","auth","piece","line"
"0","sakaguchi","akirameteiru_kodomotachi.txt","諦めている子供たち"
"1","sakaguchi","akirameteiru_kodomotachi.txt","坂口安吾"
"2","sakaguchi","akirameteiru_kodomotachi.txt",""
"3","sakaguchi","akirameteiru_kodomotachi.txt","-------------------------------------------------------"
"4","sakaguchi","akirameteiru_kodomotachi.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","akirameteiru_kodomotachi.txt",""
"6","sakaguchi","akirameteiru_kodomotachi.txt","《》：ルビ"
"7","sakaguchi","akirameteiru_kodomotachi.txt","（例）信用"
"8","sakaguchi","akirameteiru_kodomotachi.txt",""
"9","sakaguchi","akirameteiru_kodomotachi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","akirameteiru_kodomotachi.txt","（例）『暮しの手帖』昭30・３"
"11","sakaguchi","akirameteiru_kodomotachi.txt","-------------------------------------------------------"
"12","sakaguchi","akirameteiru_kodomotachi.txt",""
"13","sakaguchi","akirameteiru_kodomotachi.txt","雪の晩げに道を歩くと雪ジョロがでるすけオッカネぞとおらとこのオトトもオカカもオラたちに云うてオッカナがらすろも、オラそんげのこと信用しねわい。"
"14","sakaguchi","akirameteiru_kodomotachi.txt","そらろもオレもオッキなってガキどもができると、そんげのこと云うてオッカナがらすかも知れねな。"
"15","sakaguchi","akirameteiru_kodomotachi.txt","人間てがんはショウがねもんだて。"
"16","sakaguchi","akirameteiru_kodomotachi.txt","そらすけオラいまから諦めてるて。"
"17","sakaguchi","akirameteiru_kodomotachi.txt",""
"18","sakaguchi","akirameteiru_kodomotachi.txt","雪の夜道を歩くと雪女郎がでるから怖しいぞとオレのウチの父も母もオレたちに云ってこわがらすが、オレはそんなこと信用していない。"
"19","sakaguchi","akirameteiru_kodomotachi.txt","けれどもオレも大きくなって子供ができると、そんなことを云ってこわがらすかも知れない。"
"20","sakaguchi","akirameteiru_kodomotachi.txt","人間というものは仕様がないものだ。"
"21","sakaguchi","akirameteiru_kodomotachi.txt","それだからオレはいまから諦めてるよ。"
"22","sakaguchi","akirameteiru_kodomotachi.txt",""
