"","auth","piece","line"
"0","sakaguchi","akusai_ron.txt","悪妻論"
"1","sakaguchi","akusai_ron.txt","坂口安吾"
"2","sakaguchi","akusai_ron.txt",""
"3","sakaguchi","akusai_ron.txt","-------------------------------------------------------"
"4","sakaguchi","akusai_ron.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","akusai_ron.txt",""
"6","sakaguchi","akusai_ron.txt","《》：ルビ"
"7","sakaguchi","akusai_ron.txt","（例）平野謙"
"8","sakaguchi","akusai_ron.txt",""
"9","sakaguchi","akusai_ron.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","akusai_ron.txt","（例）多情｜淫奔"
"11","sakaguchi","akusai_ron.txt","-------------------------------------------------------"
"12","sakaguchi","akusai_ron.txt",""
"13","sakaguchi","akusai_ron.txt","悪妻には一般的な型はない。"
"14","sakaguchi","akusai_ron.txt","女房と亭主の個性の相対的なものであるから、わが平野謙の如く（彼は僕らの仲間では大愛妻家という定説だ）先日両手をホータイでまき、日本が木綿不足で困っているなどとは想像もできない物々しいホータイだ。"
"15","sakaguchi","akusai_ron.txt","肉がえぐられる深傷だという無慙な話であるけれども、彼の方が女房の横ッ面をヒッパたいたことすらもないという沈着なる性格、深遠なる心境、まさしく愛猫家や愛妻家の心境というものは凡俗には理解のできないものだ。"
"16","sakaguchi","akusai_ron.txt",""
"17","sakaguchi","akusai_ron.txt","思うに多情｜淫奔な細君は言うまでもなく亭主を困らせる。"
"18","sakaguchi","akusai_ron.txt","困らせられるけれども、困らせられる部分で魅力を感じている亭主の方が多いので、浮気な細君と別れた亭主は、浮気な亭主と別れた女房同様に、概ね別れた人にミレンを残しているものだ。"
"19","sakaguchi","akusai_ron.txt",""
"20","sakaguchi","akusai_ron.txt","ミレンを残すぐらいなら別れなければ良かろうものを、つまり、彼、彼女らは悪妻とか悪亭主という世の一般の通念や型をまもって、個性的な省察を忘れたのだ。"
"21","sakaguchi","akusai_ron.txt","悪妻に一般的な型などあるべきものではなく、否、男女関係のすべてに於て型はない。"
"22","sakaguchi","akusai_ron.txt","個性と個性の相対的な加減乗除があるだけだ。"
"23","sakaguchi","akusai_ron.txt","わが平野謙の如く、戦争をその残酷なる流血の故に呪い憎んでいても、その女房を戦争犯罪人などとは言わず惜しみなくホータイをまいて満足しているから、さすがに文学者、沈着深遠、深く物の実体を究め、かりそめにも世の型の如きもので省察をにぶらせることがない。"
"24","sakaguchi","akusai_ron.txt","偉大！かくあるべし。"
"25","sakaguchi","akusai_ron.txt",""
"26","sakaguchi","akusai_ron.txt","然し、日本の亭主は不幸であった。"
"27","sakaguchi","akusai_ron.txt","なぜなら、日本の女は愛妻となる教育を受けないから。"
"28","sakaguchi","akusai_ron.txt","彼女らは、姑に仕え、子を育て、主として、男の親に孝に、わが子に忠に、亭主そのものへの愛情に就てはハレモノにさわるように遠慮深く教育訓練されている。"
"29","sakaguchi","akusai_ron.txt","日本の女を女房に、パリジャンヌを妾に、という世界的な説がある由、然し、悲しい日本の女よ、彼女らは世界一の女房であっても、まさしく男がパリジャンヌを必要とする女房だ。"
"30","sakaguchi","akusai_ron.txt","日本人の蓄妾癖は野蛮人の証拠だなどとはマッカな偽り、日本の女房の型、女大学の猛訓練は要するに亭主をして女房に満足させず、妾をつくらずにいられなくなる性格を与えるためにシシとして勉強しているようなものだ。"
"31","sakaguchi","akusai_ron.txt",""
"32","sakaguchi","akusai_ron.txt","武家政治このかた、日本には恋愛というものが封じられ、恋愛は不義で、若気のアヤマチなどと云って、恋愛の心情に対する省察も、若気のアヤマチ以上に深入りして個別的に考えられたこともない。"
"33","sakaguchi","akusai_ron.txt","恋愛に対する訓練がミジンもないから、お手々をつないで街を歩くこともできず、それでいきなり夫婦、同衾とくるから、男女関係は同衾だけで、まるでもう動物の訓練を受けているようなもの、日本の女房は、わびしい。"
"34","sakaguchi","akusai_ron.txt","暗い。"
"35","sakaguchi","akusai_ron.txt","悲しい。"
"36","sakaguchi","akusai_ron.txt",""
"37","sakaguchi","akusai_ron.txt","女大学の訓練を受けたモハンの女房が良妻であるか、そして、左様な良妻に対比して、日本的な悪妻の型や見本があるなら、私はむしろ悪妻の型の方を良妻｜也と断ずる。"
"38","sakaguchi","akusai_ron.txt",""
"39","sakaguchi","akusai_ron.txt","センタクしたり、掃除をしたり、着物をぬったり、飯を炊いたり、労働こそ神聖也とアッパレ丈夫の心掛け。"
"40","sakaguchi","akusai_ron.txt","けれども、遊ぶことの好きな女は、魅力があるにきまってる。"
"41","sakaguchi","akusai_ron.txt","多情淫奔ではいささか迷惑するけれども、迷惑、不安、懊悩、大いに苦しめられても、それでも良妻よりはいい。"
"42","sakaguchi","akusai_ron.txt",""
"43","sakaguchi","akusai_ron.txt","人はなんでも平和を愛せばいいと思うなら大間違い、平和、平静、平安、私は然し、そんなものは好きではない。"
"44","sakaguchi","akusai_ron.txt","不安、苦しみ、悲しみ、そういうものの方が私は好きだ。"
"45","sakaguchi","akusai_ron.txt",""
"46","sakaguchi","akusai_ron.txt","私は逆説を弄しているわけではない。"
"47","sakaguchi","akusai_ron.txt","人生の不幸、悲しみ、苦しみというものは厭悪、厭離すべきものときめこんで疑ることも知らぬ魂の方が不可解だ。"
