"","auth","piece","line"
"0","sakaguchi","akusairon.txt","悪妻論"
"1","sakaguchi","akusairon.txt","坂口安吾"
"2","sakaguchi","akusairon.txt",""
"3","sakaguchi","akusairon.txt","-------------------------------------------------------"
"4","sakaguchi","akusairon.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","akusairon.txt",""
"6","sakaguchi","akusairon.txt","《》：ルビ"
"7","sakaguchi","akusairon.txt","（例）仰有る"
"8","sakaguchi","akusairon.txt",""
"9","sakaguchi","akusairon.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","akusairon.txt","（例）メデタシ／＼"
"11","sakaguchi","akusairon.txt","-------------------------------------------------------"
"12","sakaguchi","akusairon.txt",""
"13","sakaguchi","akusairon.txt","悪妻には一般的な型はない。"
"14","sakaguchi","akusairon.txt","女房と亭主の個性の相対的なものであるから、わが平野謙の如く（彼は僕らの仲間では大愛妻家といふ定説だ）先日両手をホータイでまき、日本が木綿不足で困つてゐるなどゝは想像もできない物々しいホータイだ。"
"15","sakaguchi","akusairon.txt","肉がゑぐられる深傷だといふ無慙な話であるけれども、彼の方が女房の横ッ面をヒッパたいたことすらもないといふ沈着なる性格、深遠なる心境、まさしく愛猫家や愛妻家の心境といふものは凡俗には理解のできないものだ。"
"16","sakaguchi","akusairon.txt",""
"17","sakaguchi","akusairon.txt","思ふに多情淫奔な細君は言ふまでもなく亭主を困らせる。"
"18","sakaguchi","akusairon.txt","困らせられるけれども、困らせられる部分で魅力を感じてゐる亭主の方が多いので、浮気な細君と別れた亭主は、浮気な亭主と別れた女房同様に、概ね別れた人にミレンを残してゐるものだ。"
"19","sakaguchi","akusairon.txt",""
"20","sakaguchi","akusairon.txt","ミレンを残すぐらゐなら別れなければ良からうものを、つまり、彼、彼女らは悪妻とか悪亭主といふ世の一般の通念や型をまもつて、個性的な省察を忘れたのだ。"
"21","sakaguchi","akusairon.txt","悪妻に一般的な型などあるべきものではなく、否、男女関係のすべてに於て型はない。"
"22","sakaguchi","akusairon.txt","個性と個性の相対的な加減乗除があるだけだ。"
"23","sakaguchi","akusairon.txt","わが平野謙の如く、戦争をその残酷なる流血の故に呪ひ憎んでゐても、その女房を戦争犯罪人などゝは言はず惜しみなくホータイをまいて満足してゐるから、さすがに文学者、沈着深遠、深く物の実体を究め、かりそめにも世の型の如きもので省察をにぶらせることがない。"
"24","sakaguchi","akusairon.txt","偉大！かくあるべし。"
"25","sakaguchi","akusairon.txt",""
"26","sakaguchi","akusairon.txt","然し、日本の亭主は不幸であつた。"
"27","sakaguchi","akusairon.txt","なぜなら、日本の女は愛妻となる教育を受けないから。"
"28","sakaguchi","akusairon.txt","彼女らは、姑に仕へ、子を育て、主として、男の親に孝に、わが子に忠に、亭主そのものへの愛情に就てはハレモノにさはるやうに遠慮深く教育訓練されてゐる。"
"29","sakaguchi","akusairon.txt","日本の女を女房に、パリジャンヌを妾に、といふ世界的な説がある由、然し、悲しい日本の女よ、彼女らは世界一の女房であつても、まさしく男がパリジャンヌを必要とする女房だ。"
"30","sakaguchi","akusairon.txt","日本人の蓄妾癖は野蛮人の証拠だなどゝはマッカな偽り、日本の女房の型、女大学の猛訓練は要するに亭主をして女房に満足させず、妾をつくらずにゐられなくなる性格を与へるためにシシとして勉強してゐるやうなものだ。"
"31","sakaguchi","akusairon.txt",""
"32","sakaguchi","akusairon.txt","武家政治このかた、日本には恋愛といふものが封じられ、恋愛は不義で、若気のアヤマチなどゝ云つて、恋愛の心情に対する省察も、若気のアヤマチ以上に深入りして個別的に考へられたこともない。"
"33","sakaguchi","akusairon.txt","恋愛に対する訓練がミヂンもないから、お手々をつないで街を歩くこともできず、それでいきなり夫婦、同衾とくるから、男女関係は同衾だけで、まるでもう動物の訓練を受けてゐるやうなもの、日本の女房は、わびしい。"
"34","sakaguchi","akusairon.txt","暗い。"
"35","sakaguchi","akusairon.txt","悲しい。"
"36","sakaguchi","akusairon.txt",""
"37","sakaguchi","akusairon.txt","女大学の訓練を受けたモハンの女房が良妻であるか、そして、左様な良妻に対比して、日本的な悪妻の型や見本があるなら、私はむしろ悪妻の型の方を良妻也と断ずる。"
"38","sakaguchi","akusairon.txt",""
"39","sakaguchi","akusairon.txt","センタクしたり、掃除をしたり、着物をぬつたり、飯を炊いたり、労働こそ神聖也とアッパレ丈夫の心掛け。"
"40","sakaguchi","akusairon.txt","けれども、遊ぶことの好きな女は、魅力があるにきまつてる。"
"41","sakaguchi","akusairon.txt","多情淫奔ではいさゝか迷惑するけれども、迷惑、不安、懊悩、大いに苦しめられても、それでも良妻よりはいゝ。"
"42","sakaguchi","akusairon.txt",""
"43","sakaguchi","akusairon.txt","人はなんでも平和を愛せばいゝと思ふなら大間違ひ、平和、平静、平安、私は然し、そんなものは好きではない。"
"44","sakaguchi","akusairon.txt","不安、苦しみ、悲しみ、さういふものゝ方が私は好きだ。"
"45","sakaguchi","akusairon.txt",""
"46","sakaguchi","akusairon.txt","私は逆説を弄してゐるわけではない。"
"47","sakaguchi","akusairon.txt","人生の不幸、悲しみ、苦しみといふものは厭悪、厭離すべきものときめこんで疑ることも知らぬ魂の方が不可解だ。"
"48","sakaguchi","akusairon.txt","悲しみ、苦しみは人生の花だ。"
