"","auth","piece","line"
"0","sakaguchi","ango_mushashugyo.txt","安吾武者修業"
"1","sakaguchi","ango_mushashugyo.txt","馬庭念流訪問記"
"2","sakaguchi","ango_mushashugyo.txt","坂口安吾"
"3","sakaguchi","ango_mushashugyo.txt",""
"4","sakaguchi","ango_mushashugyo.txt","-------------------------------------------------------"
"5","sakaguchi","ango_mushashugyo.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","ango_mushashugyo.txt",""
"7","sakaguchi","ango_mushashugyo.txt","《》：ルビ"
"8","sakaguchi","ango_mushashugyo.txt","（例）塙団右衛門"
"9","sakaguchi","ango_mushashugyo.txt",""
"10","sakaguchi","ango_mushashugyo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","ango_mushashugyo.txt","（例）群馬県｜多野郡"
"12","sakaguchi","ango_mushashugyo.txt","-------------------------------------------------------"
"13","sakaguchi","ango_mushashugyo.txt",""
"14","sakaguchi","ango_mushashugyo.txt","立川文庫の夢の村"
"15","sakaguchi","ango_mushashugyo.txt",""
"16","sakaguchi","ango_mushashugyo.txt","私たちの少年時代には誰しも一度は立川文庫というものに読みふけったものである。"
"17","sakaguchi","ango_mushashugyo.txt","立川文庫の主人公は猿飛佐助、百地三太夫、霧隠才蔵、後藤又兵衛、塙団右衛門、荒川熊蔵などという忍術使いや豪傑から、上泉伊勢守、塚原卜伝、柳生十兵衛、荒木又右衛門などの剣客等、すべて痛快な読み物である。"
"18","sakaguchi","ango_mushashugyo.txt","子供たちはそれぞれヒイキがあった。"
"19","sakaguchi","ango_mushashugyo.txt","私は猿飛佐助が一番好きであったが、剣術使いの方では主人公ではなしに馬庭念流という流派にあこがれていたのである。"
"20","sakaguchi","ango_mushashugyo.txt",""
"21","sakaguchi","ango_mushashugyo.txt","立川文庫の馬庭念流は樋口十郎左衛門が主人公である。"
"22","sakaguchi","ango_mushashugyo.txt","けれども、この主人公の物語よりも、他の剣術使いの物語の中に現れてくる馬庭念流の扱われ方のほうが甚だ独特で面白いのである。"
"23","sakaguchi","ango_mushashugyo.txt",""
"24","sakaguchi","ango_mushashugyo.txt","剣の諸流派の中で、馬庭念流だけが一ツ別格に扱われている。"
"25","sakaguchi","ango_mushashugyo.txt","馬庭という片田舎の小村に代々その土地の農民によって伝えられてきた風変りな剣術がある。"
"26","sakaguchi","ango_mushashugyo.txt","その村では村民全部が剣術を使う。"
"27","sakaguchi","ango_mushashugyo.txt","むろん村民は百姓でふだんは野良を耕していることに変りはないが、かたわら生れ落ちると剣を握って念流を習っているから、それぞれ使い手なのである。"
"28","sakaguchi","ango_mushashugyo.txt",""
"29","sakaguchi","ango_mushashugyo.txt","諸国の腕自慢の輩が武者修業の途中にちょッと百姓剣法をひやかしてやろうというので馬庭村へやってくる。"
"30","sakaguchi","ango_mushashugyo.txt","野良の百姓に村の道場はどこだと尋ねて、この村の先生はクワの握り方と剣の握り方の区別ぐらいは心得ているだろうな、なぞと悪態をついて百姓をからかう。"
"31","sakaguchi","ango_mushashugyo.txt","すると百姓がやおら野良から上ってきて棒きれを探して振りしめて、"
"32","sakaguchi","ango_mushashugyo.txt","「お前さんぐらいならオレでも間に合うべい。"
"33","sakaguchi","ango_mushashugyo.txt","打ちこんできなさい」"
"34","sakaguchi","ango_mushashugyo.txt","というような挨拶をのべる。"
"35","sakaguchi","ango_mushashugyo.txt","何をコシャクなと武者修業が打ってかかるとアベコベに打ちのめされて肥ダメへ墜落するようなウキメを見てしまうのである。"
"36","sakaguchi","ango_mushashugyo.txt",""
"37","sakaguchi","ango_mushashugyo.txt","立川文庫の場合に於ては、一般に風変りなもの、たとえばクサリ鎌や小太刀や宝蔵院の槍など、別格視されるとともに、異端視され、時には敵役に廻されたり負け役に廻されたり、あまりよい扱いを受けないのが普通で、子供たちの多くもクサリ鎌使いなぞは好まないのが普通であるし、また好まなくなるのが当り前の取り扱いを受けてもいるのである。"
"38","sakaguchi","ango_mushashugyo.txt","ところが馬庭念流はそうではない。"
"39","sakaguchi","ango_mushashugyo.txt","甚しく別格に扱われているけれども、常にひそかな親愛をもって扱われているようで、いわば万人がそのふるさとの山河に寄せる愛情のようなものが常にこの流派にからんで感じられるような気がするのである。"
"40","sakaguchi","ango_mushashugyo.txt","馬庭念流を使う敵役なぞは出てこない。"
"41","sakaguchi","ango_mushashugyo.txt","それを使うのは善良温和な百姓なのだ。"
"42","sakaguchi","ango_mushashugyo.txt","頭ぬけた使い手には扱われていなくとも、どんな剣の名人もこの村で道場破りはできないのだ。"
"43","sakaguchi","ango_mushashugyo.txt",""
"44","sakaguchi","ango_mushashugyo.txt","村の農民によってまもられ伝えられてきた剣法。"
"45","sakaguchi","ango_mushashugyo.txt","日本の講談の中で異彩を放っているばかりでなく、牧歌的な詩趣あふれ、殺伐な豪傑の中でユーモラスな存在ですらある。"
"46","sakaguchi","ango_mushashugyo.txt",""
"47","sakaguchi","ango_mushashugyo.txt","私は馬庭という里は架空の地名ではなくとも、百姓剣法馬庭念流はいわば講談作者のノスタルジイの一ツで、立川文庫の夢の村にすぎないのだと思っていた。"
"48","sakaguchi","ango_mushashugyo.txt","まさに少年時代の私にとっても愛すべく、また、なつかしい夢の村であった。"
"49","sakaguchi","ango_mushashugyo.txt","そして、夢の中でしか在りえない村だと思っていたのだ。"
"50","sakaguchi","ango_mushashugyo.txt",""
"51","sakaguchi","ango_mushashugyo.txt","たまたま私は一昨年から上州（群馬県）桐生に住むようになり、郷土史を読むうちに、馬庭が実在の地名であるばかりでなく、馬庭念流が今も尚レンメンと伝えられ、家元樋口家も、その道場も、そして剣を使う農民たちも、昔と同じように今もそうであることを知って茫然としたのである。"
"52","sakaguchi","ango_mushashugyo.txt",""
"53","sakaguchi","ango_mushashugyo.txt","今の呼び方では群馬県｜多野郡入野村字馬庭。"
"54","sakaguchi","ango_mushashugyo.txt","字である。"
"55","sakaguchi","ango_mushashugyo.txt","戸数は二百戸ほど。"
"56","sakaguchi","ango_mushashugyo.txt","高崎から上信電鉄でちょッとのところである。"
"57","sakaguchi","ango_mushashugyo.txt",""
"58","sakaguchi","ango_mushashugyo.txt","上州には今から千何百年前の石碑が三ツある。"
"59","sakaguchi","ango_mushashugyo.txt","多胡碑、山上碑、金井沢碑と云って、いずれも歴史上重要なものであり、私にとっては一見の必要あるものであったが、呆れたことにはこの三碑がまるで馬庭をとりまくように散在していた。"
"60","sakaguchi","ango_mushashugyo.txt","多胡碑の里から火事がでて馬庭へ飛び火したこともあるそうだ。"
"61","sakaguchi","ango_mushashugyo.txt","馬庭の旧家｜高麗さんは頭をかいて、"
"62","sakaguchi","ango_mushashugyo.txt","「隣り村の火事と安心して見物にでかけた留守に私の家の屋根が燃えはじめていました。"
"63","sakaguchi","ango_mushashugyo.txt","上州のカラッ風は油断ができません」"
"64","sakaguchi","ango_mushashugyo.txt","そして、こう教えてくれた。"
"65","sakaguchi","ango_mushashugyo.txt",""
"66","sakaguchi","ango_mushashugyo.txt","「私の父も念流の目録まで受けた人ですが、私は剣は使いません。"
"67","sakaguchi","ango_mushashugyo.txt","馬庭で一番古いのが私の家で、その次に樋口家が移住して、ごらんのように隣り合って家をたて村をひらいたのだそうですが、そんなわけで私の家だけは無理に剣を習わなくてもよいのだと父が言っていました。"
"68","sakaguchi","ango_mushashugyo.txt","他の家は必ず剣を習わなければならない定めになっていたのです。"
"69","sakaguchi","ango_mushashugyo.txt","戦前まではそうでした」"
"70","sakaguchi","ango_mushashugyo.txt","一村すべて剣を使うということも架空の話ではなかったのである。"
"71","sakaguchi","ango_mushashugyo.txt","樋口家の馬庭移住は天正のころ、織田信長のころだ。"
"72","sakaguchi","ango_mushashugyo.txt","今から三百七八十年前である。"
"73","sakaguchi","ango_mushashugyo.txt","したがって附近の三碑ほど大昔からひらかれた里ではなかった。"
"74","sakaguchi","ango_mushashugyo.txt","しかし、樋口家が土着した瞬間から、この里は剣の里であった。"
"75","sakaguchi","ango_mushashugyo.txt","野良を耕す人々の剣を使う里。"
"76","sakaguchi","ango_mushashugyo.txt","そして今もそうだ。"
"77","sakaguchi","ango_mushashugyo.txt","立川文庫の夢の里は昔そのままの姿で実在していたのである。"
"78","sakaguchi","ango_mushashugyo.txt",""
"79","sakaguchi","ango_mushashugyo.txt",""
"80","sakaguchi","ango_mushashugyo.txt","名人又七郎"
"81","sakaguchi","ango_mushashugyo.txt",""
"82","sakaguchi","ango_mushashugyo.txt","例年の一月十七日が樋口道場の鏡開きで、門弟すべて参集し、また客を招いて型を披露するという。"
"83","sakaguchi","ango_mushashugyo.txt","つまり寒稽古の始まる日だ。"
"84","sakaguchi","ango_mushashugyo.txt","その終るのが三月十七日で、まる二ヵ月の長い寒稽古だが、昔からの定めだという。"
"85","sakaguchi","ango_mushashugyo.txt","要するに農閑期でもある。"
"86","sakaguchi","ango_mushashugyo.txt","そして重だつ門弟はとにかくとして、一般の里人が剣を習うのはこの期間なのである。"
"87","sakaguchi","ango_mushashugyo.txt",""
"88","sakaguchi","ango_mushashugyo.txt","関東平野の一端が山にかかろうとするところ。"
"89","sakaguchi","ango_mushashugyo.txt","倉賀野から下仁田をへて信州の八ヶ岳山麓へ通じる非常に古い街道。"
"90","sakaguchi","ango_mushashugyo.txt","この街道筋には上州の一ノ宮や大きな古墳なぞが散在して、いかにも太古からの道という感が深い。"
"91","sakaguchi","ango_mushashugyo.txt",""
"92","sakaguchi","ango_mushashugyo.txt","この街道をちょッと行って、小さな丘の陰、こんなところに道があったかと思うようなところで街道をそれる。"
"93","sakaguchi","ango_mushashugyo.txt","するとキレイな川が流れていて、その川の向う側が馬庭なのだ。"
"94","sakaguchi","ango_mushashugyo.txt","竹ヤブが多い。"
"95","sakaguchi","ango_mushashugyo.txt",""
"96","sakaguchi","ango_mushashugyo.txt","道場の門をくぐると村の子供たちが群れている。"
"97","sakaguchi","ango_mushashugyo.txt","そして門内にアメ屋、フーセン屋、オデン屋、本屋、オモチャ屋など七ツ八ツの露店が繁昌しているのである。"
"98","sakaguchi","ango_mushashugyo.txt","全然村のお祭りである。"
"99","sakaguchi","ango_mushashugyo.txt","道場びらきなぞという厳めしさとは全く縁のない村祭りの風景であった。"
"100","sakaguchi","ango_mushashugyo.txt","それも門前でなしに門内に店が並んでいるのだから、田舎の子供の園遊会のようなものだ。"
"101","sakaguchi","ango_mushashugyo.txt","道場がせまいので、庭で武技を行うのである。"
"102","sakaguchi","ango_mushashugyo.txt",""
"103","sakaguchi","ango_mushashugyo.txt","念流の伝授以来二十四代もうちつづいて、里人すべてを門弟にしている旧家だから、大家族、大教祖の大邸宅を想像するのは当然だが、立派なのは道場だけで、実に質素なただの百姓屋である。"
"104","sakaguchi","ango_mushashugyo.txt","ただの中百姓屋だ。"
"105","sakaguchi","ango_mushashugyo.txt",""
