"","auth","piece","line"
"0","sakaguchi","atarashiki_bungaku.txt","新らしき文学"
"1","sakaguchi","atarashiki_bungaku.txt","坂口安吾"
"2","sakaguchi","atarashiki_bungaku.txt",""
"3","sakaguchi","atarashiki_bungaku.txt","-------------------------------------------------------"
"4","sakaguchi","atarashiki_bungaku.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","atarashiki_bungaku.txt",""
"6","sakaguchi","atarashiki_bungaku.txt","《》：ルビ"
"7","sakaguchi","atarashiki_bungaku.txt","（例）過らしめた"
"8","sakaguchi","atarashiki_bungaku.txt",""
"9","sakaguchi","atarashiki_bungaku.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","atarashiki_bungaku.txt","（例）"
"11","sakaguchi","atarashiki_bungaku.txt","-------------------------------------------------------"
"12","sakaguchi","atarashiki_bungaku.txt",""
"13","sakaguchi","atarashiki_bungaku.txt","（一）その本質に就て"
"14","sakaguchi","atarashiki_bungaku.txt",""
"15","sakaguchi","atarashiki_bungaku.txt","近年、新興芸術の名に於て幾多の文芸運動が試みられてきたが、徒らに皮相の新奇を追ふほかに為すところを知らなかつた。"
"16","sakaguchi","atarashiki_bungaku.txt","従来幾多の此の如き新（？）文学運動の完全な失敗は、「新らしさ」を誤らしめ、同時に文学を過らしめた。"
"17","sakaguchi","atarashiki_bungaku.txt",""
"18","sakaguchi","atarashiki_bungaku.txt","私の考へによれば、芸術は反撥精神のあらはれであり、時代創造的な激しい意志によつて為さるべきものであると思はれるに拘らず、最近日本文学の新しい傾向は、老人の趣味に一致することを最も純粋と見做し、最も無気力な、自慰的な人間探究に過つた亢奮を感じてゐる。"
"19","sakaguchi","atarashiki_bungaku.txt","不動のもの、永遠のものは已に亡びてゐる。"
"20","sakaguchi","atarashiki_bungaku.txt","われわれは変化の中に、発展の一過程の中に、反撥から創造へ向ふ人間を探究し創りつづけてゆかなければならない。"
"21","sakaguchi","atarashiki_bungaku.txt",""
"22","sakaguchi","atarashiki_bungaku.txt","然し、日本文壇の此の過つた新傾向は、実は常規を逸した従来幾多の新芸術運動の浅薄きはまる新らしさが、人に新らしさの本質を疑はしめた罪による。"
"23","sakaguchi","atarashiki_bungaku.txt",""
"24","sakaguchi","atarashiki_bungaku.txt","昔アリストテレス以前には、人々は虹に三色のみを識別した。"
"25","sakaguchi","atarashiki_bungaku.txt","更に昔は人々は色感に於て赤と黄の二色を識別し得たにすぎない。"
"26","sakaguchi","atarashiki_bungaku.txt","リグ・ベエダの時代には赤と黒は殆ど識別されてをらず、サンスクリットの全時代に於て緑は完全に発見されてをらぬ。"
"27","sakaguchi","atarashiki_bungaku.txt","（Hugo Magnus. Sens des Couleurs）我々以後の時代に於て、さらに多くの分類が色彩に就てなされることは予想に難くない。"
"28","sakaguchi","atarashiki_bungaku.txt","これは単に感覚に於ける新らしさの一例にすぎない。"
"29","sakaguchi","atarashiki_bungaku.txt",""
"30","sakaguchi","atarashiki_bungaku.txt","人物の僅かな身振りによつて、何らの説明なしに複雑な感情を判断させやうとする文学上の一技術は、恐らく映画以前には存在せず、映画以前の老人には理解できまい。"
"31","sakaguchi","atarashiki_bungaku.txt",""
"32","sakaguchi","atarashiki_bungaku.txt","然し、上述の如き新らしさは尚末節にすぎない。"
"33","sakaguchi","atarashiki_bungaku.txt","そして我々の文学は此の程度の愚劣な末梢的新らしさによつて毒されすぎた。"
"34","sakaguchi","atarashiki_bungaku.txt",""
"35","sakaguchi","atarashiki_bungaku.txt","文学に形式を提出することは末梢である。"
"36","sakaguchi","atarashiki_bungaku.txt","言葉や形式の新様式はそれも新らしさには違ひないが、本質的なものではない。"
"37","sakaguchi","atarashiki_bungaku.txt","小説家の観念は直接言葉の形に於て形成し、画家の観念は色彩の組合せに、音楽家の観念は音の組合せに於て形成する。"
"38","sakaguchi","atarashiki_bungaku.txt","小説家の観念は言葉の形に於てのみ結晶するが、問題はあくまで「観念」であつて、言葉そのものではない。"
