"","auth","piece","line"
"0","sakaguchi","atarashiki_seikaku_kanjo.txt","新らしき性格感情"
"1","sakaguchi","atarashiki_seikaku_kanjo.txt","坂口安吾"
"2","sakaguchi","atarashiki_seikaku_kanjo.txt",""
"3","sakaguchi","atarashiki_seikaku_kanjo.txt","-------------------------------------------------------"
"4","sakaguchi","atarashiki_seikaku_kanjo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","atarashiki_seikaku_kanjo.txt",""
"6","sakaguchi","atarashiki_seikaku_kanjo.txt","《》：ルビ"
"7","sakaguchi","atarashiki_seikaku_kanjo.txt","（例）社会感情"
"8","sakaguchi","atarashiki_seikaku_kanjo.txt","-------------------------------------------------------"
"9","sakaguchi","atarashiki_seikaku_kanjo.txt",""
"10","sakaguchi","atarashiki_seikaku_kanjo.txt","最近私は、Ｎ・Ｒ・Ｆの新年号に於て、イリヤ・エレンブルグが「青年期ロシヤ」といふ一種の報告書を寄せてゐるのを読んだ。"
"11","sakaguchi","atarashiki_seikaku_kanjo.txt","Ｕ・Ｒ・Ｓ・Ｓも生誕十五年をむかへてゐる。"
"12","sakaguchi","atarashiki_seikaku_kanjo.txt","あそこでは、学生達は学ぶことの報酬として給料を貰ひ、その給料で老いたる両親を扶養することも出来るらしい。"
"13","sakaguchi","atarashiki_seikaku_kanjo.txt","こんなに我々とかけ違つた方法で成人した若いロシヤの青年達は、彼等の性格に於て、心理に於て、まるで変つた人間が育ちはぢめてゐるのではないか？エレンブルグは新らしい性格と感情をロシヤから探りだすために、若い学生達との問答録と彼等の手紙、日記等を此の報告書の中へ提出してゐる。"
"14","sakaguchi","atarashiki_seikaku_kanjo.txt","私は興味をもつて読んだ。"
"15","sakaguchi","atarashiki_seikaku_kanjo.txt",""
"16","sakaguchi","atarashiki_seikaku_kanjo.txt","生憎、報告書の内容は私を失望させた。"
"17","sakaguchi","atarashiki_seikaku_kanjo.txt","彼等の性格も心理も、まだ我等のまゝである。"
"18","sakaguchi","atarashiki_seikaku_kanjo.txt","空疎な概念として心理の変化を主張してゐても、まだ身についてゐない。"
"19","sakaguchi","atarashiki_seikaku_kanjo.txt","中には、嫉妬や愛情は、如何なる制度の変化の中でも、消滅したり変つたりすることはあるまいと述べてゐる学生達も多かつた。"
"20","sakaguchi","atarashiki_seikaku_kanjo.txt",""
"21","sakaguchi","atarashiki_seikaku_kanjo.txt","しかし生誕十五年のロシヤでは急速に変化を断定することはできぬ。"
"22","sakaguchi","atarashiki_seikaku_kanjo.txt","環境の力は必ず人を変化させる。"
"23","sakaguchi","atarashiki_seikaku_kanjo.txt","やがてロシヤの人々は変化しよう。"
"24","sakaguchi","atarashiki_seikaku_kanjo.txt","だが、その程度が問題である。"
"25","sakaguchi","atarashiki_seikaku_kanjo.txt",""
"26","sakaguchi","atarashiki_seikaku_kanjo.txt","極めて急進的な、人間の完全なる変化を力説する一学生は述べてゐる。"
"27","sakaguchi","atarashiki_seikaku_kanjo.txt","人間には社会感情と動物感情とがあるが、ソビエットに於ては、動物感情は次第に消滅して、人は全て社会感情によつて行動するに至るだらうと。"
"28","sakaguchi","atarashiki_seikaku_kanjo.txt",""
"29","sakaguchi","atarashiki_seikaku_kanjo.txt","社会感情とは恐らく理性を言ふものらしい。"
"30","sakaguchi","atarashiki_seikaku_kanjo.txt","そして動物感情とは、嫉妬や愛情などの超理性的な感情を言ふのである。"
"31","sakaguchi","atarashiki_seikaku_kanjo.txt",""
"32","sakaguchi","atarashiki_seikaku_kanjo.txt","私は軽卒に否定することも差控えるが、さりとて軽卒に賛同することもなりがたい。"
"33","sakaguchi","atarashiki_seikaku_kanjo.txt","人を美醜によつて判断せずに、才能によつて判断するといふことは、所詮同じことではないか。"
"34","sakaguchi","atarashiki_seikaku_kanjo.txt","標準が美醜から才能へ変つたところで、五十歩百歩のことである。"
"35","sakaguchi","atarashiki_seikaku_kanjo.txt","そこから動物感情の消滅する理由は見出しがたい。"
"36","sakaguchi","atarashiki_seikaku_kanjo.txt","同時に動物感情の消滅が人生を豊富にするかどうかを、私は今判じがたい。"
