"","auth","piece","line"
"0","sakaguchi","awarena_tonmasensei.txt","哀れなトンマ先生"
"1","sakaguchi","awarena_tonmasensei.txt","坂口安吾"
"2","sakaguchi","awarena_tonmasensei.txt",""
"3","sakaguchi","awarena_tonmasensei.txt","-------------------------------------------------------"
"4","sakaguchi","awarena_tonmasensei.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","awarena_tonmasensei.txt",""
"6","sakaguchi","awarena_tonmasensei.txt","《》：ルビ"
"7","sakaguchi","awarena_tonmasensei.txt","（例）荏原"
"8","sakaguchi","awarena_tonmasensei.txt",""
"9","sakaguchi","awarena_tonmasensei.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","awarena_tonmasensei.txt","（例）チョイ／＼／＼"
"11","sakaguchi","awarena_tonmasensei.txt","-------------------------------------------------------"
"12","sakaguchi","awarena_tonmasensei.txt",""
"13","sakaguchi","awarena_tonmasensei.txt","「漫画」という変な雑誌へオツキアイするせいではありませんが、私は、どうも、ブンナグラレルかも知れませんが、帝銀事件というものを、事の始めから、それほど凄味のある出来事だと思っていませんでした。"
"14","sakaguchi","awarena_tonmasensei.txt",""
"15","sakaguchi","awarena_tonmasensei.txt","私が、ヒドイ奴だと思ったのは小平という先生で、この先生はイヤだった。"
"16","sakaguchi","awarena_tonmasensei.txt","どうにも、むごたらしくて、救いがない。"
"17","sakaguchi","awarena_tonmasensei.txt","まるで、それがオキマリのように、必ず女の子をヒネリ殺して、この先生は人間らしい苦しみは殆どもたなかったに違いない。"
"18","sakaguchi","awarena_tonmasensei.txt","これは、やりきれないことです。"
"19","sakaguchi","awarena_tonmasensei.txt",""
"20","sakaguchi","awarena_tonmasensei.txt","そこへ行くと、帝銀先生は、てんで、トンマな、オロカ者なんでしょう。"
"21","sakaguchi","awarena_tonmasensei.txt","事件の性格がそうなんですね。"
"22","sakaguchi","awarena_tonmasensei.txt","荏原の銀行では、マンマと薬品をのまされたけれども、薬のキキメが現れない。"
"23","sakaguchi","awarena_tonmasensei.txt","そこで支店長と三十分ほど世間話をしていたそうですね。"
"24","sakaguchi","awarena_tonmasensei.txt","中井の銀行では、疑って薬をのんでくれないから、これも三十分ほど、支店長と世間話をして、マア、チョット、消毒だけしときましょうと、小切手だかに、チョイ／＼／＼とフンム器みたいなもので消毒したんだそうですね。"
"25","sakaguchi","awarena_tonmasensei.txt",""
"26","sakaguchi","awarena_tonmasensei.txt","ツラツラ失敗のあとを尋ぬるに敵を信用せしめるレッキとしたマーク入りの腕章がなかった。"
"27","sakaguchi","awarena_tonmasensei.txt","又、附近にホンモノの病人がいて、その病人の住所姓名を心得ていないとダメなんだ。"
"28","sakaguchi","awarena_tonmasensei.txt","これを先生、さとったんですね。"
"29","sakaguchi","awarena_tonmasensei.txt","そこで、ついに椎名町で、成功致された。"
"30","sakaguchi","awarena_tonmasensei.txt","成功致されたけれど、まったく、偶然の成功ですよ。"
"31","sakaguchi","awarena_tonmasensei.txt",""
"32","sakaguchi","awarena_tonmasensei.txt","つまり、荏原と中井の失敗によって、たまたま発見した術を用いて不思議に成功しただけのことで、この時は、こう、あの時は、こうと、他のあらゆる危険を考慮して成功致されたわけではないのであります。"
"33","sakaguchi","awarena_tonmasensei.txt",""
"34","sakaguchi","awarena_tonmasensei.txt","一人のまない人間がいても、すぐ失敗する。"
"35","sakaguchi","awarena_tonmasensei.txt",""
"36","sakaguchi","awarena_tonmasensei.txt","たまたま一人便所にいても失敗する。"
"37","sakaguchi","awarena_tonmasensei.txt","外から誰かが這入ってきても失敗する。"
"38","sakaguchi","awarena_tonmasensei.txt","オレは、もう、昨日チブスの注射をしたんだい、という給仕が現れてもダメなのであります。"
"39","sakaguchi","awarena_tonmasensei.txt",""
"40","sakaguchi","awarena_tonmasensei.txt","すると帝銀先生は、又、三十分椎名町支店長とムダ話をして、新知識を会得して、むなしく引きあげたかも知れません。"
"41","sakaguchi","awarena_tonmasensei.txt","そして、その新知識の対策を用意して、たとえば、誰か、便所にいる奴はないか、と注意する術を新たに会得して、四軒目に現れたでしょうね。"
"42","sakaguchi","awarena_tonmasensei.txt","フトウフクツですよ。"
"43","sakaguchi","awarena_tonmasensei.txt","然し、おかしくなるほど、トンマだとは思いませんか。"
"44","sakaguchi","awarena_tonmasensei.txt",""
"45","sakaguchi","awarena_tonmasensei.txt","もしも椎名町で、殆ど有りうべからざる偶然の成功がなければ、恐らく、この先生はむなしく数十軒の銀行を遍歴し、その度毎に新手の術を会得しつゝ永遠に遍歴しつゞけたかも知れません。"
"46","sakaguchi","awarena_tonmasensei.txt","その程度にトンマな先生のように私は思いました。"
"47","sakaguchi","awarena_tonmasensei.txt",""
"48","sakaguchi","awarena_tonmasensei.txt","然し、椎名町で、イザ、成功してみると、あまりにも、現実に、かの先生の目の前に展開した出来事は凄すぎました。"
"49","sakaguchi","awarena_tonmasensei.txt",""
"50","sakaguchi","awarena_tonmasensei.txt","この凄味を正確に、予想してはいなかったほど、この先生はトンマなように思われます。"
"51","sakaguchi","awarena_tonmasensei.txt","イザ、目の前に展開した出来事はあまりにも凄すぎたですから、先生は、慌てた。"
"52","sakaguchi","awarena_tonmasensei.txt","手近かにあった小金だけしか持ち帰る算段がつかなかったほど、彼は、つまり、事件そのものゝ兇悪な結果を、事前に認識していなかったのでしょう。"
"53","sakaguchi","awarena_tonmasensei.txt",""
"54","sakaguchi","awarena_tonmasensei.txt","翌日小切手を受取りに行くのもズブトイというより、トンマ、マヌケ、なのです。"
"55","sakaguchi","awarena_tonmasensei.txt","バカモノなのです。"
"56","sakaguchi","awarena_tonmasensei.txt","小切手の署名が殆ど真実の筆蹟らしいのも、マヌケの証拠以外の何物でもないでしょう。"
"57","sakaguchi","awarena_tonmasensei.txt",""
"58","sakaguchi","awarena_tonmasensei.txt","私は、この犯人は、マヌケからマグレ当りに成功し、マグレ当りだから、警察が、なかなか、つかまえられないのだと思っていました。"
"59","sakaguchi","awarena_tonmasensei.txt","今でも、そう思っています。"
"60","sakaguchi","awarena_tonmasensei.txt",""
