"","auth","piece","line"
"0","sakaguchi","bokusuino_konrei.txt","朴水の婚礼"
"1","sakaguchi","bokusuino_konrei.txt","坂口安吾"
"2","sakaguchi","bokusuino_konrei.txt",""
"3","sakaguchi","bokusuino_konrei.txt","-------------------------------------------------------"
"4","sakaguchi","bokusuino_konrei.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","bokusuino_konrei.txt",""
"6","sakaguchi","bokusuino_konrei.txt","《》：ルビ"
"7","sakaguchi","bokusuino_konrei.txt","（例）性質"
"8","sakaguchi","bokusuino_konrei.txt",""
"9","sakaguchi","bokusuino_konrei.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","sakaguchi","bokusuino_konrei.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"11","sakaguchi","bokusuino_konrei.txt","（例）※なのが"
"12","sakaguchi","bokusuino_konrei.txt",""
"13","sakaguchi","bokusuino_konrei.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"14","sakaguchi","bokusuino_konrei.txt","（例）オイ／＼"
"15","sakaguchi","bokusuino_konrei.txt","-------------------------------------------------------"
"16","sakaguchi","bokusuino_konrei.txt",""
"17","sakaguchi","bokusuino_konrei.txt","朝巻信助は火星人といふ渾名であつたが、それは頭デッカチで口が小さいといふ意味ながら、顔が似てゐるためではなく、内容的な意味であつた。"
"18","sakaguchi","bokusuino_konrei.txt","彼は親友が死んだとき、泣いてゐる奥さんの前で「彼の死は悲しむべく然し、それは目出度いことである。"
"19","sakaguchi","bokusuino_konrei.txt","さうでもないか。"
"20","sakaguchi","bokusuino_konrei.txt","然し、とにかく――」かう言つて絶句してしまふのであるが、それはつまり彼が平常色々の考へごとをしてゐるからで、死といふことに就いてもかねて色々に考へてゐるから、単純に死は悲しいといふやうな表現ができない。"
"21","sakaguchi","bokusuino_konrei.txt","生憎彼は非常に表現の下手な生れつきで、精神内容を表現しきれず、事あるたびに奇妙なことを口走る結果になつて、怒られたり笑はれたり蔑まれたりしてゐる。"
"22","sakaguchi","bokusuino_konrei.txt","だから火星人といふのであるが、この渾名は好意的な解釈であるから、つまり彼は友達にだけは精神内容の豊富な点を認められてゐるのであつた。"
"23","sakaguchi","bokusuino_konrei.txt","尤も彼の奥さんは猛烈なる信助ファンで、彼に表現の才能がめぐまれてゐるなら世界一の文豪になつたであらうと信じてをり、だから詩人の芥中介が口の悪い生れつきで臆面もなく「何だい、信助の頭は蛸の脳味噌と同じだよ。"
"24","sakaguchi","bokusuino_konrei.txt","蛸が生ジッカ人間の本など読みやがるから、口をとんがらして飛んでもないことばかり口走りやがる」などゝ言ふから大変な喧嘩になる。"
"25","sakaguchi","bokusuino_konrei.txt",""
"26","sakaguchi","bokusuino_konrei.txt","「なんだい、三文詩人」"
"27","sakaguchi","bokusuino_konrei.txt","「ヘヘイ、さればとよ」"
"28","sakaguchi","bokusuino_konrei.txt","中介は、女が相手でも子供が相手でも真剣に喧嘩をする性質であつたが、さればとよ、とか、さもあらばありけれ、などゝ不思議な咒文を発するときは、戦意昂揚の証拠なのである。"
"29","sakaguchi","bokusuino_konrei.txt",""
"30","sakaguchi","bokusuino_konrei.txt","「ヘヘイ、満場の諸君。"
"31","sakaguchi","bokusuino_konrei.txt","余がつとに研究蒐集中の奇怪なる動物を公開するに当りまして、本日は先づ一匹の怒れる蛸の妻君を――」"
"32","sakaguchi","bokusuino_konrei.txt","突然音がした。"
"33","sakaguchi","bokusuino_konrei.txt","中介は上衣を脱いで御丁寧に壁にぶらさげ、おもむろに部屋を歩いて演説中のところであつたが、部屋の中央にひつくり返つてノビてゐた。"
"34","sakaguchi","bokusuino_konrei.txt","信助夫人が摺子木棒をふりかぶつて、どこだか分らず振り下したのが、どこだか分らず命中したのである。"
"35","sakaguchi","bokusuino_konrei.txt","這般の立廻りの実況に就ては、他に目撃者がゐなかつたから、これ以上のことは分らない。"
"36","sakaguchi","bokusuino_konrei.txt",""
"37","sakaguchi","bokusuino_konrei.txt","信助夫人は良人の店へ飛んで行つた。"
"38","sakaguchi","bokusuino_konrei.txt","彼は駅前に本屋を開いてゐたのである。"
"39","sakaguchi","bokusuino_konrei.txt","生憎なことに信助は新刊書を売込みに顧客廻りにでかけてをり、店の前には梯子がかゝつてゐて、梯子の上にはペンキ屋の親父が看板を書いてゐた。"
"40","sakaguchi","bokusuino_konrei.txt","このペンキ屋は青眠洞主人と号する素人考古学者で、信助の親友であつた。"
"41","sakaguchi","bokusuino_konrei.txt",""
"42","sakaguchi","bokusuino_konrei.txt","「あゝさうかい。"
"43","sakaguchi","bokusuino_konrei.txt","あんな奴は当分眼を廻した方がいゝよ」"
"44","sakaguchi","bokusuino_konrei.txt","と考古学者は梯子の上から返事をした。"
"45","sakaguchi","bokusuino_konrei.txt",""
"46","sakaguchi","bokusuino_konrei.txt","「時に、丁度よいところへ来てくれたよ。"
"47","sakaguchi","bokusuino_konrei.txt","実はね、あんたの処へ使ひの者をださうと思つてゐたところだよ。"
"48","sakaguchi","bokusuino_konrei.txt","絵描きの朴水のところで婚礼があるさうでね、あいにく朴水のお母さんが病気ださうでね、料理人が足りないから応援たのむといふわけだが、見廻したところ子供のないのはあんた一人だけだから、直ぐ行つてやつてもらひたいね」"
"49","sakaguchi","bokusuino_konrei.txt","「オヤまあ、どなたの婚礼ですか」"
"50","sakaguchi","bokusuino_konrei.txt","「朴水さ」"
"51","sakaguchi","bokusuino_konrei.txt","「朴水さんは奥さんがお有りでせう」"
"52","sakaguchi","bokusuino_konrei.txt","「あゝ、あの奥さんの婚礼さ」"
