"","auth","piece","line"
"0","sakaguchi","bokuwamo_naotteiru.txt","僕はもう治っている"
"1","sakaguchi","bokuwamo_naotteiru.txt","坂口安吾"
"2","sakaguchi","bokuwamo_naotteiru.txt",""
"3","sakaguchi","bokuwamo_naotteiru.txt","今日（四月七日）どこかの新聞にボクが東大神経科の三階から飛降り自殺をしたという記事が出た由、朝来各社の記者と写真班がつめかけて、撃退に往生したという千谷先生（ボクの主治医）の話であった。"
"4","sakaguchi","bokuwamo_naotteiru.txt",""
"5","sakaguchi","bokuwamo_naotteiru.txt","東大の神経科は一階しかない。"
"6","sakaguchi","bokuwamo_naotteiru.txt","それも半地下室のようなところでさのみ気のききそうもないノラネコが平気で窓へ飛上ってくるところだから、飛降り自殺はできない。"
"7","sakaguchi","bokuwamo_naotteiru.txt","第一神経科の格子のはまった窓から飛び降りられるかどうか忍術使いじゃあるまいし、そんな便利なことができるものなら、こゝの患者は全部逃げだしていますよ。"
"8","sakaguchi","bokuwamo_naotteiru.txt",""
"9","sakaguchi","bokuwamo_naotteiru.txt","四、五日前にも警視庁の麻薬係という三人組が現われて、坂口は麻薬中毒だろう、嘘をつくな、と、千谷先生、係りの看護婦、付添いを散々なやました由であるが、こういうデマがどこから出てくるのかボクには理解に苦しむばかりである。"
"10","sakaguchi","bokuwamo_naotteiru.txt",""
"11","sakaguchi","bokuwamo_naotteiru.txt","だいたい去年の夏ごろから、神経衰弱の気味であった。"
"12","sakaguchi","bokuwamo_naotteiru.txt","今から考えると、そうである。"
"13","sakaguchi","bokuwamo_naotteiru.txt","ボクはそれを蓄膿症のせいかしらんと思っていた。"
"14","sakaguchi","bokuwamo_naotteiru.txt","しきりにハナがでて、吐気を催し、ふせばノドに流れこみ、起きてる時はハナをかみつゞけなければならない。"
"15","sakaguchi","bokuwamo_naotteiru.txt","いきおい思考がまとまらず、注意を集中し、それを持続することが不可能になった。"
"16","sakaguchi","bokuwamo_naotteiru.txt",""
"17","sakaguchi","bokuwamo_naotteiru.txt","私が捨身になって三千枚ほどの長編小説に没頭しようと覚悟したのも、一つは、この肉体の悪条件を克服したい、してみせる、という意志によってゞあった。"
"18","sakaguchi","bokuwamo_naotteiru.txt",""
"19","sakaguchi","bokuwamo_naotteiru.txt","この努力がムリであったらしい。"
"20","sakaguchi","bokuwamo_naotteiru.txt","まだしも三百枚、五百枚というならともかく、三千枚ほどの作品が一朝一夕に書けるものではない。"
"21","sakaguchi","bokuwamo_naotteiru.txt","すくなくとも、肉体的に、一そう消耗せざるを得なくなるのは当然であった。"
