"","auth","piece","line"
"0","sakaguchi","bungakuno_furusato.txt","文学のふるさと"
"1","sakaguchi","bungakuno_furusato.txt","坂口安吾"
"2","sakaguchi","bungakuno_furusato.txt",""
"3","sakaguchi","bungakuno_furusato.txt","-------------------------------------------------------"
"4","sakaguchi","bungakuno_furusato.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","bungakuno_furusato.txt",""
"6","sakaguchi","bungakuno_furusato.txt","《》：ルビ"
"7","sakaguchi","bungakuno_furusato.txt","（例）屡々"
"8","sakaguchi","bungakuno_furusato.txt",""
"9","sakaguchi","bungakuno_furusato.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","bungakuno_furusato.txt","（例）ムシャ／＼"
"11","sakaguchi","bungakuno_furusato.txt","-------------------------------------------------------"
"12","sakaguchi","bungakuno_furusato.txt",""
"13","sakaguchi","bungakuno_furusato.txt","シャルヽ・ペローの童話に「赤頭巾」といふ名高い話があります。"
"14","sakaguchi","bungakuno_furusato.txt","既に御存知とは思ひますが、荒筋を申上げますと、赤い頭巾をかぶつてゐるので赤頭巾と呼ばれてゐた可愛い少女が、いつものやうに森のお婆さんを訪ねて行くと、狼がお婆さんに化けてゐて、赤頭巾をムシャ／＼食べてしまつた、といふ話であります。"
"15","sakaguchi","bungakuno_furusato.txt","まつたく、たゞ、それだけの話であります。"
"16","sakaguchi","bungakuno_furusato.txt",""
"17","sakaguchi","bungakuno_furusato.txt","童話といふものには大概教訓、モラル、といふものが有るものですが、この童話には、それが全く欠けてをります。"
"18","sakaguchi","bungakuno_furusato.txt","それで、その意味から、アモラルであるといふことで、仏蘭西では甚だ有名な童話であり、さういふ引例の場合に、屡々引合ひに出されるので知られてをります。"
"19","sakaguchi","bungakuno_furusato.txt",""
"20","sakaguchi","bungakuno_furusato.txt","童話のみではありません。"
"21","sakaguchi","bungakuno_furusato.txt","小説全体として見ても、いつたい、モラルのない小説といふのがあるでせうか。"
"22","sakaguchi","bungakuno_furusato.txt","小説家の立場としても、なにか、モラル、さういふものゝ意図がなくて、小説を書きつゞける――さういふことが有り得ようとは、ちよつと、想像ができません。"
"23","sakaguchi","bungakuno_furusato.txt",""
"24","sakaguchi","bungakuno_furusato.txt","ところが、こゝに、凡そモラルといふものが有つて始めて成立つやうな童話の中に、全然モラルのない作品が存在する。"
"25","sakaguchi","bungakuno_furusato.txt","しかも三百年もひきつゞいてその生命を持ち、多くの子供や多くの大人の心の中に生きてゐる――これは厳たる事実であります。"
"26","sakaguchi","bungakuno_furusato.txt",""
"27","sakaguchi","bungakuno_furusato.txt","シャルヽ・ペローといへば「サンドリヨン」とか「青髯」とか「眠りの森の少女」といふやうな名高い童話を残してゐますが、私はまつたくそれらの代表作と同様に、「赤頭巾」を愛読しました。"
"28","sakaguchi","bungakuno_furusato.txt",""
"29","sakaguchi","bungakuno_furusato.txt","否、むしろ、「サンドリヨン」とか「青髯」を童話の世界で愛したとすれば、私はなにか大人の寒々とした心で「赤頭巾」のむごたらしい美しさを感じ、それに打たれたやうでした。"
"30","sakaguchi","bungakuno_furusato.txt",""
"31","sakaguchi","bungakuno_furusato.txt","愛くるしくて、心が優しくて、すべて美徳ばかりで悪さといふものが何もない可憐な少女が、森のお婆さんの病気を見舞に行つて、お婆さんに化けて寝てゐる狼にムシャ／＼食べられてしまふ。"
"32","sakaguchi","bungakuno_furusato.txt",""
"33","sakaguchi","bungakuno_furusato.txt","私達はいきなりそこで突き放されて、何か約束が違つたやうな感じで戸惑ひしながら、然し、思はず目を打たれて、プツンとちよん切られた空しい余白に、非常に静かな、しかも透明な、ひとつの切ない「ふるさと」を見ないでせうか。"
"34","sakaguchi","bungakuno_furusato.txt",""
"35","sakaguchi","bungakuno_furusato.txt","その余白の中にくりひろげられ、私の目に泌みる風景は、可憐な少女がたゞ狼にムシャ／＼食べられてゐるといふ残酷ないやらしいやうな風景ですが、然し、それが私の心を打つ打ち方は、若干やりきれなくて切ないものではあるにしても、決して、不潔とか、不透明といふものではありません。"
"36","sakaguchi","bungakuno_furusato.txt","何か、氷を抱きしめたやうな、切ない悲しさ、美しさ、であります。"
"37","sakaguchi","bungakuno_furusato.txt",""
"38","sakaguchi","bungakuno_furusato.txt","もう一つ、違つた例を引きませう。"
"39","sakaguchi","bungakuno_furusato.txt",""
"40","sakaguchi","bungakuno_furusato.txt","これは「狂言」のひとつですが、大名が太郎冠者を供につれて寺詣でを致します。"
"41","sakaguchi","bungakuno_furusato.txt","突然大名が寺の屋根の鬼瓦を見て泣きだしてしまふので、太郎冠者がその次第を訊ねますと、あの鬼瓦はいかにも自分の女房に良く似てゐるので、見れば見るほど悲しい、と言つて、たゞ、泣くのです。"
"42","sakaguchi","bungakuno_furusato.txt",""
"43","sakaguchi","bungakuno_furusato.txt","まつたく、たゞ、これだけの話なのです。"
"44","sakaguchi","bungakuno_furusato.txt","四六判の本で五、六行しかなくて、「狂言」の中でも最も短いものゝ一つでせう。"
"45","sakaguchi","bungakuno_furusato.txt",""
"46","sakaguchi","bungakuno_furusato.txt","これは童話ではありません。"
"47","sakaguchi","bungakuno_furusato.txt","いつたい狂言といふものは、真面目な劇の中間にはさむ息ぬきの茶番のやうなもので、観衆をワッと笑はせ、気分を新にさせればそれでいゝやうな役割のものではありますが、この狂言を見てワッと笑つてすませるか、どうか、尤も、こんな尻切れトンボのやうな狂言を実際舞台でやれるかどうかは知りませんが、決して無邪気に笑ふことはできないでせう。"
"48","sakaguchi","bungakuno_furusato.txt",""
"49","sakaguchi","bungakuno_furusato.txt","この狂言にもモラル――或ひはモラルに相応する笑ひの意味の設定がありません。"
"50","sakaguchi","bungakuno_furusato.txt","お寺詣でに来て鬼瓦を見て女房を思ひだして泣きだす、といふ、なるほど確かに滑稽で、一応笑はざるを得ませんが、同時に、いきなり、突き放されずにもゐられません。"
"51","sakaguchi","bungakuno_furusato.txt",""
