"","auth","piece","line"
"0","sakaguchi","bunjin_igokai.txt","文人囲碁会"
"1","sakaguchi","bunjin_igokai.txt","坂口安吾"
"2","sakaguchi","bunjin_igokai.txt",""
"3","sakaguchi","bunjin_igokai.txt","先日中央公論の座談会で豊島与志雄さんに会ったら、いきなり、近頃碁を打ってる？"
"4","sakaguchi","bunjin_igokai.txt","これが挨拶であった。"
"5","sakaguchi","bunjin_igokai.txt","四五年前まで、つまり戦争で碁が打てなくなるまで、文人囲碁会というのがあって、豊島さんはその餓鬼大将のようなものだった。"
"6","sakaguchi","bunjin_igokai.txt",""
"7","sakaguchi","bunjin_igokai.txt","僕は物にタンデキする性分だが碁のタンデキは女以上に深刻で、碁と手を切るのに甚大な苦労をしたものだ。"
"8","sakaguchi","bunjin_igokai.txt","文人囲碁会で僕ほどのタンデキ家はなかったのだが、その次が豊島さんで、豊島さんはフランス知性派型などゝ思うと大間違い、僕は文士に稀れなタンデキ派と考えている。"
"9","sakaguchi","bunjin_igokai.txt",""
"10","sakaguchi","bunjin_igokai.txt","豊島さんの碁は乱暴だ。"
"11","sakaguchi","bunjin_igokai.txt","腕力派で、凡そ行儀のよくない碁だ。"
"12","sakaguchi","bunjin_igokai.txt","これ又、豊島さんの文学から受ける感じと全く逆だ。"
"13","sakaguchi","bunjin_igokai.txt",""
"14","sakaguchi","bunjin_igokai.txt","川端康成さんの碁が同じように腕力派で、全くお行儀が悪い。"
"15","sakaguchi","bunjin_igokai.txt","これ又、万人の意外とするところで、碁は性格を現すというが、僕もこれは真理だと思うので、つまり、豊島さんも川端さんも、定石型の紳士ではない腕力型の独断家なのでお二人の文学も実際はそういう風に読むのが本当だと思うのである。"
"16","sakaguchi","bunjin_igokai.txt",""
"17","sakaguchi","bunjin_igokai.txt","更に万人が意外とするのは小林秀雄で、この独断のかたまりみたいな先生が、実は凡そ定石其ものの素性の正しい碁を打つ。"
"18","sakaguchi","bunjin_igokai.txt","本当は僕に九ツ置く必要があるのだが、五ツ以上置くのは厭だと云って、五ツ置いて、碁のお手本にあるような行儀のいゝ石を打って、キレイに負ける習慣になっている。"
"19","sakaguchi","bunjin_igokai.txt",""
"20","sakaguchi","bunjin_igokai.txt","要するに小林秀雄も、碁に於て偽ることが出来ない通りに、彼は実は独断家ではないのである。"
"21","sakaguchi","bunjin_igokai.txt","定石型、公理型の性格なので、彼の文学はそういう風に見るのが矢張り正しいと私は思っている。"
"22","sakaguchi","bunjin_igokai.txt",""
"23","sakaguchi","bunjin_igokai.txt","このあべこべが三木清で、この人の碁は、乱暴そのものゝ組み打ちみたいな喧嘩碁で、凡そアカデミズムと縁がない。"
"24","sakaguchi","bunjin_igokai.txt",""
"25","sakaguchi","bunjin_igokai.txt","ところで村松梢風、徳川夢声の御両名が、これ又、非常にオトナシイ定石派で、凡そ喧嘩ということをやらぬ。"
"26","sakaguchi","bunjin_igokai.txt","この御両名も文章から受ける感じは逆で、大いに喧嘩派のようだけれども、やっぱり碁の性格が正しいので、本当は、定石型と見る方が正しいのだと私は思っている。"
"27","sakaguchi","bunjin_igokai.txt",""
"28","sakaguchi","bunjin_igokai.txt","喧嘩好きの第一人者は三好達治で、この先生は何でも構わずムリヤリ人の石を殺しにくる。"
"29","sakaguchi","bunjin_igokai.txt","尤も大概自分の方が殺されてしまう結果になるのだが、これ又、詩から受ける感じは逆で、何か詩の正統派のような感じであるが、これも碁の性格が正しいのだと私は思う。"
"30","sakaguchi","bunjin_igokai.txt",""
"31","sakaguchi","bunjin_igokai.txt","倉田百三なる先生がこれ又喧嘩碁で、これは然し、万人が大いに意外とはしないようで、彼は新橋の碁会所の常連であった。"
"32","sakaguchi","bunjin_igokai.txt","豊島、川端、村松三初段は全然腕に自信がなくて至って、鼻息が弱いのだが、倉田百三初段の鼻ッ柱は凄いもので、この自信は文士の中では異例だ。"
"33","sakaguchi","bunjin_igokai.txt","つまり、この鼻ッ柱は宗教家のものだろう。"
"34","sakaguchi","bunjin_igokai.txt","政治家なども大いに自信満々のようだが、文士というものは凡そ自信をもたない。"
"35","sakaguchi","bunjin_igokai.txt",""
"36","sakaguchi","bunjin_igokai.txt","僕と好敵手は尾崎一雄で、これは奇妙、ある時は処女の如く、あるときは脱兎の如く、時に雲助の如く喧嘩腰になるかと思うと、時に居候の如くにハニカむ。"
"37","sakaguchi","bunjin_igokai.txt","この男の碁の性格は一番複雑だ。"
"38","sakaguchi","bunjin_igokai.txt","これ又大いにその文章を裏切っているがやっぱり碁の性格が正しいのだと私は思っている。"
"39","sakaguchi","bunjin_igokai.txt",""
"40","sakaguchi","bunjin_igokai.txt","文人囲碁会で最も賞品を貰うのは尾崎一雄で、彼は試合となると必らず実力以上のネバリを発揮する。"
"41","sakaguchi","bunjin_igokai.txt","このネバリは尾崎が頭ぬけており、文士の中では異例だ。"
"42","sakaguchi","bunjin_igokai.txt","わずかに、僕がそれにやゝ匹敵するのみで、他の諸先生はすぐ投げだしてしまう。"
"43","sakaguchi","bunjin_igokai.txt","豊島、川端先生など、碁そのものは喧嘩主義だが勝負自体に就ては喧嘩精神は旺盛ではないようで、文人的であり、尾崎と僕の二人だけが素性が悪いという感じである。"
"44","sakaguchi","bunjin_igokai.txt",""
"45","sakaguchi","bunjin_igokai.txt","文人囲碁会は、帝大の医者のクラブ、将棋差しのチーム、木谷の碁会所クラブなどゝ試合をしたが、勝ったことは一度もない。"
"46","sakaguchi","bunjin_igokai.txt","豊島大将を始め至って弱気ですぐ投げたり諦めたりしてしまうから、他流試合には全然ダメで、勝つのは尾崎と僕だけだ。"
"47","sakaguchi","bunjin_igokai.txt","尾崎と僕は必ず勝つ。"
"48","sakaguchi","bunjin_igokai.txt","相手は僕らより数等強いのだが、断々乎として、僕らは勝ってしまうのである。"
"49","sakaguchi","bunjin_igokai.txt",""
"50","sakaguchi","bunjin_igokai.txt","尾崎は僕より弱くて、僕と尾崎が文人囲碁会チーム選抜軍のドン尻だが、他流試合ともなると、敵手のドン尻は大概二三級で、本来なら文句なしに負ける筈だが、全く、僕はよくガンバる。"
"51","sakaguchi","bunjin_igokai.txt","こういう闘志は僕の方が、やゝ尾崎にまさっている。"
"52","sakaguchi","bunjin_igokai.txt",""
"53","sakaguchi","bunjin_igokai.txt","僕が今迄他流試合をして、その図々しさに呆れたのは将棋さしのチームであった。"
"54","sakaguchi","bunjin_igokai.txt","将棋さしのチームは木村名人が初段で最も強く、あとは大概、三四級というところだが、彼らは碁と将棋は違っても盤面に向う商売なのだから、第一に場馴れており、勝負のコツは、先ず相手を呑んでかゝることだという勝負の大原則を心得ている。"
"55","sakaguchi","bunjin_igokai.txt",""
"56","sakaguchi","bunjin_igokai.txt","相手をじらしたり、イヤがらせたり、皮肉ったり、つまり宮本武蔵の剣法のコツをみんな心得ていて、ずいぶんエゲツないことをやる。"
"57","sakaguchi","bunjin_igokai.txt","こういう素性のよからぬ不敵の連中にかゝっては文士はとてもダメで、実際の力はさしたる相手でないのに、みんなやられて、ともかく、闘志で匹敵したのは尾崎と僕だけであり、さすがに僕も、この連中にはやゝつけこまれた形であった。"
"58","sakaguchi","bunjin_igokai.txt",""
"59","sakaguchi","bunjin_igokai.txt","僕が碁に負けて口惜しいと思ったのは、この将棋の連中で、いつか復讐戦をやりたいと思っているのも、この連中だけだ。"
"60","sakaguchi","bunjin_igokai.txt","僕のような素性の悪い負けきらいは、勝負そのものでなしに、相手の人柄に闘志をもやすので、つまり僕と尾崎が、好敵手なのもそのせいだ。"
"61","sakaguchi","bunjin_igokai.txt","豊島さんや川端さんが相手ではとても闘志はもえない。"
"62","sakaguchi","bunjin_igokai.txt",""
"63","sakaguchi","bunjin_igokai.txt","尾崎は本当は僕に二目おく筈なのだが、先で打つ、彼は僕をのんでかゝるばかりでなく、全く将棋さしと同様に、じらしたり、いやがらせたり、皮肉ったり、悪道無道のことをやり、七転八倒、トコトンまでガンバって、投げるということを知らない。"
"64","sakaguchi","bunjin_igokai.txt","そのうえ、僕を酔わせて勝つという戦法を用いる、つまり、正当では必ず僕に負ける証拠なのである。"
"65","sakaguchi","bunjin_igokai.txt",""
"66","sakaguchi","bunjin_igokai.txt","彼は昔日本棋院の女の子の初段の先生に就て修業しており、僕も当時は本郷の富岡という女の二段の先生に習っており、断々乎として男の先生に習わぬところなどもよく似ていた。"
"67","sakaguchi","bunjin_igokai.txt",""
"68","sakaguchi","bunjin_igokai.txt","戦争以来、彼は郷里に病臥して手合せができなくなったが、日本棋院も焼けてしまって、文人囲碁会もなくなり、僕も碁石を握らなくなってから、三年の年月がすぎてしまった。"
"69","sakaguchi","bunjin_igokai.txt",""
"70","sakaguchi","bunjin_igokai.txt",""
"71","sakaguchi","bunjin_igokai.txt",""
"72","sakaguchi","bunjin_igokai.txt",""
"73","sakaguchi","bunjin_igokai.txt","底本：「坂口安吾全集06」筑摩書房"
"74","sakaguchi","bunjin_igokai.txt","1998（平成10）年7月20日初版第1刷発行"
"75","sakaguchi","bunjin_igokai.txt","底本の親本：「教祖の文学」草野書房"
"76","sakaguchi","bunjin_igokai.txt","1948（昭和23）年4月20日発行"
"77","sakaguchi","bunjin_igokai.txt","入力：tatsuki"
"78","sakaguchi","bunjin_igokai.txt","校正：小林繁雄"
"79","sakaguchi","bunjin_igokai.txt","2007年5月5日作成"
"80","sakaguchi","bunjin_igokai.txt","青空文庫作成ファイル："
"81","sakaguchi","bunjin_igokai.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"82","sakaguchi","bunjin_igokai.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"83","sakaguchi","bunjin_igokai.txt",""
