"","auth","piece","line"
"0","sakaguchi","bunkasai.txt","文化祭"
"1","sakaguchi","bunkasai.txt","坂口安吾"
"2","sakaguchi","bunkasai.txt",""
"3","sakaguchi","bunkasai.txt","-------------------------------------------------------"
"4","sakaguchi","bunkasai.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","bunkasai.txt",""
"6","sakaguchi","bunkasai.txt","《》：ルビ"
"7","sakaguchi","bunkasai.txt","（例）侍かれて"
"8","sakaguchi","bunkasai.txt","-------------------------------------------------------"
"9","sakaguchi","bunkasai.txt",""
"10","sakaguchi","bunkasai.txt","趣味というものは広いものだ。"
"11","sakaguchi","bunkasai.txt","信じられないようなことを好む人がある。"
"12","sakaguchi","bunkasai.txt",""
"13","sakaguchi","bunkasai.txt","井田信二は農村の静かな風物のなかで何不自由なく育った。"
"14","sakaguchi","bunkasai.txt","彼の周囲の人々はそれぞれアクセク土にまみれて働いているのに、彼だけは戦時中も卵や牛乳にも不自由なくいわば小国の王子のように育ったのである。"
"15","sakaguchi","bunkasai.txt","そのアゲクとして、彼が成人したときに、何が一番好きかというと、人から物を借りること、借りた物を返さないこと、サイソクされるとヌラリクラリと弁舌縦横敵を論破して退却せしめる。"
"16","sakaguchi","bunkasai.txt","それが何より好きになった。"
"17","sakaguchi","bunkasai.txt","早く云えば借金とり撃退を地上随一の快と感じるに至ったのである。"
"18","sakaguchi","bunkasai.txt",""
"19","sakaguchi","bunkasai.txt","借金とり撃退に快を感じる人はこの世に少くないかも知れないが、多くはやむをえずそうなったもので、有るべき物が手もとにあれば強いてそのへんに快をむさぼるにも及ばないというのが実情であろう。"
"20","sakaguchi","bunkasai.txt","中には矢でも鉄砲でも持ってこいなぞと身体をはる威勢のいい撃退組もあるが、ハタから見ればこれも悲痛で感心できないものがある。"
"21","sakaguchi","bunkasai.txt","雅致がない。"
"22","sakaguchi","bunkasai.txt","もともと借金はセッパつまったものではあるが、すすんで特攻隊になるのも感服すべき手段ではない。"
"23","sakaguchi","bunkasai.txt","とはいえ、思いあまったアゲクのことで、風雅の道に欠けるところがあっても責めるわけにいかない性質のものだ。"
"24","sakaguchi","bunkasai.txt",""
"25","sakaguchi","bunkasai.txt","ところが井田信二は名実ともに威勢のいい人物ではなかった。"
"26","sakaguchi","bunkasai.txt","小学校の時から体操がヘタで、至って栄養がよいのに力がない。"
"27","sakaguchi","bunkasai.txt","鉄棒にぶら下れば、ぶら下りッ放しで動くことができないという非力で、およそスポーツというものには何一ツ趣味もなければ縁もなかった。"
"28","sakaguchi","bunkasai.txt",""
"29","sakaguchi","bunkasai.txt","こういう虚弱児童には才気が恵まれているのが普通であるが、彼はその方にも縁がなかった。"
"30","sakaguchi","bunkasai.txt","少くとも学校で教えてくれる学問というものには腕の見せ場がなかったのである。"
"31","sakaguchi","bunkasai.txt","農村の特殊階級、大旦那の坊っちゃんだから、物さえ言わなければボロをださずにすむ。"
"32","sakaguchi","bunkasai.txt","駈けッこをさせなければ負けるはずもない。"
