"","auth","piece","line"
"0","sakaguchi","chohen_shosetsu_jihyo.txt","長篇小説時評"
"1","sakaguchi","chohen_shosetsu_jihyo.txt","坂口安吾"
"2","sakaguchi","chohen_shosetsu_jihyo.txt",""
"3","sakaguchi","chohen_shosetsu_jihyo.txt","-------------------------------------------------------"
"4","sakaguchi","chohen_shosetsu_jihyo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","chohen_shosetsu_jihyo.txt",""
"6","sakaguchi","chohen_shosetsu_jihyo.txt","《》：ルビ"
"7","sakaguchi","chohen_shosetsu_jihyo.txt","（例）従而"
"8","sakaguchi","chohen_shosetsu_jihyo.txt",""
"9","sakaguchi","chohen_shosetsu_jihyo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","chohen_shosetsu_jihyo.txt","（例）極力｜推輓して"
"11","sakaguchi","chohen_shosetsu_jihyo.txt",""
"12","sakaguchi","chohen_shosetsu_jihyo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","chohen_shosetsu_jihyo.txt","（例）（一）"
"14","sakaguchi","chohen_shosetsu_jihyo.txt","-------------------------------------------------------"
"15","sakaguchi","chohen_shosetsu_jihyo.txt",""
"16","sakaguchi","chohen_shosetsu_jihyo.txt","（一）農民小説の人間性"
"17","sakaguchi","chohen_shosetsu_jihyo.txt",""
"18","sakaguchi","chohen_shosetsu_jihyo.txt","短篇小説は長篇小説の圧縮されたものだといふ考へ方をしてゐた人があつたやうだ。"
"19","sakaguchi","chohen_shosetsu_jihyo.txt","さういふ事は有り得ないことで、短い枚数で書きうる事柄であつたから短篇となり、長大な枚数でなければ書き得ない事柄であつたために長篇となるだけのことであらう。"
"20","sakaguchi","chohen_shosetsu_jihyo.txt","然しながら、短篇的な思考の型になれてみると、思考自体が長篇的になりにくくなる。"
"21","sakaguchi","chohen_shosetsu_jihyo.txt","長篇小説が流行しだしてから、まだ一年ぐらゐにしかならないのに、もう長篇はつまらないとか、短篇時代がくるだらうと言ひだす声があるのは、ひとつには、現今流行の長篇小説の内容が、短篇的に発育してゐないからではないかと思ふ。"
"22","sakaguchi","chohen_shosetsu_jihyo.txt","即ち多くの長篇は、短篇を引延したもの、或ひは冗漫な短篇といふ型である。"
"23","sakaguchi","chohen_shosetsu_jihyo.txt","最近読んだ七、八冊は概ねさうだつた。"
"24","sakaguchi","chohen_shosetsu_jihyo.txt",""
"25","sakaguchi","chohen_shosetsu_jihyo.txt","特に僕が多大の期待をもつて読んだ農民文学には最も甚しく失望した。"
"26","sakaguchi","chohen_shosetsu_jihyo.txt","僕は元来農村といふ我々の都会生活とはかけ離れた生活形式によつて歪曲された人間性が、長篇といふ形式をかりて陸離たる光彩を放ちながら描破されはしないかと考へてゐたのであつた。"
"27","sakaguchi","chohen_shosetsu_jihyo.txt","この期待は余りにも外れすぎた。"
"28","sakaguchi","chohen_shosetsu_jihyo.txt",""
"29","sakaguchi","chohen_shosetsu_jihyo.txt","打木村治氏の『部落史』は冗漫すぎる短篇と云ふべきものであつた。"
"30","sakaguchi","chohen_shosetsu_jihyo.txt","たゞ徒らな克明さで描写の筆を浪費したにすぎないものだ。"
"31","sakaguchi","chohen_shosetsu_jihyo.txt","克明に顔形や表情を描写する。"
"32","sakaguchi","chohen_shosetsu_jihyo.txt","酒をついだりつがれたりの酒宴の描写に数十枚を費す。"
"33","sakaguchi","chohen_shosetsu_jihyo.txt",""
"34","sakaguchi","chohen_shosetsu_jihyo.txt","この小説は権力にひしがれながら、それに抗して生活と恋を建設して行く吾一とキクの物語が経線となつてゐるのであるが、この小説が人間性に根ざしてゐる深度といへば、二、三十枚の短篇で足りる程度の深さであらう。"
"35","sakaguchi","chohen_shosetsu_jihyo.txt",""
"36","sakaguchi","chohen_shosetsu_jihyo.txt","農村の生活様式を描写報告するためには、決して小説の形式を必要としない。"
"37","sakaguchi","chohen_shosetsu_jihyo.txt","その様式の中の人間性を描くために、はじめて小説が必要となるのである。"
"38","sakaguchi","chohen_shosetsu_jihyo.txt","権力を濫用する者が常に悪玉で、しひたげられる者常に善玉とは限らない。"
"39","sakaguchi","chohen_shosetsu_jihyo.txt","権力富力を得れば濫用したがるのが恐らく凡人の避けがたい弱点でもあらう。"
"40","sakaguchi","chohen_shosetsu_jihyo.txt","さうした一応の観念的計量を終り又超えたところから文学は始まるべきものであらう。"
