"","auth","piece","line"
"0","sakaguchi","daraku_ron_zoku_daraku_ron.txt","堕落論〔続堕落論〕"
"1","sakaguchi","daraku_ron_zoku_daraku_ron.txt","坂口安吾"
"2","sakaguchi","daraku_ron_zoku_daraku_ron.txt",""
"3","sakaguchi","daraku_ron_zoku_daraku_ron.txt","-------------------------------------------------------"
"4","sakaguchi","daraku_ron_zoku_daraku_ron.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","daraku_ron_zoku_daraku_ron.txt",""
"6","sakaguchi","daraku_ron_zoku_daraku_ron.txt","《》：ルビ"
"7","sakaguchi","daraku_ron_zoku_daraku_ron.txt","（例）然らば"
"8","sakaguchi","daraku_ron_zoku_daraku_ron.txt",""
"9","sakaguchi","daraku_ron_zoku_daraku_ron.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","daraku_ron_zoku_daraku_ron.txt","（例）道義｜頽廃"
"11","sakaguchi","daraku_ron_zoku_daraku_ron.txt","-------------------------------------------------------"
"12","sakaguchi","daraku_ron_zoku_daraku_ron.txt",""
"13","sakaguchi","daraku_ron_zoku_daraku_ron.txt","敗戦後国民の道義｜頽廃せりというのだが、然らば戦前の「健全」なる道義に復することが望ましきことなりや、賀すべきことなりや、私は最も然らずと思う。"
"14","sakaguchi","daraku_ron_zoku_daraku_ron.txt",""
"15","sakaguchi","daraku_ron_zoku_daraku_ron.txt","私の生れ育った新潟市は石油の産地であり、したがって石油成金の産地でもあるが、私が小学校のころ、中野貫一という成金の一人が産をなして後も大いに倹約であり、停車場から人力車に乗ると値がなにがしか高いので万代橋という橋の袂まで歩いてきてそこで安い車を拾うという話を校長先生の訓辞に於て幾度となくきかされたものであった。"
"16","sakaguchi","daraku_ron_zoku_daraku_ron.txt","ところが先日郷里の人がきての話に、この話が今日では新津某という新しい石油成金の逸話に変り、現に尚新潟市民の日常の教訓となり、生活の規範となっていることを知った。"
"17","sakaguchi","daraku_ron_zoku_daraku_ron.txt",""
"18","sakaguchi","daraku_ron_zoku_daraku_ron.txt","百万長者が五十銭の車代を三十銭にねぎることが美徳なりや。"
"19","sakaguchi","daraku_ron_zoku_daraku_ron.txt","我等の日常お手本とすべき生活であるか。"
"20","sakaguchi","daraku_ron_zoku_daraku_ron.txt","この話一つに就ての問題ではない。"
"21","sakaguchi","daraku_ron_zoku_daraku_ron.txt","問題はかかる話の底をつらぬく精神であり、生活のありかたである。"
"22","sakaguchi","daraku_ron_zoku_daraku_ron.txt",""
"23","sakaguchi","daraku_ron_zoku_daraku_ron.txt","戦争中私は日本映画社というところで嘱託をしていた。"
"24","sakaguchi","daraku_ron_zoku_daraku_ron.txt","そのとき、やっぱり嘱託の一人にＳという新聞聯合の理事だか何かをしている威勢のいい男がいて、談論風発、吉川英治と佐藤紅緑が日本で偉い文学者だとか、そういう大先生であるが、会議の席でこういう映画を作ったらよかろうと言って意見をのべた。"
"25","sakaguchi","daraku_ron_zoku_daraku_ron.txt","その映画というのは老いたる農夫のゴツゴツ節くれた手だとかツギハギの着物だとか、父から子へ子から孫へ伝えられる忍苦と耐乏の魂の象徴を綴り合せ映せという、なぜなら日本文化は農村文化でなければならず、農村文化から都会文化に移ったところに日本の堕落があり、今日の悲劇があるからだ、というのであった。"
"26","sakaguchi","daraku_ron_zoku_daraku_ron.txt",""
"27","sakaguchi","daraku_ron_zoku_daraku_ron.txt","この話は会議の席では大いに反響をよんだもので専務（事実上の社長）などは大感服、僕をかえりみて、君あれを脚本にしないかなどと言われて、私は御辞退申上げるのに苦労したものであるが、この話とてもこの場かぎりの戦時中の一場の悪夢ではないだろう。"
"28","sakaguchi","daraku_ron_zoku_daraku_ron.txt","戦争中は農村文化へかえれ、農村の魂へかえれ、ということが絶叫しつづけられていたのであるが、それは一時の流行の思想であるとともに、日本大衆の精神でもあった。"
"29","sakaguchi","daraku_ron_zoku_daraku_ron.txt",""
"30","sakaguchi","daraku_ron_zoku_daraku_ron.txt","一口に農村文化というけれども、そもそも農村に文化があるか。"
"31","sakaguchi","daraku_ron_zoku_daraku_ron.txt","盆踊りだのお祭礼風俗だの、耐乏精神だの本能的な貯蓄精神はあるかも知れぬが、文化の本質は進歩ということで、農村には進歩に関する毛一筋の影だにない。"
"32","sakaguchi","daraku_ron_zoku_daraku_ron.txt","あるものは排他精神と、他へ対する不信、疑ぐり深い魂だけで、損得の執拗な計算が発達しているだけである。"
