"","auth","piece","line"
"0","sakaguchi","ddt_to_mannendoko.txt","Ｄ・Ｄ・Ｔと万年床"
"1","sakaguchi","ddt_to_mannendoko.txt","坂口安吾"
"2","sakaguchi","ddt_to_mannendoko.txt",""
"3","sakaguchi","ddt_to_mannendoko.txt","私の書斎が二ヶ年ほったらかしてあるのは、別にとりたてゝ理由あることではないのである。"
"4","sakaguchi","ddt_to_mannendoko.txt","Ｄ・Ｄ・Ｔが発明されたせいである。"
"5","sakaguchi","ddt_to_mannendoko.txt","私はむかしは一ヶ月か二ヶ月目ぐらいには部屋を掃除していたのであるが、一昨年の新年ごろ、発疹チブスがでた。"
"6","sakaguchi","ddt_to_mannendoko.txt","私の住む矢口というところが、この発祥の地で、私の家も隣に患者が現れ、よって進駐軍指導のトラック隊が、私の家へもＤ・Ｄ・Ｔをまきにきた。"
"7","sakaguchi","ddt_to_mannendoko.txt","十日おきぐらいに五回にわたって、Ｄ・Ｄ・Ｔをまいてくれ、なるべく、フトンもこのまましきっぱなしにしておく方がいゝと注意してくれたから、終戦の年の暮から敷きっ放しの万年床が、衛生上公認されたことになった。"
"8","sakaguchi","ddt_to_mannendoko.txt",""
"9","sakaguchi","ddt_to_mannendoko.txt","その代り、あらゆる昆虫がみんな死ぬ。"
"10","sakaguchi","ddt_to_mannendoko.txt","蜂もカマキリも蝶も蝉も蛾も蠅も、私の部屋へ来たが最後、翌日は屍体をさらしてしまうから、死屍ルイルイ、これだけは、すこし、きたない。"
"11","sakaguchi","ddt_to_mannendoko.txt","けれども、その屍体にたかる虫も育つ心配がないのだから、一年もたつと、自然にみんな風化してゴミと帰し、天地自然の理にかなっている。"
"12","sakaguchi","ddt_to_mannendoko.txt",""
"13","sakaguchi","ddt_to_mannendoko.txt","私の部屋の片隅には一昨年の夏のカヤがそのまゝ壁の一角にブラ下っているが、このカヤをつると埃が舞いあがり舞い落ちて汚いから、吊るわけに行かぬ。"
"14","sakaguchi","ddt_to_mannendoko.txt",""
"15","sakaguchi","ddt_to_mannendoko.txt","机の四方に山とつまれたホゴや雑誌の下には、色々のものがある筈であるが、かき廻すと埃が立つから、さがされない。"
"16","sakaguchi","ddt_to_mannendoko.txt",""
"17","sakaguchi","ddt_to_mannendoko.txt","掃除をすると色々の探し物がみつかって便利なのだが、整理に三日ぐらいはかゝり、それを人手に委せられない意味があるので、掃除もできないハメになっているのである。"
"18","sakaguchi","ddt_to_mannendoko.txt",""
"19","sakaguchi","ddt_to_mannendoko.txt","一番こまるのは、人からの手紙で、そのうち返事をだそうと思って、身辺へ投げだしておくと、忽ち行方不明になって、返事がだせなくなってしまう。"
"20","sakaguchi","ddt_to_mannendoko.txt","手紙を貰ってすぐ返事をかくことは却々できないものだから、どうしても行方不明になるわけで、だから又、この紙屑の下には、もうホゴとなった小切手や為替なども、かなり、まじっているのである。"
"21","sakaguchi","ddt_to_mannendoko.txt",""
"22","sakaguchi","ddt_to_mannendoko.txt",""
"23","sakaguchi","ddt_to_mannendoko.txt",""
"24","sakaguchi","ddt_to_mannendoko.txt",""
"25","sakaguchi","ddt_to_mannendoko.txt","底本：「坂口安吾全集06」筑摩書房"
"26","sakaguchi","ddt_to_mannendoko.txt","1998（平成10）年7月20日初版第1刷発行"
"27","sakaguchi","ddt_to_mannendoko.txt","底本の親本：「マダム第一巻第二号」"
"28","sakaguchi","ddt_to_mannendoko.txt","1948（昭和23）年3月1日発行"
"29","sakaguchi","ddt_to_mannendoko.txt","初出：「マダム第一巻第二号」"
"30","sakaguchi","ddt_to_mannendoko.txt","1948（昭和23）年3月1日発行"
"31","sakaguchi","ddt_to_mannendoko.txt","※底本は、物を数える際や地名などに用いる「ヶ」（区点番号5-86）を、大振りにつくっています。"
"32","sakaguchi","ddt_to_mannendoko.txt",""
"33","sakaguchi","ddt_to_mannendoko.txt","入力：tatsuki"
"34","sakaguchi","ddt_to_mannendoko.txt","校正：小林繁雄"
"35","sakaguchi","ddt_to_mannendoko.txt","2007年4月24日作成"
"36","sakaguchi","ddt_to_mannendoko.txt","青空文庫作成ファイル："
"37","sakaguchi","ddt_to_mannendoko.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"38","sakaguchi","ddt_to_mannendoko.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"39","sakaguchi","ddt_to_mannendoko.txt",""
