"","auth","piece","line"
"0","sakaguchi","dokyo.txt","道鏡"
"1","sakaguchi","dokyo.txt","坂口安吾"
"2","sakaguchi","dokyo.txt",""
"3","sakaguchi","dokyo.txt","-------------------------------------------------------"
"4","sakaguchi","dokyo.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","dokyo.txt",""
"6","sakaguchi","dokyo.txt","《》：ルビ"
"7","sakaguchi","dokyo.txt","（例）此の如き"
"8","sakaguchi","dokyo.txt",""
"9","sakaguchi","dokyo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","sakaguchi","dokyo.txt","（例）皇太子も亦｜薨じ、"
"11","sakaguchi","dokyo.txt",""
"12","sakaguchi","dokyo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","sakaguchi","dokyo.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","sakaguchi","dokyo.txt","（例）※"
"15","sakaguchi","dokyo.txt",""
"16","sakaguchi","dokyo.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","sakaguchi","dokyo.txt","（例）敵に向つてフラ／＼うごいた。"
"18","sakaguchi","dokyo.txt",""
"19","sakaguchi","dokyo.txt","-------------------------------------------------------"
"20","sakaguchi","dokyo.txt",""
"21","sakaguchi","dokyo.txt","日本史に女性時代ともいふべき一時期があつた。"
"22","sakaguchi","dokyo.txt","この物語は、その特別な時代の性格から説きだすことが必要である。"
"23","sakaguchi","dokyo.txt",""
"24","sakaguchi","dokyo.txt","女性時代といへば読者は主に平安朝を想像されるに相違ない。"
"25","sakaguchi","dokyo.txt","紫式部、清少納言、和泉式部などがその絢爛たる才気によつて一世を風靡したあの時期だ。"
"26","sakaguchi","dokyo.txt",""
"27","sakaguchi","dokyo.txt","けれども、これは特に女性時代といふものではない。"
"28","sakaguchi","dokyo.txt","なぜなら、彼女等の叡智や才気も、要するに男に愛せられるためのものであり、男に対して女の、本来差異のある感覚や叡智がその本来の姿に於て発揮せられたといふだけのことだ。"
"29","sakaguchi","dokyo.txt",""
"30","sakaguchi","dokyo.txt","つまり愛慾の世界に於て、女性的心情が歪められるところなく語られ、歌はれ、行はれ、今日あるが如き歪められた風習が女性に対して加へられてゐなかつたといふだけのことだ。"
"31","sakaguchi","dokyo.txt","とはいへ、今日に於ては、歪められてゐるのは男とても同断であり、要するに男女の心情の本性が風習によつて歪められてゐる。"
"32","sakaguchi","dokyo.txt",""
"33","sakaguchi","dokyo.txt","平安朝に於てはそれが歪められてゐなかつた。"
"34","sakaguchi","dokyo.txt","男女の心情の交換や、愛憎が自由であり、愛慾がその本能から情操へ高められて遊ばれ、生活されてゐた。"
"35","sakaguchi","dokyo.txt","かゝる愛慾の高まりに、女性の叡智や繊細な感覚が男性の趣味や感覚以上に働いたといふだけのことで、古今を問はず、洋の東西を問はず、武力なき平和時代の様相は概ね此の如きものであり、強者、保護者としての男性の立場や作法まで女性の感覚や叡智によつて要求せられるに至る。"
"36","sakaguchi","dokyo.txt","要求せられることが強者たる男性の特権でもあるのであつて、要求する女性に支配的権力があるわけではない。"
"37","sakaguchi","dokyo.txt","いはゞ、男女各々その処を得て、自由な心情を述べ歌ひ得た時代であり、歪められるところなく、人間の本然の姿がもとめられ、開発せられ、生活せられてゐたゞけのことなのである。"
"38","sakaguchi","dokyo.txt","特に女性時代といふことはできない。"
"39","sakaguchi","dokyo.txt",""
"40","sakaguchi","dokyo.txt",""
"41","sakaguchi","dokyo.txt","★"
"42","sakaguchi","dokyo.txt",""
"43","sakaguchi","dokyo.txt","皇室といふものが実際に日本全土の支配者としてその実権を掌握するに至つたのは、大化改新に於てゞあつた。"
"44","sakaguchi","dokyo.txt",""
"45","sakaguchi","dokyo.txt","蘇我氏あるを知つて天皇あるを知らずと云ひ、蘇我氏は住居を宮城、墓をミサヽギと称し、飛鳥なる帰化人の集団に支持せられて、その富も天皇家にまさるとも劣るものではなかつた。"
"46","sakaguchi","dokyo.txt","畿内に於けるこの対立ほど明確ではなかつたにしても、地方に於ける豪族は各々土地を私有して、独立した支配者として割拠してをり、天皇家の日本支配は必ずしも甘受せられてゐなかつた。"
"47","sakaguchi","dokyo.txt",""
"48","sakaguchi","dokyo.txt","大化改新は、先づ蘇我一族を亡すことから始められたが、その主たる目的は、天皇家の日本支配の確立、君臣の分の確立といふことだ。"
"49","sakaguchi","dokyo.txt","口分田とか租庸調の制度は、土地私有の厳禁、つまり天皇家の日本支配の結果であつて、目的ではない。"
"50","sakaguchi","dokyo.txt",""
"51","sakaguchi","dokyo.txt","蘇我氏を支持する帰化人の集団は飛鳥の人口の大半を占め、当時の文化の全て、手工業の技術と富力をもち、その勢力は強大であつた。"
"52","sakaguchi","dokyo.txt","真向からこれを亡す手段がないので、天智天皇は皇居を近江に移してこの勢力の自然の消滅を狙つたが、この勢力の援助なしには新都の経営も自由ではない。"
"53","sakaguchi","dokyo.txt","その弟の後の天武天皇が兄の天皇の憎しみを怖れて吉野に逃げたのも、この勢力の支持を当にしてのことであつた。"
"54","sakaguchi","dokyo.txt",""
"55","sakaguchi","dokyo.txt","持統天皇は藤原遷都によつてこの勢力との絶縁を志して果し得ず、奈良の遷都によつて始めて絶縁に成功した。"
"56","sakaguchi","dokyo.txt","天皇家の日本支配がこのときに確立したので、古事記や書紀の編纂がこの時期に行はれたのも、天皇家の日本支配を正統づける文献が必要であつた為であり、その必然の修史事業の企てによつても、この時期に於ける天皇家の地盤の確立を推定し得るであらう。"
"57","sakaguchi","dokyo.txt",""
"58","sakaguchi","dokyo.txt","爾来、天平の盛時、諸国に国分寺がたち、聖武天皇が大仏の鋳造に勅して、天下の富をたもつ者は朕なり、天下の勢力をたもつ者も朕なり、と堂々宣言のある日まで、日本は主として女帝によつて孜々として経営がつゞけられてゐた。"
"59","sakaguchi","dokyo.txt","天皇家の日本支配は女帝によつてその意志が持続せられた。"
"60","sakaguchi","dokyo.txt","聖武天皇はかゝる女帝の経営の結実であり精霊であり、そして更にその結実は孝謙天皇の血液へ流れる。"
"61","sakaguchi","dokyo.txt","史家は当時をさして、仏教政治といふ。"
"62","sakaguchi","dokyo.txt","否、表に於ては、さうである。"
"63","sakaguchi","dokyo.txt","内実に於て、その支配者の血液の息吹に於て、まさしく、女性政治であつた。"
"64","sakaguchi","dokyo.txt",""
"65","sakaguchi","dokyo.txt",""
"66","sakaguchi","dokyo.txt","★"
"67","sakaguchi","dokyo.txt",""
"68","sakaguchi","dokyo.txt","天智天皇は当然継承すべき帝位に即かず、皇極、孝徳、斉明、三帝のもとに皇太子として暗躍した。"
"69","sakaguchi","dokyo.txt","斉明は皇極の重祚であり、天智の生母、舒明の皇后であり、孝徳はその弟、天智の叔父に当る。"
"70","sakaguchi","dokyo.txt",""
"71","sakaguchi","dokyo.txt","この時まで女帝といふことは推古の外には例がない。"
"72","sakaguchi","dokyo.txt","然し、この時には女帝に意味があるのではなく、中大兄皇子（天智天皇）が自らの意志によつて皇太子であつたところに意味があり、皇子は大改革、むしろ天下支配の野心のもとに、その活躍の便宜上、ロボットの天皇を立て、自らは皇太子でゐたものだ。"
"73","sakaguchi","dokyo.txt","その腹心は鎌足であり、全ては二人の合議の上で行はれたものであつた。"
"74","sakaguchi","dokyo.txt",""
"75","sakaguchi","dokyo.txt","自分自ら号令を発しても威令は却々行はれるものではない。"
"76","sakaguchi","dokyo.txt","一つの神格的な天皇といふものを自分の一段上に設定する。"
