"","auth","piece","line"
"0","sakaguchi","egoizumu_shoron.txt","エゴイズム小論"
"1","sakaguchi","egoizumu_shoron.txt","坂口安吾"
"2","sakaguchi","egoizumu_shoron.txt",""
"3","sakaguchi","egoizumu_shoron.txt","-------------------------------------------------------"
"4","sakaguchi","egoizumu_shoron.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","egoizumu_shoron.txt",""
"6","sakaguchi","egoizumu_shoron.txt","《》：ルビ"
"7","sakaguchi","egoizumu_shoron.txt","（例）荊棘"
"8","sakaguchi","egoizumu_shoron.txt","-------------------------------------------------------"
"9","sakaguchi","egoizumu_shoron.txt",""
"10","sakaguchi","egoizumu_shoron.txt","住友邦子誘拐事件は各方面に反響をよんだが、童話作家Ｔ氏は社会一般の道義の頽廃がこの種の悪の温床であると云ひ、子供達が集団疎開によつて人ずれがしたのも一因だと云ふ。"
"11","sakaguchi","egoizumu_shoron.txt","朝日の投書欄では、父親の吉右衛門氏が信州の温泉に遊んでをつて、俺が帰つたところで娘が戻るわけでもないとうそぶいて帰京しなかつたことなど、それ自体がこの事件の真相を語つてをり、住友邦子は住友家の娘であるよりも誘拐犯人の妹に生れた方が幸福であつたのだと云つてゐる。"
"12","sakaguchi","egoizumu_shoron.txt","これらはいづれも誘拐といふ表面の事件を鵜呑みにしただけの批判で、この事件の真の性格を理解してゐないやうだ。"
"13","sakaguchi","egoizumu_shoron.txt","すべて社会に生起する雑多な事象が常にこの種の安易低俗な批判によつて意味づけられ、人性や人の子たるものの宿命の根柢から考察せられることが欠けてゐるのは、敗戦自体の悲劇よりも更に深刻な悲劇であると私は思ふ。"
"14","sakaguchi","egoizumu_shoron.txt","道義の頽廃などと極り文句で片づけるのは文学者の場合は特に罪悪的な安易さであらう。"
"15","sakaguchi","egoizumu_shoron.txt",""
"16","sakaguchi","egoizumu_shoron.txt","この事件の犯人は彼の誘拐したあらゆる少女に愛されてゐるのである。"
"17","sakaguchi","egoizumu_shoron.txt","一様に「やさしいお兄さん」であると云ふ。"
"18","sakaguchi","egoizumu_shoron.txt","そしてなぜ愛されてゐるかといふと、この犯人は元来金が欲しかつたわけではないので、純一に少女を愛しいたはつてをり、そのために己れを犠牲にしてゐる。"
"19","sakaguchi","egoizumu_shoron.txt","自分は食べずに少女には食べさせてやり、野宿の夜は少女のために終夜蚊を追つてゐるのである。"
"20","sakaguchi","egoizumu_shoron.txt","こゝにこの事件の特異な性格が存してをるので、犯行それ自体は利己的なものであつても、少女に対する犯人の立場は自己犠牲をもつて一貫され、少女の喜びと満足が彼自身の喜びと満足であつたと思はれる。"
