"","auth","piece","line"
"0","sakaguchi","fubuki_monogatari.txt","吹雪物語"
"1","sakaguchi","fubuki_monogatari.txt","――夢と知性――"
"2","sakaguchi","fubuki_monogatari.txt","坂口安吾"
"3","sakaguchi","fubuki_monogatari.txt",""
"4","sakaguchi","fubuki_monogatari.txt","-------------------------------------------------------"
"5","sakaguchi","fubuki_monogatari.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","fubuki_monogatari.txt",""
"7","sakaguchi","fubuki_monogatari.txt","《》：ルビ"
"8","sakaguchi","fubuki_monogatari.txt","（例）硝子"
"9","sakaguchi","fubuki_monogatari.txt",""
"10","sakaguchi","fubuki_monogatari.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","sakaguchi","fubuki_monogatari.txt","（例）着任｜匆々"
"12","sakaguchi","fubuki_monogatari.txt",""
"13","sakaguchi","fubuki_monogatari.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","sakaguchi","fubuki_monogatari.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","sakaguchi","fubuki_monogatari.txt","（例）※"
"16","sakaguchi","fubuki_monogatari.txt",""
"17","sakaguchi","fubuki_monogatari.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"18","sakaguchi","fubuki_monogatari.txt","（例）ヂャラ／＼"
"19","sakaguchi","fubuki_monogatari.txt","-------------------------------------------------------"
"20","sakaguchi","fubuki_monogatari.txt",""
"21","sakaguchi","fubuki_monogatari.txt","一"
"22","sakaguchi","fubuki_monogatari.txt",""
"23","sakaguchi","fubuki_monogatari.txt","一九三×年のことである。"
"24","sakaguchi","fubuki_monogatari.txt","新潟も変つた。"
"25","sakaguchi","fubuki_monogatari.txt","雪国の気候の暗さは、真夏の明るい空の下でも、道路や、建築や、行き交ふ人々の表情の中に、なにがなし疲れの翳を澱ませて、ひそんでゐる。"
"26","sakaguchi","fubuki_monogatari.txt","さういふ特殊な気候の暗さや、疲れの翳が、もはや殆んど街の表情に見られないのだ。"
"27","sakaguchi","fubuki_monogatari.txt","まづ第一に鋪装道路。"
"28","sakaguchi","fubuki_monogatari.txt","表通りの商店街は、どの都市にもそつくり見かけるあたりまへの商店建築が立ちならび、壁面よりも硝子の多い軽快な洋風商店、ビルディング、ネオンサイン、酒場、同じことだ。"
"29","sakaguchi","fubuki_monogatari.txt","築港の完成。"
"30","sakaguchi","fubuki_monogatari.txt","満洲国との新航路開通といふこの市の特殊な事情もあるけれども、変つたのは、あながちこの市の話だけではないらしい。"
"31","sakaguchi","fubuki_monogatari.txt","欧洲で言へば、世界大戦を境にして、と言ふところだが、日本では、恐らく関東大震災を境にして、と言ふのであらう。"
"32","sakaguchi","fubuki_monogatari.txt","日本中の都会の顔が、例外なしに変つたらしい。"
"33","sakaguchi","fubuki_monogatari.txt",""
"34","sakaguchi","fubuki_monogatari.txt","青木卓一は久々に故郷へ戻りついた夜、叔父の田巻左門と大寺老人に案内されて、食事がてら街を歩いた。"
"35","sakaguchi","fubuki_monogatari.txt","遠来の客をもてなすためといふよりは、老来益々出不精で、夜街の賑ひを忘れてゐる左門叔父の好奇心が強かつた。"
"36","sakaguchi","fubuki_monogatari.txt","三人はダンスホールへもぐりこんだ。"
"37","sakaguchi","fubuki_monogatari.txt","これも亦東京と同じことだ。"
"38","sakaguchi","fubuki_monogatari.txt","廻転する光の色が踊りにつれて変化する。"
"39","sakaguchi","fubuki_monogatari.txt","違つてゐるのは踊りての数が少いだけのことである。"
"40","sakaguchi","fubuki_monogatari.txt","と、踊りに来合せてゐた幼馴染の一婦人が、卓一を認めて呼びかけた。"
"41","sakaguchi","fubuki_monogatari.txt","その顔は卓一の記憶の底をつきまくり、ひつくりかへしても、雲をつきまはすと同じやうに、手掛りのないものだつた。"
"42","sakaguchi","fubuki_monogatari.txt","え、俺の幼馴染といへば仔豚か鴉のやうな薄汚い餓鬼ばかりぢやないか。"
"43","sakaguchi","fubuki_monogatari.txt","誰がいつたいこんなバタ臭い麗人に変つたのだらう？卓一は呆れかへつて女の顔を視凝めつづけた。"
"44","sakaguchi","fubuki_monogatari.txt",""
"45","sakaguchi","fubuki_monogatari.txt","「私の顔、思ひだせないでせう」女は笑つた。"
"46","sakaguchi","fubuki_monogatari.txt","「あしたの今頃この場所でまた会ひませうね。"
"47","sakaguchi","fubuki_monogatari.txt","お待ちしてますわ」"
"48","sakaguchi","fubuki_monogatari.txt","女はくるりと振向いて行つてしまつた。"
"49","sakaguchi","fubuki_monogatari.txt",""
"50","sakaguchi","fubuki_monogatari.txt","「私はかういふ艶つぽい場所が好きだ。"
"51","sakaguchi","fubuki_monogatari.txt","芝居、ダンス、活動、待合。"
"52","sakaguchi","fubuki_monogatari.txt","総じて人だまりと女のゐる場所はみんないいね。"
"53","sakaguchi","fubuki_monogatari.txt","一晩に一場所づつ、粋な場所で遊んでくらして、それからゆつくり寝るのさ。"
"54","sakaguchi","fubuki_monogatari.txt","ほかに娯しみもないのでね」"
"55","sakaguchi","fubuki_monogatari.txt","と大寺老人は卓一にささやいた。"
"56","sakaguchi","fubuki_monogatari.txt","さうして二十数貫の巨躯をゆすぶり、笑ひだした。"
"57","sakaguchi","fubuki_monogatari.txt","左門も大寺老人ももはや七十を越えてゐた。"
"58","sakaguchi","fubuki_monogatari.txt","左門は痩せ衰へてゐたが、珍奇な国の魅力のために、眼は生き生きと輝き、軽い上気がやつれた顔を若返らせてゐるやうだつた。"
"59","sakaguchi","fubuki_monogatari.txt",""
"60","sakaguchi","fubuki_monogatari.txt","「え、誰だ。"
"61","sakaguchi","fubuki_monogatari.txt","さつきの婦人は。"
"62","sakaguchi","fubuki_monogatari.txt","あれも踊り子のひとりかね？」と左門がきいた。"
"63","sakaguchi","fubuki_monogatari.txt",""
"64","sakaguchi","fubuki_monogatari.txt","「僕も見当がつかないのです。"
"65","sakaguchi","fubuki_monogatari.txt","幼馴染だといふのですが……」"
