"","auth","piece","line"
"0","sakaguchi","fukakaina_shitsuren.txt","不可解な失恋に就て"
"1","sakaguchi","fukakaina_shitsuren.txt","坂口安吾"
"2","sakaguchi","fukakaina_shitsuren.txt",""
"3","sakaguchi","fukakaina_shitsuren.txt","-------------------------------------------------------"
"4","sakaguchi","fukakaina_shitsuren.txt","【テキスト中に現れる記号について】"
"5","sakaguchi","fukakaina_shitsuren.txt",""
"6","sakaguchi","fukakaina_shitsuren.txt","《》：ルビ"
"7","sakaguchi","fukakaina_shitsuren.txt","（例）引率れて"
"8","sakaguchi","fukakaina_shitsuren.txt",""
"9","sakaguchi","fukakaina_shitsuren.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"10","sakaguchi","fukakaina_shitsuren.txt","（例）わざ／＼"
"11","sakaguchi","fukakaina_shitsuren.txt","-------------------------------------------------------"
"12","sakaguchi","fukakaina_shitsuren.txt",""
"13","sakaguchi","fukakaina_shitsuren.txt","人あるところに恋あり、各人各様千差万別の恋愛が地上に営まれてゐることはいふまでもないことであらうが、見方によればどの恋も似寄つたものだといへないことはない。"
"14","sakaguchi","fukakaina_shitsuren.txt","文学や映画の恋の筋書が似寄つたものであるやうに、人生の恋の筋書も似寄つてゐる。"
"15","sakaguchi","fukakaina_shitsuren.txt","あまつさへ人生の恋はむしろ概して先人の型を摸することが甚だ多く、いつぱし自らの情意のままに思ふところを行つた筈が知識高き人にあつても、或ひは若きエルテルの恋を、或ひはドミトリイ・カラマーゾフの粗暴な恋を知らず摸しゐることもあり、一般大衆に至つては通俗文学や映画の恋の型の外に恋することが殆んど不可能にちかい状態ではないのか。"
"16","sakaguchi","fukakaina_shitsuren.txt",""
"17","sakaguchi","fukakaina_shitsuren.txt","恋情の発するところ自然にして自由なるべきものが、然し決して自由ではない。"
"18","sakaguchi","fukakaina_shitsuren.txt","このことほど型を逃れがたい、又自らの自然の姿勢を失ひ易い不自由なものはほかに少いやうである。"
"19","sakaguchi","fukakaina_shitsuren.txt",""
"20","sakaguchi","fukakaina_shitsuren.txt","たまたま私の身辺に甚だ型破りな、ちよつと判断に迷ふ恋の実例があつたので、その荒筋を書いてみよう。"
"21","sakaguchi","fukakaina_shitsuren.txt",""
"22","sakaguchi","fukakaina_shitsuren.txt",""
"23","sakaguchi","fukakaina_shitsuren.txt","私の知人にもう五十を越えたＡといふ絵の先生があつた。"
"24","sakaguchi","fukakaina_shitsuren.txt","三十名近い女弟子がゐる中から、いつも五六人の美少女を引率れて盛り場をぶらついてゐる先生で、その時の様子は甚だ福々しく楽しさうで、我々がそれらの美少女の一人に恋しない限り、決してさういふ先生の姿を憎むことはできない。"
"25","sakaguchi","fukakaina_shitsuren.txt","私はアトリヱの先生の姿も知つてゐたが、アトリヱの先生は魂のぬけがらで、散歩の先生にははづみきつた生命があつた。"
"26","sakaguchi","fukakaina_shitsuren.txt","生々とした喜怒哀楽がよそめに分るのであつた。"
"27","sakaguchi","fukakaina_shitsuren.txt",""
"28","sakaguchi","fukakaina_shitsuren.txt","先生は天来稀なフェミニストで、美少女達には常に騎士の礼を持ち、慈父の厳格を持しかりそめにも淫猥な振舞ひはなかつたのだと見る人もあり、然りとすればその潜在性慾の逞しさはジュリアン・ソレルをして修道院に入れたるが如しと説をなす人もあり、敢て美少女に恋人ならぬ人達の中にも、あの先生ほど淫猥な奴も少い、美少女はすべてなで斬りならむなぞと想像を逞うする者もあつた。"
"29","sakaguchi","fukakaina_shitsuren.txt","いづれとも真偽はわからない。"
"30","sakaguchi","fukakaina_shitsuren.txt",""
"31","sakaguchi","fukakaina_shitsuren.txt","そのうちに先生は美少女の一人に恋をした。"
"32","sakaguchi","fukakaina_shitsuren.txt","このことは人々に明瞭に分つた。"
"33","sakaguchi","fukakaina_shitsuren.txt","その日まで先生の態度が特定の一人にさし向けられたといふ例は決してなかつたのである。"
"34","sakaguchi","fukakaina_shitsuren.txt",""
"35","sakaguchi","fukakaina_shitsuren.txt","と、不思議な現象が起つた。"
"36","sakaguchi","fukakaina_shitsuren.txt","といふのはその頃まで決して散歩の同伴者に男性をまぢへなかつた先生が、恋のはじまるとまもなく、男性それも若く快活にして麗しい青年のみを数名選び、散歩のお供の列に加へた。"
"37","sakaguchi","fukakaina_shitsuren.txt",""
"38","sakaguchi","fukakaina_shitsuren.txt","寛大な恋のとりもち役といふ様であるが、さうしていふまでもなく各々の入りみだれた恋が暗に活躍しはじめたが、しかも最も嫉妬に悩む人はといへば、誰の目にもそれが先生その人に他ならぬことが明瞭だつた。"
"39","sakaguchi","fukakaina_shitsuren.txt",""
"40","sakaguchi","fukakaina_shitsuren.txt","お供の男女のなんでもない会話すら先生の心臓をかきむしり、先生は苦悩のために窒息しさうでありながら、強ひて何気ない風を装つて連日の散歩をやめなかつた。"
"41","sakaguchi","fukakaina_shitsuren.txt","そのうちに先生の意中の人なる美少女も青年と恋をはじめた。"
"42","sakaguchi","fukakaina_shitsuren.txt",""
"43","sakaguchi","fukakaina_shitsuren.txt","町を歩いてゐたら、猛烈な勢ひで、野獣の形相をして、目の前を走つて行つた老紳士を見た。"
"44","sakaguchi","fukakaina_shitsuren.txt","それが先生だつたと言ふ者があつた。"
"45","sakaguchi","fukakaina_shitsuren.txt","俺も見た、ある停車場で先生の後姿を認めたので呼びかけようとしたら、先生階段に一足かけたとみるや三段づつ飛び越えて矢のやうに駈け登つて消えてしまつたと或者が言ふ。"
"46","sakaguchi","fukakaina_shitsuren.txt","一人は又にはか雨にぶつかつた先生が、わざ／＼濡れるためのやうに公園の奥へぐん／＼這入つて行くのを見たと言ふのであつた。"
"47","sakaguchi","fukakaina_shitsuren.txt",""
"48","sakaguchi","fukakaina_shitsuren.txt","美少女は結婚した。"
"49","sakaguchi","fukakaina_shitsuren.txt",""
"50","sakaguchi","fukakaina_shitsuren.txt","同時に先生は散歩をやめた。"
"51","sakaguchi","fukakaina_shitsuren.txt","丸々とふとつてゐた先生が突然痩せ衰へ、頬肉は落ち、眼はくぼみ、見る影もない老衰病者のやうになつた。"
"52","sakaguchi","fukakaina_shitsuren.txt",""
"53","sakaguchi","fukakaina_shitsuren.txt",""
"54","sakaguchi","fukakaina_shitsuren.txt","かうなることは分つてゐるのに、自分の恋がはじまると、どうして先生はお供の列に美青年を加へなければならなかつたか？我々の知人間では一様に分らないと言ふ。"
"55","sakaguchi","fukakaina_shitsuren.txt",""
"56","sakaguchi","fukakaina_shitsuren.txt","美少女と結婚したＢ青年の話をきくと、ほかのお供の青年に当るよりもＢ青年につらく当るといふこともなかつたと言ふ。"
"57","sakaguchi","fukakaina_shitsuren.txt","悩んだのは徹頭徹尾先生一人だけであつた。"
"58","sakaguchi","fukakaina_shitsuren.txt",""
"59","sakaguchi","fukakaina_shitsuren.txt","先生は不能者だといふ者もあるが、これは然し当にならぬ。"
"60","sakaguchi","fukakaina_shitsuren.txt","暴風のごとく悩むことが先生の自らも気付かざる趣味であり、潜在性慾と潜在自虐趣味との相剋の結果、即ち潜在裡に潜在自虐趣味の方が克つこととなつたのだらうと見る人もあつた。"
"61","sakaguchi","fukakaina_shitsuren.txt","この場合潜在性慾の敗北は性慾の力の弱きを意味せず、その潜在力の深すぎたことが敗因で、性慾そのものはむしろ強すぎたことにはならぬのかと附言して言ふ、これも当にはならぬ。"
"62","sakaguchi","fukakaina_shitsuren.txt",""
"63","sakaguchi","fukakaina_shitsuren.txt","結局先生は女好きであつたか知れぬが、この年までまことの恋を知らず、この美少女が初恋で、すつかり戸惑ひしたのだらうと言ふ者もあり、如何に戸惑ひしても、わざ／＼恋敵をつくりだすといふことは初恋であるだけに尚更嘘だと言ふ者もある。"
"64","sakaguchi","fukakaina_shitsuren.txt",""
