"","auth","piece","line"
"0","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","「復員殺人事件」について"
"1","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","坂口安吾"
"2","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt",""
"3","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","七八月にわたって病気のため「復員殺人事件」が中絶、申しわけありません。"
"4","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","毎月三ツしか書かない連載ですが、その一つが月々百枚を越しており「復員」が又月々五十枚から七八十枚の長さですので、病後の過労をさけるため「復員」をちょッと休ませてもらいました。"
"5","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","どうやら元気になりましたから、来年一月号から連載をつゞけます。"
"6","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","まだ少くとも五六回はかゝる予定、事件は非常に複雑ですから、そのつもりで読んで下さい。"
"7","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt",""
"8","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","もう解答を寄せられた方があるそうですが、これはたぶん連載が中絶したので、すでに解答をもとめたものと誤認されたものと思われます。"
"9","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","事件はまだ発端にすぎず、これから急角度にフンキュウを深めて行きます。"
"10","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","作者が読者をごまかしてやろうと虎視タンタン狙っているのは今後のことで、今までは全然序の口ですよ。"
"11","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","但し主要な登場人物はすでに全員出そろっております。"
"12","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","今までに寄せられた解答は、解答の中へ加えません。"
"13","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt",""
"14","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt",""
"15","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt",""
"16","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt",""
"17","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","底本：「坂口安吾全集08」筑摩書房"
"18","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","1998（平成10）年9月20日初版第1刷発行"
"19","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","底本の親本：「座談第三巻第一〇号」"
"20","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","1949（昭和24）年12月1日発行"
"21","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","初出：「座談第三巻第一〇号」"
"22","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","1949（昭和24）年12月1日発行"
"23","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","入力：tatsuki"
"24","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","校正：北川松生"
"25","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","2016年6月10日作成"
"26","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","青空文庫作成ファイル："
"27","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"28","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"29","sakaguchi","fukuin_satsujin_jikenni_tsuite.txt",""
