"","auth","piece","line"
"0","sakaguchi","furusatoni_yosuru_sanka.txt","ふるさとに寄する讃歌"
"1","sakaguchi","furusatoni_yosuru_sanka.txt","夢の総量は空気であった"
"2","sakaguchi","furusatoni_yosuru_sanka.txt","坂口安吾"
"3","sakaguchi","furusatoni_yosuru_sanka.txt",""
"4","sakaguchi","furusatoni_yosuru_sanka.txt","-------------------------------------------------------"
"5","sakaguchi","furusatoni_yosuru_sanka.txt","【テキスト中に現れる記号について】"
"6","sakaguchi","furusatoni_yosuru_sanka.txt",""
"7","sakaguchi","furusatoni_yosuru_sanka.txt","《》：ルビ"
"8","sakaguchi","furusatoni_yosuru_sanka.txt","（例）茱萸"
"9","sakaguchi","furusatoni_yosuru_sanka.txt",""
"10","sakaguchi","furusatoni_yosuru_sanka.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","sakaguchi","furusatoni_yosuru_sanka.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"12","sakaguchi","furusatoni_yosuru_sanka.txt","（例）螽※が"
"13","sakaguchi","furusatoni_yosuru_sanka.txt","-------------------------------------------------------"
"14","sakaguchi","furusatoni_yosuru_sanka.txt",""
"15","sakaguchi","furusatoni_yosuru_sanka.txt","私は蒼空を見た。"
"16","sakaguchi","furusatoni_yosuru_sanka.txt","蒼空は私に泌みた。"
"17","sakaguchi","furusatoni_yosuru_sanka.txt","私は瑠璃色の波に噎ぶ。"
"18","sakaguchi","furusatoni_yosuru_sanka.txt","私は蒼空の中を泳いだ。"
"19","sakaguchi","furusatoni_yosuru_sanka.txt","そして私は、もはや透明な波でしかなかった。"
"20","sakaguchi","furusatoni_yosuru_sanka.txt","私は磯の音を脊髄にきいた。"
"21","sakaguchi","furusatoni_yosuru_sanka.txt","単調なリズムは、其処から、鈍い蠕動を空へ撒いた。"
"22","sakaguchi","furusatoni_yosuru_sanka.txt",""
"23","sakaguchi","furusatoni_yosuru_sanka.txt","私は窶れていた。"
"24","sakaguchi","furusatoni_yosuru_sanka.txt","夏の太陽は狂暴な奔流で鋭く私を刺し貫いた。"
"25","sakaguchi","furusatoni_yosuru_sanka.txt","その度に私の身体は、だらしなく砂の中へ舞い落ちる靄のようであった。"
"26","sakaguchi","furusatoni_yosuru_sanka.txt","私は、私の持つ抵抗力を、もはや意識することがなかった。"
"27","sakaguchi","furusatoni_yosuru_sanka.txt","そして私は、強烈な熱である光の奔流を、私の胎内に、それが私の肉であるように感じていた。"
"28","sakaguchi","furusatoni_yosuru_sanka.txt",""
"29","sakaguchi","furusatoni_yosuru_sanka.txt","白い燈台があった。"
"30","sakaguchi","furusatoni_yosuru_sanka.txt","三角のシャッポを被っていた。"
"31","sakaguchi","furusatoni_yosuru_sanka.txt","ピカピカの海へ白日の夢を流していた。"
"32","sakaguchi","furusatoni_yosuru_sanka.txt","古い思い出の匂がした。"
"33","sakaguchi","furusatoni_yosuru_sanka.txt","佐渡通いの船が一塊の煙を空へ落した。"
"34","sakaguchi","furusatoni_yosuru_sanka.txt","海岸には高い砂丘がつづいていた。"
"35","sakaguchi","furusatoni_yosuru_sanka.txt","冬にシベリヤの風を防ぐために、砂丘の腹は茱萸藪だった。"
"36","sakaguchi","furusatoni_yosuru_sanka.txt","日盛りに、螽※が酔いどれていた。"
"37","sakaguchi","furusatoni_yosuru_sanka.txt","頂上から町の方へは、蝉の鳴き泌む松林が頭をゆすぶって流れた。"
